user_id,recommended_items
223915,2435845 1092821 1839524 2134619 1360565
2457606,2213987 1644077 2821243 550284 2734492
917512,1636910 31053 350611 937049 63611
1572873,343377 2156629 1244787 1386412 2413494
2807127,549646 243252 2664128 1670658 720259
557075,784737 554760 540654 2715723 2666693
1867798,2462072 1455644 313851 2043929 2521154
1343511,1430243 484433 712901 415358 1728166
1015833,
2523162,931519 2791339 784737 2232458 2462072
2228252,1331308 1876513 1956960 2574702 1595938
2129952,2182290 1465382 2684335 1303218 1953846
2064422,1244196 533554 184517 2295534 194318
1015853,266412 1776330 657183 2791339 72465
819246,2080276 2753566 2760262 410738 2594954
65592,723096 460717 2778525 278589 1386412
2446687,
2555970,
1998915,648573 900608 29314 1128939 2767237
2523205,2377223 1170946 2744235 1985878 730122
1245256,2396714 878413 592559 499178 2348573
737292,
950348,704532 913719 1607232 1551995 2615440
1802317,512040 1830993 1194436 2512414 931519
1409116,
2785373,24794 2567173 1008678 1454707 349833
491623,2466095 595394 1780771 1244196 641023
2195561,1834691 205039 807267 2301803 580097
229494,60875
1343611,768098 967268 659576 2165703 1457851
1627970,447985 1593289 2269251 2310379 410070
2708842,2356860 1959750 483395 33100 2701725
1114249,2182484 1908027 1164968 178439 2062952
2228247,2791339 1776330 1244196 657183 72465
2097299,1938039 1582734 1885496 1149263 2118120
2949270,1988490 388112 1576126 101005 1560749
98458,347562 1499162 1797565 1361639 2640201
2353861,2063891 1287265 2026628 2438963 2821503
2654369,
1278116,1317347 1828156 2310379 1111777 1200837
2687142,526888 1776704 2044547 2818698 1315488
1999016,1227776 1622913 2353541 725769 1105930
2719913,1167500 1342811 1779620 2129417 2530831
983217,
786611,554498 269069 1607107 1373344 1138469
524472,2003862 1070537 1435521 1171712 2239950
458938,2660875 964178 1206868 1311842 1315443
2042570,
1605822,1755502 1217083 2787334 1093941 2157347
1540289,604795 2312162 2391945 2398809 1447547
2785474,1244196 1679143 1047625 468120 1953846
2097352,2778525 1244196 784737 2031981 1386412
2425035,1709691 2726400 1100918 46821 1204967
1278158,1056667 43306 570668 1001431 272886
1114324,2637434 536047 1020200 1386412 2778525
131287,1953846 2028523 2148834 1576126 1171059
2556124,722440 361485 2767395 1020964 2079278
1212640,2762498 2461096 1370250 704683 1088877
786660,2250703 1845252 1188182 1319951 2557272
1147109,1287265 2194432 1250305 1536002 1889294
2916582,315406 1274336 1746915 1928254 254048
1376488,1059979 1244196 2476293 1898849 536047
2195691,2405262 381226 2503223 478510 839008
196851,
1245430,118772 109338 579292 2301803 460717
524537,1244196 1206860 1290875 1823782 1077498
2490619,1244196 784737 1443706 266412 2459081
557309,1430325 1608366 2228294 291669 2103306
2195710,1437184 1024000 2017795 821260 944141
655618,1876513 1755502 2219078 2787334 2157347
2900011,592559 186124 973448 1101229 1074013
381904,78655 243252 198852 512254 342313
2948242,2264926 1796771 1630793 1834588 1078888
2774402,278589 389953 1773075 391706 2521120
1278222,1386412 2380306 784737 2732412 2002097
950545,1810275 1324922 2002097 2065987 2521120
2626947,229304 1386412 1244196 1636910 657183
2949396,329116 375324 1397036 326585 606549
688409,888807 1169736 2582874 614807 434700
1736986,1514629 2033958 1137169 2388041 412133
2195739,2740821 579292 606934 2711960 771171
2392348,1506186 130558 1988471 650422 1244196
285,266817 111201 971906 979877 1898571
164126,
1048864,510903 2180322 5506 826027 536047
753954,887291 765477 1591624 265097 1175179
2195748,568191 2002097 311317 2625619 1472716
2457894,1624781 2750191 1244196 249347 2669239
1179947,1766819 1784135 2813633 2037477 2318379
2326830,2520810 1940509
1671472,339227 379806 612155 294831 1278222
1737011,2661013 838668 1357325 620572 2029259
753975,
2488878,770735 1437184 715272 915880 1404820
2359612,
2064702,2185485 478799 2470569 2002097 1775397
852293,1244196 1053542 823512 79531 278589
131400,1069281 657183 1162250 211863 2036051
360777,47583 2024094 134458 2274527 2292722
295245,1583440 354325 2079800 2362507 1494177
295246,558807 2292722 1941511 1777103 1438622
2621776,2796479 1047625 1443706 266412 554760
1737046,1386412 1776330 1551285 2233815 1443706
1507675,472040 2721169 1595372
196956,
1835359,79531 2491223 2512859 1794685 184517
2359649,2030128 1287766 932497 2294453 1761753
2457956,
2982245,2138886 1285230 1309296 2659474 2579095
1311084,
1016175,2590469 2770160 780835 1074013 536047
917876,1068632 2002092 2473691 2031953 1420809
1114485,2640781 931519 716019 2364286 1849280
1835382,1317915 1432568 1619659 1706622 2650926
2479508,164655 2791339 2037855 72465 1928254
622970,657183 784737 1386412 460717 72760
2654590,713914 1967011 2437289 2830593 319051
2261375,2158566 2063876 34355 2080823 1624142
2916741,
1311110,2500175 559387 802799 1058389 654546
2228616,2453665 2822823 1190452 1120040 1630977
2714349,1376058 1835742 2760857 536047 1198190
2588739,1818555 2778525 2156629 2470201 2507411
786836,460717 1140869 1928254 134458 472040
2891508,2229274 973863 1051740 60630 2053266
1704346,
98716,2348573 660656 1608366 2200859 228623
2589086,
1961866,2745832 1766559 1246646 452255
1474991,920520 2391945 2353541 1447547 291669
1442226,61070 1549837 1085028 2705547 920081
360883,1018089 285749 2007871 1483116 1124868
1212853,1823509 871579 412164 1963276 2477069
1507769,947398 58759 2502280 528654 1490705
1311166,1630793 1383528 146576 870063 530744
1769923,1941131 2411149 1137169 2077469 528167
2943734,434699 1340066 1776330 770995 2073556
1016264,2688176 256886 1624781 2704655 710660
197066,
1475020,299061 2310379 1300835 1315172 1192610
2463138,79531 374097 964178 2002097 2266296
2304761,730432 620098 821571 691428 1140869
983512,2751893 1778574 943279
2785757,2274555 351433 511739 2270467 180743
2211920,770613 1002573 803941 265522 172858
2654694,1502840 1830993 456839 1175964 1047027
590311,
852457,2622465 580612 2612234 1753103 783900
295406,2408987 38540 1584276 412330 1220826
2841319,1708303 2050227 1065538 2268646 2730930
950769,1146848 1092821 1597526 1754395 1502840
2458100,2687508
2884089,79531 1140869 2778525 460717 1686458
2687488,2098273 151809 818174 1707014 1031169
360961,2131409 1416451 886778 609071 1287467
2490886,1557892 1118136 2767091 2552884 770613
2818573,
2687516,1878823 1905100 310209 2778201 641134
2130462,1053542 2778525 1244196 823512 1156803
2190085,
1278496,2778525 2560641 2039234 574038 257749
1147426,2036000 949767 1348628 2000473 1359896
33317,2040236 2080213 72989 1279643 1640586
1475110,460717 1473515 2274527 2718988 1886939
262695,542825 821260 1624142 24831 2175331
1081897,
1901099,790528 1065475 1743879 940554 1234571
1180204,80182 1868293 1779255 1306144 1540667
950829,2717048 340811 1677336 48650 2819657
2327087,
655921,1140869 92053 2409634 37163 2507635
950839,1536002 2538571 2418818 2102920 1671498
1835576,
754239,
2359875,2117630 77400 2778525 698891 684089
983622,1443014 637137 538944 1165330 2047542
1829645,1509631 678262 1912594 1798068 630507
328272,624264 408842 2547597 2268052 2051097
590418,2061955 2343106 1347859 1985302 524197
950877,734976 2574702 2171928 2828047 2559769
2490975,2778525 1928254 543296 1171271 472040
1606241,1522735 369761 2470569 1325341 2352493
2720354,942420 986950 2411210 938498 1706517
819816,2791339 1244196 1386412 2313894 48149
197225,1145228 1373451 794156 407427 980478
2097255,854601 2069422 1938959 863792 2439228
1442412,2417933 823512 2268771 1040073 1329008
1081966,2026628 740487 2541833 2041994 279917
721521,1824527 2251758 701000 1419221 1619659
2468627,2564608 1984683 1449988 2193930 1205259
1868408,2136533 1756302 1431185 312479 1280794
1868414,2235265 1105043 116630 1244196 2313894
2523775,463365 2753566 1258802 2670799 1341658
754305,266412 343377 657183 1776330 1984327
1016456,771171 2139191 193660 2261203 2409457
1573513,
524938,
2622091,1673229 1137676 1009817 2550188 267706
1818733,
688784,2619522 516 591109 1030279 1838859
164502,2476293 2128013
1344161,830073 166946 470426 1042196 2436828
1180323,1833247 650449 2135057 1620901 1483798
1082020,753720 322220 716504 313098 1728984
1671849,1797670 794189 2443342 2382444 2619522
688811,984114 1434088 1886939 789747 194147
1387293,2039826 1797481 712901 1472716 1407200
918202,1619659 1300183 1853461 973448 2740412
2556605,
492223,2791339 657183 343377 72465 1162250
1671873,986950 1907046 15530 904595 2723846
426693,415358 2770160 254169 2348573 1074013
2653652,
1409744,1086695 209611 1687188 557005 2251758
33492,1635931 2101500 1162250 873477 1386412
1523833,48646 1935754 1330328 640407 131739
2261720,1350148 1386412 1162250 346257 162451
983769,632512 2054786 48646 1174407 2516844
2938319,1576126 117372 2405650 1679143 1953846
1901280,962854 2211873 548067 1769334 1244196
2026253,2470117 2359880 560740 462493 2171176
623334,2603642 942253 2681475 1687791 390926
656106,2233479 836235 62744 2411168 2078753
295664,2275332 1386412 2703883 1185293 1415192
2032371,1373785 536047 809987 1629741 2088029
951034,657183 1984327 2791339 536047 784737
2360062,1461005 2364286 864688 823816 1717731
131843,1244196 1047625 657183 266412 1953846
632881,2014172 2215849 248636 2340784 2687682
197384,1483798 2042983 1817563 269978 998626
1321772,1074013 2251758 1086695 568191 2348573
1639181,56715 2548744 2369696 2280488 295856
590606,
2687759,1585025 2413442 1387396 2567173 1038209
33552,2778525 1615362 734812 1038209 2098158
1934102,158526 739398 2057312 1536002 1438232
1901337,2806336 1026643 93330 179870 299168
1770268,2521535 1897240 2801716 2553038 252137
2364891,
131876,2778525 823512 1156803 2310939 2721169
99109,249347 715272 944141 2282652 282309
1213223,1654076 2362924 2024094 1466156 915330
197417,2352400 778139
2182287,1540517 1721856 1821188 2711047 849420
568114,2043929 1956960 79531 386288 2250299
38365,2805508 725509 118687 1922465 2069289
2884400,
2687795,640407 2108842 67066 697373 1416758
2818185,556033 287766 2179118 2086978 2400614
1573691,614356 946429 2148901 1656449 317172
918341,2632099 1046020 973448 215081 499178
426823,2582339 2582758 430345 507069 1508001
295757,2623983 225481 2778525 2109924 316014
1344334,1736711 2139163 1783985 2509024 1147135
2884434,2086041 2235265 784737 1907046 986950
99155,2773641 332313 2691749 1586999 1634357
1895225,1244196 1470646 1053542 657183 1443706
885596,964435 2590469 228623 2348573 1430325
1540961,1042157 879366 2506759 2704266 1804684
1475426,2314169 2551513 801479 1143278 1686458
1934185,2469913 1295570 937190 2124013 1128237
394093,2264926 710727 648919 604409 83460
1868655,1017600 1891459 2579815 787786 99246
2982768,2380306 2168063 1551777 2175021 1458270
1508209,529585 248669 288342 829229 2103306
2326675,
2294647,
754555,2004444 1811496 1430325 343377 2491223
2425727,1487402 1346380 2234790 2154312 1899529
197510,1246024 2512859 2163770 1960510 2342116
99208,1636910 625711 615688 1775761 1165605
1835913,2128544 1277973
2720651,1317915 2750191 2002097 160177 186124
2884493,2778525 1244196 2604 854955 1953846
1966992,657183 1386412 784737 1244196 343377
1311633,1069281 2512859 1162250 657183 2721169
1049490,971264 2433623 503402 69820 385058
1901461,940554 814728 371752 1118251 1206455
2720663,1870464 799811 795931 2235284 1317254
1082264,1965763 16270 507027 1266718 1163551
1180569,1287265 2459081 2031981 75845 1807819
1868700,
263073,1244196 102963 2265725 468120 1576126
1344419,1163816 2781889 2187911 1010212 2798189
2065317,2796548 2491918 303763 1895188 1625624
33704,2313894 1244196 2459081 2489959 1953846
459689,147908 464609 1469233 941986 2642889
1573803,1984327 657183 1162250 2106311 2791339
2659827,
948,2823490 758125 2614160 1961467 1244196
1606582,1001431 1585675 1226034 764484 1626201
1999799,
1246138,1167413 993867 2561293 289296 98202
394177,1477734 823512 2063876 2002097 1119926
2982855,853132 2417933 542825 1658526 2593306
197576,213839 2288244 1586072 2057312 1113937
1967052,2106707 41220 2781575 2465711 1836210
328657,2235265 1376058 2086041 1415192 1886755
2124622,
1737688,1695195 1499394 370820 1757829 807254
1901531,964435 2200859 2590469 2348573 2705558
1016798,1564672 1164312 859993 49537 45572
230369,1425377 1659908 1216431 1555269 2664128
1475555,2244505 261735 1433354 1640855 714653
525294,1983757 2721169 2528296 1757829 2171316
1627645,
1704945,744150 1995513 1815549 2260494 641134
1082354,1361267 2711047 2598929 565272 870944
2229235,542126 1187844 270370 404357 1696399
1508340,
1049595,1196981 415358 1430243 1562961 1856606
295936,1162250 1094957 579292 460717 1672211
1868803,1130730 1982510 609124 1101229 499178
2622476,723096 460717 2778525 278589 1386412
2982929,1140869 1244196 2735681 384092 546434
1541143,
2905605,2735424 943712 1219043 1869924 627815
66592,2384640 935296 2375684 1129350 1098890
2080945,2778525 2213276 336930 1470002 341204
2589736,1775397 1453861 2381146 1737182 846274
2130986,332672 2261952 2196027 1029640 1877578
1377323,
328748,1060184 1894914 463365 1530384 2075667
1868848,1835742 215982 2086041 2774733 2760857
