user_id,recommended_items
223915,1250305 2435845 1092821 779267 1839524
2457606,2790784 2213987 550284 1325058 1644077
917512,2462072 937049 1636910 549843 1574870
1572873,774667 2156629 1211919 343377 1244787
2807127,549646 1997760 1052544 1670658 1331840
557075,784737 1206551 123523 554760 1519623
1867798,2521154 2462072 827852 1455644 313851
1343511,1472716 172858 1423795 484433 1430243
1015833,
2523162,931519 784737 1414197 526501 2791339
2228252,1876513 1956960 1331308 1595938 1318983
2129952,505344 590562 668899 633315 89349
2064422,581249 1244196 5506 533554 483205
1015853,1838145 266412 1776330 2106311 1522825
819246,2590469 2319922 2594954 1522288 991945
65592,879366 723096 2506759 460717 1386412
2446687,
2555970,
1998915,900608 648573 29314 955115 1360302
2523205,2377223 1170946 2791339 794454 2517527
1245256,403232 2396714 878413 352498 2553243
737292,
950348,26304 704532 1014850 913719 779267
1802317,512040 2773384 810121 1830993 815376
1409116,
2785373,24794 2567173 934336 349833 1525764
491623,286848 2466095 589441 595394 1780771
2195561,1834691 1556736 205039 2238350 807267
229494,60875
1343611,1562880 2830593 241544 2638163 2590469
1627970,2269251 633315 2310379 2745021 2716420
2708842,1171265 1959750 483395 934470 33100
1114249,1803269 2182484 1164968 569351 706057
2228247,1244196 1268745 1776330 2791339 2336782
2097299,1386412 1938039 1100288 2712481 1344008
2949270,388112 1988490 1576126 1274752 1231748
98458,347562 1206667 2625619 1499162 347246
2353861,2063891 1287265 2026628 2438963 2821503
2654369,
1278116,90273 1317347 2045034 1828156 2310379
2687142,1838816 526888 1776704 1607107 340260
1999016,1227776 2353541 1105930 971264 1622913
2719913,2129417 1242752 1167500 1342811 1779620
983217,
786611,554498 269069 2613699 1373344 1138469
524472,1435521 1171712 2003862 1070537 2771968
458938,2251030 2791339 1442051 1588612 1080069
2042570,
1605822,2148096 1755502 2787334 1217083 1093941
1540289,2603283 604795 2312162 964435 2391945
2785474,1274752 1244196 2774149 1679143 1047625
2097352,2778525 2662146 1244196 245513 784737
2425035,1709691 2726400 144129 1100918 921860
1278158,1353178 1056667 1542531 43306 2159078
1114324,1597526 2637434 478208 1020200 536047
131287,2148834 1171059 162829 1576126 1879566
2556124,722440 361485 1096192 598787 500485
1212640,2762498 2461096 1370250 704683 1674701
786660,1845252 1488387 2250703 1812482 1188182
1147109,1287265 2194432 1250305 1536002 1889294
2916582,223623 315406 1274336 1434088 1746915
1376488,1059979 1244196 1889796 2476293 1530036
2195691,2405262 1965763 381226 2549124 2205815
196851,
1245430,109338 1217340 2301803 118772 460717
524537,1244196 1206860 2096295 1290875 478208
2490619,1244196 2489959 2313894 1953846 784737
557309,2103306 1430325 1244196 2228294 1608366
2195710,1437184 1024000 2017795 821260 944141
655618,2408448 1876513 1755502 478208 2606598
2900011,592559 1164968 1101229 1414197 186124
381904,78655 243252 198852 512254 342313
2948242,2424064 2264926 136196 1630793 2033158
2774402,278589 389953 1773075 2085209 391706
1278222,1386412 1739743 1863715 2380306 942253
950545,1810275 1034245 635912 1324922 2521120
2626947,784737 229304 1636910 1119926 2712481
2949396,2491392 375324 844416 1397036 2276118
688409,614807 888807 2138355 1169736 1260981
1736986,1514629 2033958 1684481 2388041 1315172
2195739,2740821 2396676 117291 1732848 2711960
2392348,1506186 1770733 117291 130558 1982016
285,971906 1898571 1096192 1822084 746757
164126,
1048864,5506 510903 83465 546434 826027
753954,1411003 765477 887291 1591624 265097
2195748,1386412 568191 2048516 2002097 671237
2457894,1725698 1624781 249347 2750191 1244196
1179947,1766819 2813633 1140869 2259341 1015694
2326830,2520810 1940509
1671472,339227 2062952 379806 612155 1601025
1737011,2661013 1701634 838668 1012445 1357325
753975,
2488878,1437184 770735 1358880 915880 710690
2359612,
2064702,2185485 478799 894910 1775397 398218
852293,1244196 1173987 1053542 2567173 823512
131400,1069281 1162250 1443774 657183 1904269
