user_id,recommended_items
223915,2102695 1151247 898192 64701 1800909
2457606,550284 2213987 2734492 1644077 2821243
917512,1698884 1932304 801984 2650965 2185109
1572873,727569 1070735 2387110 2430632 1947329
2807127,549646 1388554 2564293 1503585 2693017
557075,976879 2477197 2753045 645790 2182682
1867798,2521154 1291835 2238350 624264 77575
1343511,712901 2581271 2268134 266712 1423795
1015833,
2523162,931519 1771370 714111 789804 1414197
2228252,2211387 1331308 215250 1956960 1876513
2129952,1117875 1109112 1087132 2319941 1694457
2064422,2295534 194318 533554 184517 2506759
1015853,1004316 1318983 1915343 739567 2106311
819246,1233817 2760262 1522288 991945 1418721
65592,1182842 2246580 478799 879366 2506759
2446687,
2555970,
1998915,648573 955115 1031724 1934925 1984765
2523205,2377223 530635 2155903 1490074 1372180
1245256,592559 403232 352498 2553243 1061978
737292,
950348,704532 913719 1799341 1413978 1425054
1802317,512040 789804 1540118 1021927 1165223
1409116,
2785373,349833 1008678 1809687 1841956 1465313
491623,595394 641023 2466095 1780771 499588
2195561,158229 717483 2707512 2226638 1246943
229494,60875
1343611,1428631 66012 659576 2057496 1457851
1627970,300430 2745021 855054 633315 287676
2708842,2356860 2446584 1206782 934470 429199
1114249,626635 2544369 1803269 1050970 2488898
2228247,17005 629902 734370 1064137 1488335
2097299,1582734 1938039 2118120 1149263 1885496
2949270,1576126 2703402 2730765 2006029 2494449
98458,1206667 429937 347246 2017671 1151247
2353861,2063891 2438963 2026628 2821503 743383
2654369,
1278116,1828156 1317347 1786699 1111777 2560835
2687142,2667832 650699 2798462 2624417 2044547
1999016,1622913 1227776 529560 378064 1165606
2719913,2603849 2054995 2129417 1784088 114073
983217,
786611,554498 269069 2613699 1373344 1138469
524472,1435521 1171712 2239950 2003862 1070537
458938,2266296 2500474 83197 1522373 810703
2042570,
1605822,1217083 1755502 1852764 546243 1561630
1540289,2723547 189364 2603283 964435 963226
2785474,2423973 66855 2283834 2036548 2252257
2097352,1272226 120131 2132765 123983 1554678
2425035,55173 1709691 243940 1944581 848543
1278158,1110586 1159805 1756974 204273 2617471
1114324,2609073 1601976 1597526 1698884 801984
131287,1171059 1935654 1798204 1962049 241176
2556124,361485 2277271 363932 2767395 1020964
1212640,2762498 2246385 1088877 232116 992182
786660,369713 2014770 34986 1736140 1539824
1147109,1287265 1889294 2744948 2491523 1783447
2916582,2454045 551087 33197 223623 315406
1376488,1983797 138649 1530036 1731448 1059979
2195691,2549124 2405262 2057879 2205815 381226
196851,
1245430,931476 1973627 2139837 109338 755183
524537,1823782 1077498 667505 2096295 146321
2490619,2489959 1835742 2229410 282309 400701
557309,558355 1608366 1134847 2103306 22934
2195710,2489404 1611347 2504233 386148 2265675
655618,1549050 433180 99504 1277107 2274005
2900011,1782499 1164968 1414197 789804 1686
381904,243252 78655 175704 932152 218164
2948242,2275754 970170 2300364 1304657 1414364
2774402,389953 2677977 2416312 2804423 974030
1278222,1739743 1863715 739956 2554043 519457
950545,1810275 2521120 1324922 2470216 2065987
2626947,1200699 211863 1905117 717127 379806
2949396,443131 346657 2668987 405856 1715312
688409,888807 614807 434700 1169736 2480690
1736986,2033958 2668918 1514629 987596 2388041
2195739,2740821 2711960 306576 2396676 2607583
2392348,1416047 1770733 2610539 2406122 1251946
285,1898571 2512552 222349 202355 641945
164126,
1048864,2180322 5506 826027 546434 1423069
753954,1411003 765477 887291 1591624 265097
2195748,1760851 2480997 1278877 2101279 476469
2457894,1624781 1014523 2750191 2381402 1069034
1179947,1766819 19717 2259341 2318379 1015694
2326830,1940509 2520810
1671472,339227 379806 612155 294831 2073499
1737011,2661013 1012445 1271054 2006954 1591028
753975,
2488878,1437184 715272 770735 119661 397984
2359612,
2064702,37737 1128927 1351870 2185485 2246580
852293,2667153 457150 1244196 1173987 1053542
131400,1069281 211863 1041388 109498 2086317
360777,134458 47583 2024094 2274527 59091
295245,1583440 1527378 359567 2082630 2341278
295246,2292722 664709 1262625 478309 691825
2621776,668146 862896 1166079 2275185 1503210
1737046,1551285 162451 2233815 1864635 2344984
1507675,2721169 472040 1595372
196956,
1835359,1196981 84272 23553 2149198 1084398
2359649,2030128 2294453 1287766 1761753 932497
2457956,
2982245,2138886 2659474 2579095 1285230 1414267
1311084,
1016175,925751 62452 230373 1909035 1803132
917876,1332558 541543 264667 1246175 1711745
1114485,2640781 2336701 2364286 2693900 1308032
1835382,272055 1123963 2763798 2766528 2096850
2479508,629289 2154574 2369662 2455411 1856885
622970,2486772 285686 1196981 1599649 1558051
2654590,713914 1967011 2437289 2592519 211863
2261375,838520 1812732 55173 243940 1944581
2916741,
1311110,2500175 2415390 2659905 1387196 165917
2228616,2453665 1190452 1639437 479626 76238
2714349,2694491 424893 1267146 2477584 779308
2588739,1818555 1359896 830322 362803 2639891
786836,1583547 2024094 2308814 460717 1519807
2891508,2053266 1313793 503937 1787184 172995
1704346,
98716,1260531 893799 2192157 2551889 1150432
2589086,
1961866,2745832 1246646 452255 1766559
1474991,2391945 1447547 920520 2312162 604795
1442226,2705547 1487922 465057 920081 63656
360883,1483116 2007871 285749 1018089 2092767
1212853,871579 1823509 2616751 1897873 1201239
1507769,947398 657183 221987 1525166 2354488
1311166,2064275 1727892 925973 134921 774856
1769923,2411149 1238055 929038 2811292 2662879
2943734,1340066 770995 434699 2073556 1695664
1016264,256886 2688176 1624781 118397 980589
197066,
1475020,299061 1300835 1315172 2310379 1192610
2463138,2266296 2500474 2588879 1533837 964178
2304761,620098 821571 686904 80050 359960
983512,943279 2751893 1778574
2785757,1604196 511739 2274555 351433 2585233
2211920,1852734 662760 1558051 1647414 2688116
2654694,2407407 1865083 472594 2593306 1784135
590311,
852457,2612234 1199649 212518 1552936 2300508
295406,1555334 1584276 1220826 1962463 412330
2841319,609831 2769467 1624781 1449988 907629
950769,1597526 2162032 942253 1146848 1729666
2458100,2687508
2884089,1106587 2127530 212013 1741013 2763558
2687488,151809 818174 2098273 2590861 1144754
360961,1416451 1768502 2247652 850753 2050568
2490886,1939053 2733672 1557892 1724926 1006589
2818573,
2687516,1905100 310209 2778201 1449988 1186344
2130462,2677636 1604545 65627 410815 611454
2190085,
1278496,542690 257749 574038 191967 335688
1147426,486951 1015912 1779406 647971 111570
33317,380376 2042690 1640586 2135053 1282248
1475110,2553102 2274527 1473515 2718988 1100303
262695,542825 24831 2265675 1624142 121365
1081897,
1901099,2511890 2248666 1163041 208186 1743879
1180204,1784088 1779255 80182 1868293 114073
950829,1437577 25855 801479 1777645 2197240
2327087,
655921,2507635 37163 1428631 640665 567873
950839,2102920 1671498 1536002 1482087 2418818
1835576,
754239,
2359875,1975548 922964 656728 1497986 1277950
983622,637137 538944 1443014 63699 872809
1829645,1509631 678262 630507 1912594 1798068
328272,2051097 63611 408842 2038259 595303
590418,1183403 2373063 2067015 2661296 1168877
950877,734976 613254 462095 93568 2727169
2490975,2537801 2516254 1916970 2778525 1928254
1606241,1522735 369761 2352493 46585 738056
2720354,1096595 1244478 980161 1669108 422895
819816,48149 1067189 451445 1050912 2683378
197225,984114 2024094 1271958 451286 555605
2097255,854601 2069422 616054 1437870 640120
1442412,2268771 1958084 1040073 1362351 735549
1081966,2026628 740487 2541833 2041994 1679853
721521,1824527 1419221 701000 1931528 1296164
2468627,2195508 526978 2150688 1967609 1449988
1868408,2309600 1756302 1431185 2136533 1280794
1868414,1105043 116630 833206 899829 2235265
2523775,2670799 2140281 1258802 1341658 868979
754305,322700 1318983 1872658 2055839 2676270
1016456,1704275 687357 771171 401408 2020294
1573513,
524938,
2622091,267706 2686959 1009817 170871 2550188
1818733,
688784,1030279 1840402 2498233 1475573 21677
164502,2128013 2476293
1344161,838799 1126036 1859233 1240553 1287265
1180323,1833247 2135057 163769 2647591 509865
1082020,1698884 1932304 801984 2650965 2185109
1671849,1030279 2382444 1840402 1734097 1475573
688811,789747 984114 1434088 1583678 1495110
1387293,2039826 2738915 712901 2770160 1423795
918202,1619659 1853461 973448 2658626 1079784
2556605,
492223,1577756 150052 2619109 661447 793634
1671873,986950 904595 15530 1726537 2723846
426693,254169 788342 1310522 1704842 1820087
2653652,
1409744,1086695 2251758 973448 762002 2527005
33492,2667620 924377 2597653 2458486 18386
1523833,48646 131739 2296371 1935754 2731358
2261720,434860 268384 1972331 1350148 2056638
983769,2638324 2054786 1639527 2516844 1012500
2938319,2486772 142028 685295 2823579 1576126
1901280,962854 2015163 2313894 1323535 1154582
2026253,1927789 624264 1926192 2027622 2763412
623334,2603642 942253 2681475 505157 819335
656106,62744 1982764 1558318 1860672 24136
295664,2230321 2149080 1801255 2570440 1357701
2032371,719754 1012212 1250782 2814079 1367271
951034,343377 2791339 1004316 1386412 1838145
2360062,1461005 2364286 864688 445302 1686
