user_id,recommended_items
223915,64701 352091 2246248 1944368 779267
2457606,550284 2213987 2821243 715272 1967785
917512,457270 1165605 350611 335428 1344373
1572873,343377 2218082 82402 41406 1294034
2807127,549646 2431683 226595 2024094 1611329
557075,1244196 2750844 2226682 790315 2477197
1867798,387569 1183354 2521154 1057023 1338516
1343511,2468829 1244196 1011174 2066757 1117836
1015833,
2523162,931519 1338516 2336701 859993 457270
2228252,1331308 2211387 1876513 1576126 1956960
2129952,1559514 2665046 1080024 1992775 206449
2064422,1244196 1854085 2637429 2489959 1835742
1015853,2106311 1915343 1004316 1838145 1010788
819246,1922189 2304657 2132343 1963624 316139
65592,723096 1244196 2778525 278589 2246580
2446687,
2555970,
1998915,648573 2628685 29314 1054067 1251276
2523205,1437248 931519 1898335 1387823 2071234
1245256,2006954 1906528 207930 377828 2522722
737292,
950348,1018726 579292 1949670 1301883 1107617
1802317,931519 2512414 512040 2336701 1499162
1409116,
2785373,711223 1754760 145815 2567173 1008678
491623,1244196 2749976 1240553 778212 387569
2195561,2707512 47739 1627875 564919 1539798
229494,60875
1343611,967268 2057496 768098 2165703 66012
1627970,1244196 2491011 2772102 1854085 1548072
2708842,2569424 934470 2356860 2446584 1206782
1114249,1432894 192420 2025105 2488898 821462
2228247,1244196 72465 1288082 606934 424421
2097299,1938039 1885496 1149263 2470242 1582734
2949270,1576126 388112 725181 933485 2564347
98458,1672211 81464 83460 2625619 1472473
2353861,1244196 778212 1337253 2005968 1165605
2654369,
1278116,657183 1007988 1642289 459908 1744585
2687142,1244196 851879 2277810 1871764 1435838
1999016,1105930 1622913 1410276 861767 863312
2719913,1540667 1728410 1980837 2530831 1386412
983217,
786611,554498 269069 2613699 1373344 1138469
524472,1435521 1171712 277482 381870 2239950
458938,964178 1984327 1244196 2266296 1797417
2042570,
1605822,1217083 1755502 1188449 2728896 429512
1540289,920520 697461 1773761 565141 1352001
2785474,2423973 1256515 694452 2778442 1246449
2097352,2778525 952014 335428 1551340 2082690
2425035,243940 1709691 1554139 144129 1924076
1278158,1110586 1056667 313851 2159078 1756974
1114324,1165605 2609073 1601976 1312678 2572279
131287,1057023 1953846 657183 2028523 1888366
2556124,906145 2144162 1386412 867260 2402742
1212640,992182 1088877 2617587 1505146 1933949
786660,197467 1499394 1517745 1198934 50457
1147109,387569 1165605 15226 237748 1975750
2916582,223623 1585842 2454045 315406 1746915
1376488,138649 1983797 1731448 1059979 1530036
2195691,2405262 1965763 2170109 105999 381226
196851,
1245430,579292 931476 1973627 109338 755183
524537,1244196 1823782 1077498 667505 1287323
2490619,1244196 1069281 343377 2459081 2489959
557309,2086041 1244196 1854085 2053198 387569
2195710,2017795 2336274 1898098 1437184 821462
655618,1290078 715272 558031 1165605 64701
2900011,1782499 834906 2025105 821462 2825431
381904,2719617 1165605 2092898 1911984 2419090
2948242,1796771 2466849 2522661 2654351 1340066
2774402,2222699 892368 2413494 47393 1805606
1278222,1386412 1244196 1854085 2637429 2415922
950545,1244196 1417079 1098848 2797255 2196399
2626947,1244196 657183 2749976 2598896 1539700
2949396,433236 2521154 383751 2442750 1165973
688409,721214 888807 387569 18572 2668302
1736986,2041285 1514629 412133 2033958 987596
2195739,606934 117291 579292 1672211 2740821
2392348,1244196 2534190 1988471 1672211 786202
285,1744585 1018726 414143 335428 2372420
164126,
1048864,2482810 2314169 397462 1540667 826027
753954,1411003 765477 887291 1591624 265097
2195748,657183 1938683 666568 636467 579292
2457894,1244196 657183 723096 1753782 2637434
1179947,1766819 1089692 2318379 2024094 19717
2326830,1940509 2520810
1671472,2826101 2075329 339227 931519 1689322
1737011,657183 2006954 1521582 574659 1814234
753975,
2488878,715272 1544868 1621298 632512 2310379
2359612,
2064702,2246580 37737 2185485 894910 2475730
852293,1244196 1708630 2667153 1053542 823512
131400,657183 1069281 2749976 2598896 1539700
360777,2024094 47583 777911 367160 1244196
295245,1869924 1440466 1053542 2556822 828659
295246,223623 657183 1585842 399598 776006
2621776,657183 266412 1057023 2335469 1166079
1737046,1847429 459908 1386412 1244196 2637434
1507675,472040 1595372 2721169
196956,
1835359,1196981 2521154 779190 383751 92053
2359649,466934 2112907 1165605 2775838 1242727
2457956,
2982245,2659474 1977248 1001431 1242727 685253
1311084,
1016175,698688 1165605 630820 320098 610011
917876,1420809 657183 579292 2473691 1509869
1114485,2640781 2336701 931519 657183 1244196
1835382,1317915 1386412 1183354 836898 343132
2479508,164655 72465 1244196 2651519 2228693
622970,1386412 560898 2714634 2767474 892368
2654590,713914 1967011 2437289 2592519 211863
2261375,1448360 2784272 1812732 2043929 243940
2916741,
1311110,2500175 559387 371042 952102 575783
2228616,2453665 1190452 1531216 1166510 1421265
2714349,624081 1192100 697461 1944946 1263263
2588739,2778525 994188 2617991 1420233 2086041
786836,1140869 1583547 2024094 47583 460717
2891508,1785216 1548072 1884305 2442680 1770012
1704346,
98716,1979540 1260531 893799 645747 2551889
2589086,
