user_id,recommended_items
649899,2825034 59733 1386412 1465807 88029
2457606,1290818 2659999 2726400 1238532 1059524
917512,2462072 549843 1574870 2491392 2236421
1572873,1475074 2820613 1073158 825601 774667
2118999,447873 14656 1239168 1199414 1222692
557075,854955 1519623 2201104 784881 2753045
1867798,84304 2708595 1121248 297006 2232458
2228247,2091019 1860172 2037855 1370833 1930991
1015833,
2523162,84304 689551 117018 1731112 2401732
2228252,1020040 131851 295951 1577104 2328213
2129952,1531419 1794685 736400 2015174 964435
2064422,2815331 2607206 1411684 1039319 2259940
1015853,1386412 343377 1522825 1004316 2791339
819246,2652392 2083059 830537 1827533 2636954
65592,1928254 862574 472040 1764428 2058419
1135967,1534625 384315 2203940 748584 2199886
2555970,
1998915,900608 1114125 1290766 1081873 2568214
2523205,117018 1119926 2564608 2043929 1499162
1245256,1688125 665612 403232 566734 352498
507916,1600513 541202 1093740 343157 79531
950348,704532 2811845 913719 2166585 2339151
1802317,1938945 2773384 810121 1726605 1757326
1409116,
2785373,1773743 2499303 161100 842614 705984
491623,1287265 1560025 792226 385217 2595020
2195561,1556736 98446 725780 158229 470426
229494,2147929 60875 1614495 1929461 342801
1343611,1377828 2721461 2037855 1831054 1382805
1758570,
2818185,522528 556033 1342472 287766 1192282
1343511,2605580 1604394 2261109 1173789 1206667
2097299,2191983 1386412 2712481 2802183 1344008
2949270,1090310 542469 1576126 1274752 2184068
98458,10417 309789 111604 2315864 2065842
2583237,848428 1990232 2052498 2378154 942004
2654369,
1278116,1049959 1988109 106512 440747 1640887
2687142,1162113 2667020 1991251 147038 1020562
1999016,971264 1227776 2393602 2575367 1487880
2719913,2462883 1868293 2504198 2129417 2530831
983217,
786611,590819 895508
51289,2090194 700583 1610215 1749875 434209
524472,1171712 1435521 1735139 237828 952102
458938,722433 2660875 2488844 1324922 2185817
2042570,
1605822,1876513 1646883 69520 1867675 2219078
1540289,1591820 545462 262385 2603283 964435
2785474,1274752 819204 2774149 2187911 1324940
2097352,1233470 2662146 2703723 245513 1822218
2425035,144129 674297 921860 55173 456969
1278158,1542531 1041388 186647 2504601 1056667
1114324,1597526 478208 1495979 2831365 1073158
131287,1237071 2439867 2236999 2687072 606934
1945492,
2556124,1096192 1074177 1126919 722440 1525771
1212640,2762498 372616 1370250 2216723 144788
786660,146944 2086053 1488387 1845252 1188182
1147109,1673229 941412 1709661 1231492 1719114
