user_id,recommended_items
649899,952014 1337011 1347445 2306574 88029
2457606,715272 1967785 526359 1080986 2213987
917512,457270 1165605 335428 1344373 746688
1572873,2218082 343377 82402 41406 1294034
2118999,2292605 884879 2676037 2783769 1616170
557075,1244196 2750844 2226682 790315 2477197
1867798,387569 1183354 2521154 1057023 1338516
2228247,1244196 1288082 606934 424421 2779430
1015833,
2523162,931519 1338516 2336701 859993 457270
2228252,1386412 1331308 2211387 1318983 1576126
2129952,1559514 2665046 1080024 1992775 206449
2064422,1244196 1854085 2637429 2489959 1835742
1015853,1915343 2106311 1004316 1838145 1010788
819246,1922189 2304657 2132343 1963624 316139
65592,1244196 723096 2246580 478799 1182842
1135967,323769 1534625 1872592 1761166 748584
2555970,
1998915,648573 2628685 29314 1054067 1251276
2523205,1437248 931519 1898335 1387823 2071234
1245256,2006954 1906528 207930 377828 2522722
507916,952014 778212 1244196 83460 1697299
950348,1018726 579292 1949670 1301883 1107617
1802317,931519 2336701 1499162 2512414 38932
1409116,
2785373,711223 1754760 145815 2567173 1008678
491623,1244196 2749976 1240553 778212 387569
2195561,2707512 47739 1627875 564919 1539798
229494,60875
1343611,1982016 621008 967268 2283530 995305
1758570,
2818185,2630936 843892 1741443 1018726 2715741
1343511,1244196 1011174 1117836 2468829 544101
2097299,2470242 2486575 15226 116474 1386412
2949270,725181 933485 2564347 2028523 674791
98458,1672211 81464 83460 2625619 1472473
2583237,2375558 545914 487895 78338 1425995
2654369,
1278116,657183 1007988 1642289 459908 1744585
2687142,1244196 851879 2277810 1871764 1435838
1999016,1410276 1105930 861767 383603 807267
2719913,1540667 1728410 1980837 2530831 1386412
983217,
786611,
51289,1744585 1844001 2314169 2031674 1018726
524472,277482 381870 1435521 1171712 591828
458938,1244196 964178 1797417 579292 990877
2042570,
1605822,1188449 2728896 429512 252232 98202
1540289,697461 1773761 565141 1352001 675502
2785474,1256515 694452 2778442 1246449 1078888
2097352,952014 335428 1551340 2082690 2046486
2425035,243940 1554139 1924076 144129 2097145
1278158,1110586 313851 2159078 1756974 204273
1114324,1165605 2609073 1601976 1312678 2572279
131287,657183 1057023 1888366 2520574 2413494
1945492,
2556124,906145 2144162 1386412 867260 2402742
1212640,992182 1088877 2617587 1505146 1933949
786660,197467 1499394 1517745 1198934 50457
1147109,387569 1165605 15226 237748 1975750
2916582,223623 1585842 2454045 1434088 33197
1376488,1731448 1983797 138649 1889796 1530036
2195691,1965763 2170109 105999 2405262 2549124
196851,
1245430,579292 931476 1973627 755183 1217340
524537,1244196 1287323 472594 1630527 1823782
2490619,1244196 952014 1854085 2489959 1835742
557309,1244196 1854085 2053198 387569 1287323
2195710,821462 2099969 2310379 1898098 1529678
