user_id,recommended_items
649899,1986129 968392 2434781 875776 2303907
2457606,2790784 1325058 2475013 2526657 2711049
917512,937049 1636910 63611 464522 266917
1572873,2156629 343377 1244787 2413494 657183
2118999,
557075,784737 554760 540654 2545674 249869
1867798,2462072 1455644 2043929 2470649 2439247
2228247,1776330 2791339 657183 1162250 1244196
1015833,
2523162,784737 2791339 931519 2232458 638712
2228252,1876513 1595938 1956960 1331308 1952969
2129952,590562 668899 1465382 1303218 130511
2064422,581249 5506 483205 227721 1666314
1015853,266412 1776330 657183 72465 2466095
819246,2590469 2594954 2080276 1233817 340124
65592,723096 460717 1386412 2778525 278589
1135967,859993 1564672 49537 45572 671237
2555970,
1998915,648573
2523205,
1245256,2396714 878413 2348573 2668271 2590469
507916,1352609 358787 508676 554760 2545674
950348,26304 1014850 1790293 715272 1924076
1802317,512040 1830993 815376 1194436 2165626
1409116,
2785373,24794 934336 1525764 2110725 1078977
491623,286848 589441 1844228 2590469 1782918
2195561,1834691 205039 807267 2301803 580097
229494,
1343611,2830593 241544 1911434 66012 2107918
1758570,
2818185,556033 1497742 496536 2035858 228755
1343511,172858 484433 1430243 1728166 415358
2097299,1938039 1100288 1582734 475030 2052569
2949270,1988490 388112 1064370 101005 1560749
98458,347562 1499162 310301 2791473 1797565
2583237,78338 2326056 487895 2190572 2053218
2654369,
1278116,90273 2045034 630507 2295534 1561200
2687142,1838816 1607107 340260 2280150 1174630
1999016,1227776 1622913 2353541 725769 1105930
2719913,1167500 1342811 1779620 2129417 2530831
983217,
786611,554498 269069 2613699 1373344 1138469
51289,1098944 2625281 2309062 1563169 2803776
524472,2003862 1070537 2771968 2622465 1435521
458938,2251030 1442051 1080069 2652678 103175
2042570,
1605822,1755502 2787334 1093941 2157347 2778662
1540289,604795 2312162 2391945 1831334 2398809
2785474,1244196 1679143 1047625 468120 1953846
2097352,2778525 1244196 784737 2031981 1386412
2425035,2726400 1100918 1709691 46821 1204967
1278158,1056667 43306 570668 1001431 272886
1114324,2637434 1020200 536047 1386412 387569
131287,2148834 1576126 1953846 2028523 2709027
1945492,
2556124,598787 500485 2138886 722440 593161
1212640,
786660,2250703 1812482 1845252 1198934 1333766
1147109,
2916582,315406 1274336 1746915 1928254 254048
1376488,1244196 2476293 1059979 1898849 536047
2195691,381226 2503223 2405262 1086695 478510
196851,
1245430,109338 118772
524537,1206860 1290875 478208 463365 868361
2490619,1244196 1953846 784737 1443706 266412
557309,1430325 2228294 1608366 291669 2207747
2195710,1437184 1024000 2017795 821260 944141
655618,1876513 1755502 2219078 2787334 2157347
573483,433346 1982706 2514346 2564608 13329
2774402,
1278222,1386412 2380306 942253 2087109 2419510
950545,1034245 635912 1933837 1644563 2343444
2626947,229304 1636910 2712481 1080265 1244196
2949396,375324 1397036 606549 261110 2129017
688409,888807 1260981 2258564 2480773 2703326
1736986,1684481 680708 1514629 2033958 347249
2195739,117291 2711960 2740821 606934 2430875
2392348,1506186 130558 1982016 650422 1244196
285,971906 1822084 746757 2011537 602260
164126,
1048864,510903 83465 26637 1122477 669712
753954,1411003 765477 887291 1591624 265097
2195748,568191 2002097 311317 2625619 1472716
2457894,1725698 249347 1146503 1331208 2479755
1179947,2813633 1766819 2037477 1784135
2326830,
1671472,2062952 339227 1601025 1391622 2021401
1737011,1701634 838668 1357325 61070 1648271
753975,
2359612,
2064702,478799 1775397 2470569 2002097 2185485
852293,1053542 1244196 823512 79531 278589
131400,1162250 1069281 657183 1244787 72465
360777,252698 47583 2183288 2024094 777911
295245,1494177 2300257 943848 2362507 801479
295246,558807 1941511 734812 626177 747193
2621776,1443706 554760 2796479 1047625 266412
1737046,381581 1443706 1386412 1600513 79531
1507675,472040 2721169 1595372
196956,
1802591,
2359649,
2457956,
2982245,2138886 2659474 2579095 2811546 600218
1311084,
1016175,2590469 2770160 780835 1074013 712901
2556276,
1114485,2159515 716019 2027015 2456593 1849280
