user_id,recommended_items
649899,1986129 2434781 875776 2303907 968392
2457606,1904877 1056667 494133 2203579 2833982
917512,937049 266917 865960 1850794 823468
1572873,2156629 343377 657183 1244787 784737
2118999,
557075,784737 554760 2625619 638712 2085819
1867798,2462072 1455644 2043929 2470649 625711
2228247,1776330 2791339 657183 1162250 1244196
1015833,
2523162,931519 2791339 784737 638712 2635038
2228252,1876513 1956960 1331308 2077189 2005523
2129952,590562 668899 1465382 1303218 130511
2064422,581249 5506 483205 1666314 2645314
1015853,266412 657183 1776330 72465 2466095
819246,2590469 1715615 2717862 2075582 599274
65592,723096 460717 1386412 2778525 665194
1135967,859993 1564672 49537 45572 1543175
2555970,
1998915,648573
2523205,
1245256,2396714 878413 2348573 2590469 1408111
507916,358787 508676 554760 2545674 728983
950348,1137055 1105930 2379661 1804539 721389
1802317,1830993 512040 624264 1194436 2512414
1409116,
2785373,24794 1603162 2432149 662497 1898748
491623,286848 589441 1844228 2590469 1782918
2195561,807267 205039 1834691 2301803 1065010
229494,
1343611,66012 1428631 2057496 1457851 2165703
1758570,
2818185,228755 1956887 556033 1497742 496536
1343511,484433 415358 1430243 172858 1728166
2097299,1938039 1582734 1885496 1149263 2118120
2949270,1988490 101005 2608560 1707227 1576126
98458,347562 2640201 379806 2791473 2781379
2583237,888272 2109683 2326056 2053218 2164847
2654369,
1278116,90273 2045034 630507 2295534 1561200
2687142,1838816 340260 2280150 465416 2365011
1999016,1227776 1622913 2353541 725769 1105930
2719913,1167500 1342811 1779620 1897594 851691
983217,
786611,554498 269069 2613699 1373344 1138469
51289,1098944 2625281 2309062 1563169 2803776
524472,2003862 1070537 1435521 1171712 2239950
458938,103175 2482541 1442051 2782893 1643040
2042570,
1605822,2787334 1755502 1093941 2157347 1244196
1540289,604795 2312162 2391945 1831334 920520
2785474,1244196 1679143 1047625 468120 1953846
2097352,2778525 1244196 784737 2031981 1386412
2425035,2726400 1299729 2090363 2376862 1100918
1278158,1056667 1001431 570668 43306 272886
1114324,2637434 536047 1020200 1386412 1499394
131287,1249278 2148834 1576126 318747 1953846
1945492,
2556124,1167126 2745605 718425 2163707 593161
1212640,
786660,2567572 1195481 2250703 2704394 1958413
1147109,
2916582,315406 1746915 1274336 1928254 1389392
1376488,1244196 2476293 1059979 1898849 536047
2195691,381226 1086695 2316200 2503223 478510
196851,
1245430,109338 118772
524537,1206860 1290875 11690 2742030 270644
2490619,1953846 784737 1443706 1244196 657183
557309,1430325 816624 1033253 1671267 558355
2195710,1673854 571817 270313 1437184 1024000
655618,1876513 2219078 2787334 1755502 1244196
573483,433346 2514346 1982706 13329 594119
2774402,
1278222,1386412 2380306 2419510 2087109 784737
950545,1434678 2177595 453182 146576 1260179
2626947,229304 1080265 1244196 1636910 2712481
2949396,375324 1397036 606549 261110 2129017
688409,2703326 19096 888807 288863 1995872
1736986,1684481 680708 347249 2388776 545612
2195739,2740821 117291 2711960 2430875 606934
2392348,130558 1506186 1982016 2705759 536047
285,2011537 540187 1797064 1691871 377787
164126,
1048864,510903 669712 2482810 801479 2180322
753954,1411003 765477 887291 1591624 265097
2195748,568191 2625619 2002097 902591 311317
2457894,1725698 1982448 2722870 249347 1427857
1179947,1766819 2813633 2037477 1784135
2326830,
1671472,2062952 339227 1876513 2445350 1481282
1737011,465558 2229274 2319540 2131278 1090127
753975,
2359612,
2064702,478799 2552625 2470569 2246580 2185485
852293,1053542 1244196 823512 79531 278589
131400,1069281 1162250 657183 72465 2581784
360777,252698 47583 134458 695653 980478
295245,1494177 2300257 943848 2362507 801479
295246,558807 2292722 1941511 734812 747193
2621776,1443706 1047625 2796479 554760 1069281
1737046,1443706 1386412 381581 2239082 1847429
1507675,472040 2721169 1595372
196956,
1802591,
2359649,
2457956,
2982245,903984 1105337 770749 1577023 1448518
1311084,
1016175,2590469 2770160 780835 1074013 712901
2556276,
1114485,2159515 716019 1626201 2640781 1450832
1835382,1317915 1706622 2470880 1432568 2791339
644500,2671360 2012588 2728896 266817 1858896
622970,657183 936410 460717 1386412 2749976
2654590,1967011 2437289 713914 2592519 211863
2261375,2158566 933698 34355 2080823 1624142
2916741,
1311110,2500175 559387 802799 2415390 2659905
2228616,2453665 1190452 2822823 1120040
158445,
2588739,2507411 2470201 689373 2156629 2778525
786836,460717 1928254 472040 134458 400506
2891508,60630 1218016 1965165 1277973 2803577
1704346,
98716,2348573 660656 2200859 1608366 228623
2589086,
1474991,920520 2391945 291669 2255841 2353541
1442226,1549837 1085028 61070 1242727 2705547
360883,2007871 285749 1018089 2092767 148296
1212853,
1507769,947398 657183 221987 1525166 2354488
2656669,2675968 957443 918021 587782 2729479
1311166,870063 2309207 530744 584626 2777593
1769923,2710106 1238055 1941131 2411149 528167
1501942,1020875 2751394 468120 1842144 2420135
1016264,
197066,
1475020,
2463138,79531 374097 2397769 964178 2265745
2304761,
983512,
2785757,511739 2274555 351433 2585233 1644925
2080848,
2654694,1502840 1607627 456839 625711 2215624
590311,
852457,
295406,2408987 1750400 2080276 370087 441523
950769,1066213 1091215 1996122 2078821 1401522
2458100,2687508
2884089,79531 2778525 1140869 460717 1928254
2687488,1707014 151809 818174 2098273
360961,2131409 2302683 886778 1062401 2494722
2490886,2767091 1118136 1557892 1914911 2118911
2818573,
516541,2154209 335428 447271 2329324 1545485
2687516,1878823 2040128 343292 1911566 2469913
2130462,1053542 2778525 1244196 823512 1386412
551685,134458 2024094 2506235 1488958 1044622
1278496,1227884 2560641 2039234 814080 934146
2163234,940554 2413494
33317,2040236 2080213 72989 1279643 1573780
1475110,460717 221840 657183 1558489 2068458
262695,
1081897,
1901099,
1180204,80182 1599606 1234054 867559 1868293
950829,340811 2717048 1677336 48650 2819657
2327087,
655921,1140869 92053 2409634 37163 2507635
950839,2102920 1536002 1671498 1482087 2418818
1835576,
754239,
2359875,2117630 579292 455510 684089 1732848
983622,1165330 517907 1553057 16461 2320206
1895181,16356 131427 2002097 1020200 657183
328272,624264 408842 2547597 2268052 2051097
590418,641410 1120388 594184 2156427 2219714
950877,2171928 2559769 2559482 734976 2574702
2490975,2778525 1928254 543296 472040 789747
1606241,1325341 2470569 1522735 1223136 369761
2720354,986950 2411210 942420 955572 938498
819816,48149 1410508 127309 1938924 550765
197225,1145228 1373451 2719406 222590 2121162
2097255,184576 1566544 804939 74956 1938959
1442412,2417933 823512 1329008 623006 1138032
1081966,2026628 740487 2541833 2041994 1679853
721521,2755079 1320279 163775 1905111 2814750
2468627,
1868408,2309600 1756302 1431185 2136533 1280794
1868414,125464 657183 1548973 18872 1502272
