user_id,recommended_items
285,1345769 2343815 2775160 1235195 2657239
902,1983757 515119 2047542 1212173 1359029
948,1359029 1983757 782382 2108533 2047542
1183,2791278 2579533 1345769 750033 1863303
1286,1359029 1018421 2353116 2047542 2653361
1509,750033 1345769 1863303 318674 1018421
1776,65474 2791278 1568942 1863303 1345769
1982,1359029 1018421 23362 2353116 2047542
2742,1359029 1018421 23362 2353116 2047542
3161,2775160 1018421 750033 2653361 1359029
3256,1345769 1018421 2791278 1863303 240873
3375,1359029 2047542 1983757 2353116 708657
3547,1359029 1018421 23362 2353116 2047542
3630,338483 2650926 1345769 298622 1599678
3806,924988 1697928 479344 400796 1212118
4607,1359029 1018421 23362 2353116 2047542
5112,1359029 1018421 23362 2353116 2047542
5627,2791278 23362 2579533 2653361 240873
5686,1018421 2775160 1345769 343292 240873
5738,665612 964555 298622 2650926 750033
5839,1018421 2047542 613163 1345769 343292
6442,2558655 317172 1472473 479344 1630793
7182,1570594 978709 842619 2719779 1499394
7693,1359029 1018421 23362 2353116 2047542
8316,1328800 931519 2092767 2078168 2791278
9660,1359029 289533 2117630 2308293 1018421
9680,1359029 1177446 2775160 1983757 2108533
10044,1359029 1983757 1472473 99474 2108533
10316,1359029 1983757 1472473 1684123 2047542
10469,1359029 2775160 1472473 343292 2127017
10470,2579533 2791278 23362 2571218 1863303
10870,1359029 1018421 23362 2353116 2047542
10956,65474 2609612 1568942 2185746 2791278
11027,1024721 750033 338483 1345769 298622
11380,1359029 2353116 1018421 1819902 1684123
11423,1359029 1018421 23362 2353116 2047542
11805,2775160 2474905 381226 2834737 2419090
12046,1359029 23362 2775160 2653361 343292
12097,2791278 2579533 1345769 1863303 65474
12233,1359029 1018421 23362 2353116 2047542
12593,1345769 802518 750033 1863303 874489
12626,1472473 1630793 1024721 1819902 768546
12630,1359029 2047542 2353116 1018421 2108533
12671,1018421 1359029 2353116 343292 1472473
12689,750033 128673 1235195 1345769 2358442
12750,2650926 2358442 298622 338483 128673
12852,1472473 1359029 1684123 2127017 383103
13715,1359029 1018421 23362 2353116 2047542
14269,2775160 415358 1472473 1018421 343292
14624,2791278 2579533 1736350 2522398 2047542
14792,2791278 2579533 1863303 1345769 846810
14966,1261539 2092767 2047542 1983757 1177446
15006,1472473 1024721 1018421 2775160 750033
15100,2775160 1706622 383103 1359029 809991
15549,2791278 2579533 2571218 546243 2477038
15611,1359029 2353116 23362 1018421 343292
16228,1359029 1018421 23362 2353116 2047542
16874,1359029 23362 2653361 2353116 1498481
16971,2650926 1235195 2358442 298622 750033
18097,1018421 289533 343292 2498181 23362
18564,2791278 2579533 243727 2171176 2653361
18796,2791278 2579533 1863303 1345769 65474
18994,1986537 365608 347383 40195 2223576
19544,2047542 2579533 1018421 2791278 23362
19679,1359029 1983757 842619 2047542 333993
19704,2579533 2791278 2047542 2571218 144549
20101,2791278 1345769 2579533 65474 1863303
20679,1359029 1472473 383103 2127017 1819902
20815,1904674 1568942 479344 110711 111553
20979,1472473 1024721 1018421 794156 2629501
21195,1018421 1024721 2775160 750033 1472473
21324,2775160 1426534 562035 1579066 845633
21578,1359029 1018421 23362 2353116 2047542
21627,65474 2791278 846810 1943713 129305
21663,1261539 1328800 1177446 1983757 1568572
21813,1345769 2579533 1863303 2791278 240873
21835,2047542 2761561 1145435 1395879 2514951
22107,2047542 1983757 1359029 2092767 1328800
22206,1983757 2085209 1492328 1069842 1181698
22591,1359029 2653361 2353116 1018421 1177446
22728,1359029 1018421 23362 2353116 2047542
23229,1359029 1018421 343292 1472473 2353116
23361,1143366 924988 479344 2558655 783957
23459,1359029 1472473 1018421 2127017 718370
23667,1467536 1291261 1018421 2182729 2687390
23718,2791278 546243 2579533 2047542 65474
24419,1359029 1018421 23362 2353116 2047542
24465,1328800 2092767 2791278 931519 1261539
25906,1359029 2047542 1983757 1018421 2353116
26038,846810 1908119 2816813 2791278 1439334
26658,1345769 1018421 1093296 613163 1863303
27187,2775160 1345769 23362 2343815 750033
27501,809991 1424471 1706622 1843411 1498481
27638,2791278 1439334 65474 912679 2359254
27707,65474 2791278 1265432 644265 2571218
27727,1345769 1018421 750033 2653361 240873
27845,2092767 1328800 931519 2047542 2117630
27931,1359029 2775160 1472473 1706622 99474
28232,1093296 1505787 2791278 1939637 1672915
28739,1261539 1499394 1683436 1568572 2092767
28801,1093296 2191983 1345769 874489 1594480
28972,1804723 1860448 2523483 1018421 1472473
29072,2579533 2791278 1863303 1345769 240873
29146,2791278 2579533 2571218 65474 1345769
29212,1018421 1472473 343292 1359029 2353116
29340,1345769 1093296 1018421 338483 750033
29449,2047542 1983757 1359029 1736350 1145435
29519,1345769 750033 1018421 1024721 2558655
30094,1983757 2047542 1073070 1359029 1492328
30368,1359029 1018421 23362 2353116 2047542
30774,1359029 1018421 23362 2353116 2047542
30910,2791278 1671747 2579533 1201171 2173340
31318,1505787 2791278 2157347 1093296 2498181
32111,1359029 1018421 23362 2353116 2047542
32371,1983757 1359029 782382 2047542 935545
32434,1359029 2047542 1983757 23362 1177446
33119,1359029 1018421 23362 2353116 2047542
33317,1345769 2791278 1093296 874489 2579533
33492,298307 23362 2653361 2579533 128673
33552,2791278 2579533 1345769 2571218 1448909
33704,1359029 2750191 399435 2685700 613163
35125,1359029 1983757 1181698 2047542 1472473
35517,1328800 2092767 1261539 1177446 2047542
35752,1359029 2047542 1983757 2108533 2353116
36049,1951946 2067987 378988 2339500 1393670
36125,1261539 1177446 2092767 1499394 243727
36396,1359029 1018421 23362 2353116 2047542
36940,2047542 1499394 1983757 2723262 1736350
37187,23362 2047542 243727 2791278 894828
37351,2092767 1328800 1983757 1177446 1359029
38059,2791278 1345769 2579533 2571218 1201171
38189,1345769 1018421 750033 1024721 2558655
38365,1359029 1472473 2127017 1018421 2775160
38481,1359029 2047542 1018421 2353116 289533
38730,2791278 1863303 23362 65474 1345769
38944,924988 365608 1550605 1359029 2501356
39189,1359029 1018421 23362 2353116 2047542
39773,1983757 1359029 1177446 2047542 1328800
39778,857284 2629501 2707666 1190091 1122810
40141,1983757 2047542 1359029 708657 1177446
40180,1359029 1983757 842619 333993 2108533
40246,750033 1345769 298622 318674 1599678
40468,2791278 2579533 65474 1345769 1863303
41309,1018421 2182729 1024721 1467536 1472473
41345,2775160 1359029 1472473 1819902 383103
41383,2047542 2791278 1736350 546243 552317
41403,1018421 1345769 2558655 1291261 2182729
41629,1499394 1983757 1261539 333993 978709
41649,750033 1345769 128673 2012469 298307
42051,2775160 2068458 2171176 2474905 2067987
42321,1359029 1018421 23362 2353116 2047542
42617,1018421 1345769 613163 1467536 1093296
42912,1359029 2775160 1472473 343292 383103
43088,23362 1018421 2791278 2653361 1345769
43399,243727 1570594 2092767 2117630 1177446
43444,1359029 1018421 23362 2353116 2047542
44628,2791278 65474 2579533 846810 1201171
46074,1359029 1018421 23362 2353116 2047542
46106,1359029 1018421 1472473 2127017 2353116
46377,2579533 2791278 1345769 1863303 240873
46391,2476157 1804721 399832 912679 1683436
46874,1359029 1472473 1018421 1455644 2127017
47353,1345769 2791278 2579533 1018421 1863303
47387,2047542 1359029 243727 2353116 1018421
47475,1345769 128673 750033 802518 1235195
47662,1983757 2047542 708657 1359029 1069842
48463,1359029 1018421 23362 2353116 2047542
48478,2047542 1359029 1018421 2761561 613163
48675,1018421 2047542 343292 1359029 2353116
48789,2791278 243727 2498181 2157347 144549
49239,1538496 65474 1912217 777623 1568942
49334,1359029 1472473 383103 2047542 1819902
49418,1359029 2653361 23362 298307 1422652
49794,2791278 2579533 23362 2653361 2343815
50754,23362 2012469 750033 1359029 2653361
50874,912679 1439334 2579533 2791278 846810
51289,1359029 1983757 1320309 178714 365608
51380,1345769 986161 802518 1093296 1983369
51416,2791278 65474 546243 2579533 2571218
51445,1499394 1261539 2791278 2579533 2092767
51851,1671747 2791278 574650 1328800 2579533
52067,2791278 2579533 2571218 144549 1018421
52207,1359029 1983757 935545 782382 2047542
52730,1983757 1320309 1986537 935545 1359029
52831,2775160 1579066 2834737 2419090 1426534
53121,1177446 1498481 2092767 1359029 1550605
53574,718370 1359029 2574263 1184649 2308293
53638,343292 1472473 2775160 1018421 2353116
53677,374376 1201171 2791278 2579533 931519
53760,1018421 1345769 1024721 240873 750033
53874,894828 2171176 243727 1683436 1261539
54382,2710864 2498181 2711364 2157347 1505787
55261,931519 2579533 374376 1201171 741020
55358,1345769 2703440 479344 2191983 2835219
55450,1472473 343292 1717243 100263 382230
55534,1359029 2474905 2653361 1424471 23362
56110,1024721 298622 750033 318674 1090298
56216,1425726 1143366 44317 1738745 1581041
56227,2487208 1093296 2185746 1182507 8534
56317,2791278 2579533 1863303 1345769 23362
56439,1345769 750033 1018421 240873 318674
57013,1345769 1093296 874489 298622 750033
58197,1359029 809991 1177446 381226 1983757
58250,2791278 2579533 546243 912679 2498181
58548,2791278 2579533 65474 2477038 1505787
58600,1359029 2047542 1983757 2108533 1170384
58624,1018421 1467536 343292 1345769 1093296
58695,2047542 1359029 1983757 1550605 2353116
58784,1359029 1018421 23362 2353116 2047542
58798,1177446 1328800 1261539 1629929 1983757
58833,1018421 1345769 750033 1093296 69921
59104,1345769 750033 1599678 2358442 298622
59135,2047542 2791278 1505787 144549 1395879
59546,2047542 1359029 2791278 2498181 144549
59782,1291261 2182729 1018421 613163 1889900
59842,2047542 343292 1145435 613163 2761561
60155,2775160 1359029 383103 1472473 1706622
60471,1983757 1359029 782382 1492328 1181698
60496,1359029 1018421 23362 2353116 2047542
61016,2791278 2579533 65474 1345769 2571218
61298,1345769 750033 240873 318674 1018421
61873,1093296 1018421 2191983 1944493 1505787
62808,2775160 1579066 528526 881017 946436
62908,1472473 2775160 1359029 2127017 1819902
