user_id,recommended_items
285,419011 1867675 1728166 1575494 381226
902,1443706 657183 1244196 2487208 2031981
948,1053452 2778525 1244196 1053542 823512
1183,579292 1096406 2775160 2796479 2687072
1286,2397541 265291 1266442 1981683 1180447
1509,1117449 291669 1334568 1330350 1895272
1776,1550605 2791339 1921412 536047 1386412
1982,2397541 265291 1266442 1981683 1180447
2742,2397541 265291 1266442 1981683 1180447
3161,1053452 1140869 460717 722433 278589
3256,1244196 1133414 1233470 1053542 1443706
3375,2778525 1244196 1233470 1053452 823512
3547,2397541 265291 1266442 1981683 1180447
3630,872103 1443706 2348573 2142251 415358
3806,2002097 1092821 1386412 2413494 657183
4607,2397541 265291 1266442 1981683 1180447
5112,2397541 265291 1266442 1981683 1180447
5627,2795800 872103 2770160 1086695 499178
5686,1427250 748663 1123592 466597 995008
5738,2778525 1053452 1244196 823512 1742926
5839,1053452 1443706 2778525 1053542 79531
6442,650449 1928254 1053452 2636095 677711
7182,2476293 1857507 2183922 1218572 1120107
7693,2397541 265291 1266442 1981683 1180447
8316,499178 1834588 1239082 2491016 127750
9660,1386412 1695664 315676 1053452 1928254
9680,2791339 1092821 1717731 2778525 2593483
10044,1171271 1490527 243727 149808 1855215
10316,2002097 784737 1386412 1092821 2791339
10469,1427250 748663 1123592 466597 640181
10470,1867675 1794685 1876513 1427250 1575494
10870,2397541 265291 1266442 1981683 1180447
10956,1229646 2778525 579292 1899627 2191983
11027,278589 2532610 722433 1140869 1928254
11380,640181 1117449 846810 2590469 1427250
11423,2397541 265291 1266442 1981683 1180447
11805,419011 1687268 1001431 931519 2230175
12046,1984327 2476293 1857507 2183922 1583802
12097,1386412 536047 1092821 657183 784737
12233,2397541 265291 1266442 1981683 1180447
12593,1788671 381226 419011 2593483 315676
12626,677711 1728212 2037477 1230659 2351592
12630,1717731 2402625 984924 1239082 1823509
12671,1140869 460717 794156 1928254 134458
12689,1319279 1257327 164811 1118308 1386412
12750,657183 2791339 1386412 2002097 830073
12852,278589 1053452 1140869 1013774 2225242
13715,2397541 265291 1266442 1981683 1180447
14269,1053542 1233470 1742926 823512 1244196
14624,1053452 1133414 2778525 1443706 1053542
14792,1053452 1244196 2778525 278589 1133414
14966,2593483 1092821 579292 1788671 473429
15006,2778525 35677 1092821 1794685 2127017
15100,1053452 1899627 419011 1244196 1519543
15549,1053542 2002097 1386412 1092821 1742926
15611,1386412 1695664 1788671 315676 1317915
16228,2397541 265291 1266442 1981683 1180447
16874,2532610 1928254 79531 722433 1053452
16971,1834588 952102 278589 2766686 2705484
18097,1695664 2047542 2289895 1353323 2402625
18564,1576126 1237071 1090310 1201171 1053452
18796,436574 1014523 1458602 1624781 1861466
18994,645636 419011 1550605 265522 1056667
19544,830073 1042196 536047 1984327 2791339
19679,1386412 2402625 1695664 1320309 2047542
19704,499178 788342 186124 1086695 973448
20101,1550605 536047 2002097 1921412 1092821
20679,1244196 2031981 657183 266412 1443706
20815,2795800 2348573 872103 2770160 1086695
20979,278589 1230659 2037477 1195481 650449
21195,1443706 2795800 738213 2462072 117018
21324,2778525 1092821 2791339 2325998 507069
21578,2397541 265291 1266442 1981683 1180447
21627,419011 1867675 1575494 1056667 265522
21663,1140869 460717 794156 479344 134458
21813,1140869 1928254 794156 47583 278589
21835,1053452 1133414 1201171 1237071 1443706
22107,2348573 2795800 872103 2778525 415358
22206,419011 1695664 278589 2002097 1330350
22591,1239082 2127719 1834588 499178 1053452
22728,2397541 265291 1266442 1981683 1180447
23229,499178 788342 2476293 186124 1857507
23361,2002097 278589 657183 2512859 2635038
23459,278589 2532610 722433 2590849 1586072
23667,243727 640181 1171271 149808 2590469
23718,1443706 1244196 2795800 872103 266412
24419,2397541 265291 1266442 1981683 1180447
24465,536047 657183 2002097 1386412 830073
25906,2778525 1053542 79531 278589 1233470
26038,1117449 1334568 2825431 1073158 2546303
26658,278589 1928254 460717 79531 2532610
27187,2795800 1086695 2770160 2348573 712901
27501,2778201 1962549 2421624 1928254 290587
27638,645636 2127719 1921412 1550605 421734
27707,1788671 2277810 2593483 315676 473429
27727,278589 1140869 1928254 460717 79531
27845,1053542 1244196 1233470 1742926 1053452
27931,2402625 1092821 2002097 2350243 2778525
28232,1117449 291669 1334568 1073158 1895272
28739,1274336 1053452 268025 843445 1928254
28801,2230175 419011 973863 1051740 1669539
28972,2825431 1330350 1117449 1053452 291669
29072,499178 1086695 2770160 1074013 712901
29146,2230175 1051740 973863 1669539 2702095
29212,931519 117018 2401732 689551 2462072
29340,1695664 2402625 1386412 1230659 1550605
29449,2770160 2795800 2348573 712901 2142251
29519,2791339 1162250 1386412 784737 343377
30094,419011 381226 1056667 1687268 1728166
30368,2397541 265291 1266442 1981683 1180447
30774,2397541 265291 1266442 1981683 1180447
30910,1695664 1165605 2402625 2698468 2734883
31318,1386412 315676 2402625 2277810 2791339
32111,2397541 265291 1266442 1981683 1180447
32371,381226 419011 1788671 2746931 1728166
32434,1695664 1165605 1386412 1636910 1788671
33119,2397541 265291 1266442 1981683 1180447
33317,710935 2164654 225940 923245 1902635
33492,1065465 278589 1490527 902049 799322
33552,2778525 1053542 1233470 1742926 823512
33704,1244196 784737 1443706 1386412 830073
35125,499178 788342 186124 1086695 973448
35517,2795800 374376 1899627 117018 1669539
35752,657183 1443706 1162250 1244196 1386412
36049,1624781 436574 2713095 399596 2197213
36125,117018 1053452 2795800 1443706 2462072
36396,2397541 265291 1266442 1981683 1180447
36940,1330350 1117449 1334568 1073158 2546303
37187,1092821 536047 419011 2002097 2791339
37351,1386412 536047 2002097 2791339 1092821
38059,2476293 1857507 2183922 1218572 1120107
38189,1133414 542469 1237071 1090310 2778525
38365,1133414 1201171 1053452 1237071 1679143
38481,419011 2230175 973863 1051740 1669539
38730,117018 419011 2705759 110711 2128544
38944,1624781 436574 2197213 634336 985008
39189,2397541 265291 1266442 1981683 1180447
39773,278589 2778525 2532610 2590849 1586072
39778,562420 902482 2310379 2556082 257339
40141,1053542 1233470 1742926 1244196 79531
40180,1427250 748663 1123592 466597 995008
40246,278589 1928254 1140869 460717 2037477
40468,645636 290587 1823509 1270533 46075
41309,2397541 265291 1266442 1981683 1180447
41345,657183 784737 1162250 343377 1386412
41383,2421624 2778201 1823509 1475481 1276238
41403,1140869 1386412 460717 1928254 794156
41629,2778525 1092821 2593483 2086041 784737
41649,1140869 460717 794156 1928254 479344
42051,2770287 1053452 1274336 1753692 1230659
42321,2397541 265291 1266442 1981683 1180447
42617,117018 689551 295634 2401732 984924
42912,278589 2532610 1586072 2590849 158526
43088,1386412 2002097 1092821 2791339 16356
43399,1140869 278589 460717 794156 47583
43444,2397541 265291 1266442 1981683 1180447
44628,2778525 1867675 1330328 2185746 1092821
46074,2397541 265291 1266442 1981683 1180447
46106,265522 770613 2111288 2778525 2047542
46377,640181 291669 1117449 748663 1427250
46391,1669539 2230175 499178 536047 660035
46874,657183 1092821 536047 2593483 784737
47353,640181 846810 265522 2590469 1117449
47387,1386412 1092821 2002097 536047 2778525
47475,657183 2002097 2791339 1092821 536047
47662,1794685 1867675 1575494 141176 2221726
48463,2397541 265291 1266442 1981683 1180447
48478,2778525 1053542 1233470 1742926 823512
48675,278589 2314169 2351592 1728212 1230659
48789,84304 1386412 2049946 1830993 1566296
49239,419011 1001431 2230175 2593483 381226
49334,315676 1695664 2160364 1815493 1852396
49418,1386412 536047 1092821 1984327 657183
49794,645636 419011 1053452 364520 722433
50754,1386412 2002097 2593483 1092821 315676
50874,2002097 1092821 536047 1386412 784737
51289,923541 645636 2348573 712901 1695664
51380,1386412 2002097 1092821 2402625 1695664
51416,1717731 830073 248625 640181 291669
51445,2778525 562420 2710882 1843330 2635038
51851,1928254 1140869 794156 134458 47583
52067,1053452 1443706 1244196 152021 1317915
52207,2476293 1857507 2183922 1218572 1120107
52730,266412 1244196 1162250 1443706 1984327
52831,1386412 1984327 657183 536047 784737
53121,1053452 1550605 2169741 784737 1330350
53574,788342 186124 1086695 973448 1776696
53638,419011 645636 2435845 2164723 1550605
53677,436574 984228 1014523 1458602 1821711
53760,84304 1830993 2049946 624264 1566296
53874,1687268 1834588 931519 1164968 499178
54382,1386412 315676 2402625 2791339 2277810
55261,1118861 1171271 1230541 1386412 1982510
55358,278589 1140869 650449 460717 2713095
55450,645636 1823509 290587 1065465 637756
55534,2397541 265291 1266442 1981683 1180447
56110,1687268 2401732 117018 57147 689551
56216,1133414 1201171 1679143 468120 2459081
56227,931519 84304 117018 2049946 2822479
56317,931519 2401732 117018 2791339 57147
56439,1788671 1427250 1386412 748663 381226
57013,1053452 657183 2031981 2487208 1053542
58197,1092821 1386412 536047 657183 278589
58250,2778525 1053542 278589 1742926 1233470
58548,2164654 710935 225940 923245 1902635
58600,278589 1928254 460717 1053452 79531
58624,2778525 1244196 1233470 1053452 823512
58695,1624781 436574 399596 634336 2197213
58784,2397541 265291 1266442 1981683 1180447
58798,1550605 1053452 2325998 1244196 1257327
58833,1695664 1386412 2047542 2698468 1165605
59104,1550605 1239082 2127719 645636 1834588
59135,1876513 2221726 43306 1867675 2127017
59546,1928254 278589 2532610 722433 1541359
59782,830073 1984327 536047 657183 784737
59842,1386412 2791339 1092821 1788671 1928254
60155,1788671 2593483 1928254 1092821 315676
60471,1140869 460717 1928254 794156 134458
60496,2397541 265291 1266442 1981683 1180447
61016,1053542 1233470 1742926 823512 1244196
61298,2778525 1490527 1053542 1742926 823512
61873,499178 1053452 592559 2716169 186124
62808,1490527 1065465 902049 2750191 799322
62908,657183 1244196 2031981 266412 1443706
62914,2397541 265291 1266442 1981683 1180447
63061,1576725 636889 579292 1090298 2614865
63163,2778525 1490527 799322 1742926 1065465
63322,2402625 278589 1284120 428921 181186
63597,1201171 266412 1133414 1679143 657183
63753,2183922 1857507 2476293 1218572 1120107
63872,2002097 2635038 1229646 1899627 536047
64303,657183 1386412 784737 2791339 343377
64930,278589 2002097 1092821 536047 2593483
65592,1140869 278589 1053452 460717 722433
66592,2402625 1284120 428921 181186 2453883
66908,2791339 1427250 748663 1092821 1717731
67173,1179527 1751866 71091 1854464 1382986
67354,1794685 50457 1867675 1155556 1795249
67659,1244196 1443706 2031981 266412 1053452
67705,2795800 2770160 872103 2348573 415358
67752,2397541 265291 1266442 1981683 1180447
67939,1928254 1788671 315676 2277810 1386412
69088,2397541 265291 1266442 1981683 1180447
69418,2037477 1195481 2314169 995603 1754760
69428,1928254 278589 2532610 1053452 1140869
69757,511147 1166629 499178 1982510 1230541
70134,1386412 1092821 2002097 784737 657183
70534,1717731 1092821 2636095 2593483 2277810
70547,1794685 2221726 50457 1155556 1876513
70649,1053452 1443706 1053542 2031981 2778525
70855,278589 536047 2002097 1669539 1051740
71226,1984327 2791339 657183 830073 1928254
72027,931519 84304 2401732 117018 748663
72461,2795800 2348573 415358 2770160 2142251
72570,1330350 2778525 1334568 830073 1073158
73454,2047542 1386412 1695664 2289895 92714
73471,1794685 1867675 2221726 141176 50457
73525,1274336 278589 650449 268025 1928254
74032,2397541 265291 1266442 1981683 1180447
74663,436574 1624781 1014523 1458602 1861466
75611,291669 1334568 1895272 1330350 640181
76103,1928254 1541359 536047 722433 2775160
76608,1239082 1717731 802490 1605963 1634003
76720,152021 2501356 2750191 1619659 1490527
77440,1160495 579292 1576725 1227893 1090298
77641,1244196 1133414 1233470 1053542 1443706
77738,1576725 579292 636889 1227893 1090298
77942,2397541 265291 1266442 1981683 1180447
77992,2002097 536047 1092821 278589 1386412
78016,1117449 291669 1334568 1073158 1895272
78100,650449 1728212 2037477 278589 2351592
78298,2397541 265291 1266442 1981683 1180447
78784,265522 770613 1056667 2111288 538895
