user_id,recommended_items
285,1032655 2570440 2616526 1366422 2294673
902,2551008 1559147 1984569 450352 171300
948,2614160 1689191 366974 169964 243340
1183,785331 2443046 124536 2443175 121689
1286,657183 1244196 1162250 784737 266412
1509,2467273 1117449 892333 2086041 568223
1776,1722553 1643152 2631378 2692801 1421442
1982,657183 1244196 1162250 784737 266412
2742,657183 1244196 1162250 784737 266412
3161,2804521 935424 2088702 1394134 2220691
3256,1851538 1791306 698465 333784 727516
3375,2256864 565576 748966 840727 2697460
3547,657183 1244196 1162250 784737 266412
3630,2290613 2379472 2564607 68837 2437406
3806,26579 2055662 1961696 1525041 1321703
4607,657183 1244196 1162250 784737 266412
5112,657183 1244196 1162250 784737 266412
5627,294398 1700045 740397 345660 613431
5686,920019 842457 507451 381199 2291375
5738,813400 2487617 2299487 556364 1774879
5839,1952969 1767343 2738512 1063997 1775531
6442,97442 2817445 1412389 96331 544219
7182,248636 1551319 2014172 2801720 1884669
7693,657183 1244196 1162250 784737 266412
8316,320602 2228797 2476988 1069579 2317186
9660,700509 2268963 2817792 266196 1298932
9680,624750 664502 431272 10811 947618
10044,2232786 1281528 1886711 2553322 2602695
10316,1771645 273014 1962993 2829150 709754
10469,2191221 1937899 2494652 1647308 1482543
10470,1354095 682629 626997 2154395 224130
10870,657183 1244196 1162250 784737 266412
10956,192785 2137413 763566 2147397 1923079
11027,1648187 1147424 1116360 1791528 1255231
11380,1999252 262385 2307993 1395546 1466341
11423,657183 1244196 1162250 784737 266412
11805,1881541 1182960 413522 963422 786760
12046,1934164 1823399 798094 586567 2071926
12097,201335 1583754 2367046 1176686 1278887
12233,657183 1244196 1162250 784737 266412
12593,1094776 2408382 2276798 2575446 2707577
12626,929547 936208 2054506 1999567 353713
12630,1137326 2083677 1932446 2761339 152958
12671,1048625 1741345 1984752 2568608 825533
12689,1130963 565799 586144 990395 699671
12750,691571 708219 586587 1613777 2394778
12852,217402 356765 2127471 1898405 1537963
13715,657183 1244196 1162250 784737 266412
14269,1207409 2556263 2786349 2221116 456323
14624,2249023 1535214 573297 2379876 1687571
14792,2496021 2807972 1015502 1075191 1293571
14966,115191 160439 100343 2593688 504015
15006,1561309 1562177 1883231 2170943 2692133
15100,275313 240367 122719 119916 2275781
15549,379195 570191 1842029 1192455 987858
15611,2218088 1846141 146364 1609157 2424094
16228,657183 1244196 1162250 784737 266412
16874,1320651 1801308 2353116 2216677 826880
16971,138623 582631 127153 1859722 1168923
18097,1428371 42465 262865 1353323 1168736
18564,307365 1058423 1099911 1358556 1780277
18796,760206 2730930 214485 40099 275292
18994,2725256 2013039 1842550 2602544 211828
19544,189286 1213990 1319939 1698121 747976
19679,2178266 514474 1254226 1919269 2724936
19704,2703580 712930 332108 1606193 66772
20101,1655463 803773 1516007 2566970 919742
20679,2148692 1697331 791461 1629495 2494138
20815,27083 1407200 2710393 890051 1820087
20979,1702541 939660 1402002 1029640 2727428
21195,2582946 811515 2051523 2194329 1119536
21324,225268 538831 2049238 2383108 2730433
21578,657183 1244196 1162250 784737 266412
21627,1953745 2669011 2430783 1316710 2036123
21663,213472 2617752 2829425 1447267 389016
21813,950058 1090241 1663921 2782726 2517692
21835,726141 468120 222607 165149 169289
22107,986950 470925 2251758 484085 2018316
22206,1240620 2639969 1507603 2520345 1775934
22591,1834588 1880316 800397 1328711 2364286
22728,657183 1244196 1162250 784737 266412
23229,1908731 2397541 265291 1266442 1981683
23361,770273 754392 1860404 1896450 2382705
23459,2047813 750115 1202798 2094934 1469197
23667,690174 913981 2218164 859110 145102
23718,2475870 397993 2006692 2057349 2764811
24419,657183 1244196 1162250 784737 266412
24465,330531 10100 80271 41368 165917
25906,2195403 2206179 1029298 946918 1689791
26038,1031033 1689895 543548 761008 26421
26658,596831 2369327 2372266 148494 406750
27187,1758715 62452 230373 2275215 251495
27501,760563 2418728 860191 1762611 990589
27638,1075674 1082573 1356623 1304305 2257514
27707,90834 1642796 889795 1595662 1329001
27727,1809836 71285 109925 2750341 335910
27845,750751 2581784 2182201 678910 241873
27931,2704587 396026 769814 1816658 1517596
28232,120395 2808828 701927 2315048 1878222
28739,1805397 114894 223250 320581 1894878
28801,1065974 1073552 1758920 2073982 2642351
28972,1659959 1452579 2227010 1007361 2511483
29072,457744 535798 5726 2205439 1705820
29146,607660 1900852 1547625 2553060 22262
29212,1835483 2073499 116138 2557660 1521146
29340,389056 1795899 2556981 2826438 2827829
29449,557005 209611 1407200 2251758 340121
29519,1162250 343377 365608 2091019 784737
30094,2196902 1851467 1168589 334533 94687
30368,657183 1244196 1162250 784737 266412
30774,657183 1244196 1162250 784737 266412
30910,1531150 350611 33583 2466093 1593756
31318,2480339 438550 602445 2354421 1016084
32111,657183 1244196 1162250 784737 266412
32371,1832431 359609 1265978 2164888 1746451
32434,876132 1030990 2081059 244688 2313380
33119,657183 1244196 1162250 784737 266412
33317,2080213 2570251 72989 1045610 359868
33492,1196894 2458486 2228799 2597653 2667620
33552,1269455 1259502 627725 1048948 1800791
33704,2420135 1443706 471520 1069281 2459081
35125,615622 2496018 1593067 1224310 537231
35517,984561 128024 1200792 2027614 1770648
35752,741927 1196465 392574 2087623 214799
36049,1128638 398787 1918359 2251704 349988
36125,607491 2150511 1188664 1376316 2751339
36396,657183 1244196 1162250 784737 266412
36940,2014291 637401 1757803 1781810 2528216
37187,1590528 2450535 846429 1072487 357638
37351,1575240 2716770 2376101 901266 2555032
38059,1571176 2032812 2194493 1674065 1600861
38189,1040704 916849 156449 1058423 1793137
38365,2601587 1677263 1913694 1970277 2114265
38481,2642505 17132 2214648 22262 68080
38730,1330328 2218230 1351818 2304502 2752040
38944,912478 2434102 2365011 600907 857213
39189,657183 1244196 1162250 784737 266412
39773,1959437 1907786 1161732 1124006 753378
39778,2376569 2528730 2613337 2712726 1522937
40141,666713 2022943 1070644 937632 161945
40180,565050 8033 1144348 1163894 1306320
40246,2125001 2567396 1194695 2734865 2493862
40468,1613050 1417798 2778830 2764040 161945
41309,2397541 265291 1266442 1981683 1180447
41345,1715993 1624238 1813310 1717385 2181920
41383,2637273 1652406 1247523 1221798 2816993
41403,1448364 537757 89685 220233 2266779
41629,988899 464395 2809051 1057103 1773866
41649,2328702 2243184 1587855 1299396 1133701
42051,2571415 1923359 2780444 335451 14696
42321,657183 1244196 1162250 784737 266412
42617,258349 1497590 1242261 2439247 2619139
42912,555796 585199 2289509 1075988 1111820
43088,878541 1422990 1940597 561040 574314
43399,728222 2140316 951466 1328787 1963879
43444,657183 1244196 1162250 784737 266412
44628,1022841 1998270 64478 279975 1062882
46074,657183 1244196 1162250 784737 266412
46106,1184304 1724451 2449375 2541886 824996
46377,678229 968392 2723998 797433 778416
46391,886874 787230 1125616 150318 1483318
46874,2750341 1809836 2820348 2680669 2220227
47353,680021 824407 2815770 747435 727350
47387,616579 1383920 1975807 944367 2394986
47475,207124 2278430 2750109 378275 285195
47662,2241130 1314105 1735473 2492063 1332465
48463,657183 1244196 1162250 784737 266412
48478,626129 1678436 4499 732896 2771276
48675,1824937 42252 1488868 22865 1747247
48789,2079907 74503 798629 1019355 2213693
49239,2472184 179381 2797620 2560001 2537296
49334,1033568 1896551 453607 2707663 222100
49418,1015270 2564647 2677532 1091235 1366700
49794,1336796 854603 396689 2687541 2432679
50754,2784346 503355 2474502 2177382 1543747
50874,2669794 1830651 1731684 1433024 593816
51289,1105599 1184605 1684974 1997182 2236085
51380,220536 2016557 2415019 746387 2586566
51416,2717170 381727 1971103 1801949 2308647
51445,1520269 909589 2592036 2367253 1510800
51851,1654251 9269 2287107 1408371 211633
52067,1014619 2162111 816581 2644699 1741767
52207,769377 751844 590410 208832 636071
52730,266412 139004 1873936 2466095 551635
52831,1641567 2110350 320232 2573031 2091857
53121,886598 188530 1335576 233675 704396
53574,1089381 2115383 2508858 2442749 1642821
53638,1309914 1936328 2809828 2809059 1896262
53677,2099726 288855 758113 1127160 2694725
53760,97392 592618 1116899 2250299 1956960
53874,1744749 1171985 1793923 2417411 178644
54382,2024718 2342710 1157212 1709943 1201272
55261,253332 1662808 1777002 1951733 2184827
55358,783982 1420524 99128 603071 2146527
55450,2740435 2140677 256030 999984 2544152
55534,657183 1244196 1162250 784737 266412
56110,1330619 1418346 158934 957921 2045954
56216,1622709 2597857 2348108 276932 1556370
56227,259735 2564482 164645 540719 2685635
56317,1042576 685748 584242 35701 2814647
56439,904790 1400410 1411282 1912448 2175716
57013,596178 1053452 1069281 2313894 266412
58197,781253 1122387 1564571 1937967 2092474
58250,1091658 1073358 467545 2698438 2335288
58548,1710744 1253609 623544 432033 20491
58600,1595372 47583 460717 1405061 79531
58624,1233470 2778525 1244196 299236 2031981
58695,2817943 803397 1391258 864100 301671
58784,657183 1244196 1162250 784737 266412
58798,2397541 265291 1266442 1981683 1180447
58833,512206 297309 1390160 32655 2450903
59104,76957 2639068 1369726 1443353 1727509
59135,2569807 72914 1882206 2756633 165162
59546,2033742 390918 924595 1051271 1615808
59782,1843592 515547 2731653 2538202 2492753
59842,232709 2222101 2828858 1437602 2177667
60155,2436495 139588 2742483 2226422 1213281
60471,1111300 692091 268677 2368632 1932950
60496,657183 1244196 1162250 784737 266412
61016,1053542 1742926 823512 1244196 1233470
61298,548368 562872 1473094 1721100 388420
61873,605543 1938122 1691851 567387 2747423
62808,924818 290404 795877 1792455 1971008
62908,1120194 2093413 1745271 2362916 1110682
62914,657183 1244196 1162250 784737 266412
63061,1301316 1794685 636889 366927 839
63163,2640903 617311 2259627 630235 1552662
63322,2343029 2112888 2104059 1833612 1676367
63597,952835 353317 1011495 1453462 568926
63753,1357716 1224227 628366 253688 77937
63872,2084657 2069799 494525 1241373 2104969
64303,308365 543184 195659 2187562 498337
64930,2602148 2146459 84249 56746 1001511
65592,1361956 1337146 2423247 1651809 2360619
66592,1187231 1328972 283847 2080757 2435244
66908,322619 731658 1923382 221434 603821
67173,1453191 1689718 1727576 2603346 2549936
67354,1944300 165115 1310282 1415221 2323317
67659,1438328 274499 1577072 2579350 388384
67705,2482922 2282006 1820087 1409070 1878292
67752,657183 1244196 1162250 784737 266412
67939,1905133 349653 2451675 1174505 624196
69088,657183 1244196 1162250 784737 266412
69418,950514 1738348 804196 1149271 2614640
69428,129303 665194 1662318 2354697 2740480
69757,2119646 537563 926032 654885 107659
70134,807792 2267926 2445198 2692623 845846
70534,2474466 123195 2561868 2833622 215403
70547,1475338 2422781 336963 243517 34986
70649,2694820 2377426 2360507 511827 2810962
70855,1864723 2017178 1695368 1605829 1485734
71226,2434240 2473989 2507878 2717460 416231
72027,2389477 1036035 2710253 221779 173886
72461,1516707 1724363 2721463 148961 2772929
72570,350490 53378 103803 661506 1018724
73454,1678673 2453690 2736269 1693062 851798
73471,1626821 1332465 1314105 1735473 2412878
73525,2334633 1510766 1044698 710046 1941672
74032,657183 1244196 1162250 784737 266412
74663,45637 2466315 39498 1788462 196678
75611,882543 1376058 1334568 1835742 1126599
76103,5937 731 2011456 116763 1700314
76608,2656064 1606968 1354178 867499 862518
76720,29061 1767760 2054159 1572045 1884685
77440,1012857 548633 413024 2358849 1827700
77641,2253574 1352942 1265155 617112 1090673
77738,2791723 2733860 1224850 2673239 828338
77942,657183 1244196 1162250 784737 266412
77992,1612593 2281423 1905877 505172 152356
78016,1126599 305026 1398399 1126753 2112096
78100,2800658 1027963 2025529 2284100 2460805
78298,657183 1244196 1162250 784737 266412
78784,2517488 2733672 2590024 770613 1978958
79349,524291 30145 2496296 262552 2200718
79426,2068334 2324705 2420379 1391858 2741874
79738,1270420 1149548 1012298 2735389 1718395
79802,1619241 943916 2471983 2259652 793921
80026,1400966 882894 578689 142983 2433856
80113,657183 1244196 1162250 784737 266412
80743,2690176 791444 579360 454577 2589105
80933,1359018 846444 377240 395718 105020
81213,1521292 1714400 46815 2458486 2667620
81342,1552819 1824170 323022 479095 577658
81375,657183 1244196 1162250 784737 266412
82204,1726537 1752047 1447147 1627132 151204
82500,2591573 2472193 1754494 1817621 1817632
82645,2088166 196407 2699781 2679769 1687268
82778,2764040 161945 2072441 2529108 2361032
82848,657183 1244196 1162250 784737 266412
82953,445289 1688943 1557666 552513 2785762
83200,1776696 1638236 1320669 1407200 557005
83840,293317 2724132 2732304 2823598 378582
84028,557698 62782 2444569 1700271 525743
84579,863419 1714427 1930115 699463 386134
84814,657183 1244196 1162250 784737 266412
84989,876529 1844001 1724412 816307 1096105
85006,1091499 1094098 1245050 1370516 1770306
85011,2481986 465364 1181853 605165 2289080
85432,1119874 1331217 344975 2381899 1802411
85921,585801 218804 1662835 1388598 1001197
85958,657183 1244196 1162250 784737 266412
85991,1414730 717081 1031945 2651445 2514968
86194,1797528 1280968 2419414 1171452 1741887
86285,2469209 1146314 502195 1902651 1400419
86316,931252 1344484 2628361 720447 1468173
86856,310153 2213437 2063556 2141498 1176916
87127,657183 1244196 1162250 784737 266412
87569,2632099 2677309 434612 186124 1863254
87622,990362 1023454 294642 2360744 1838357
87629,1002415 795888 2288729 1808332 472040
88090,2154672 2085803 2599382 1708079 2317589
88699,1687268 1785014 357345 517089 1564971
89595,657183 1244196 1162250 784737 266412
89700,559299 503407 372121 351890 1575343
90134,462493 1547580 2171176 1593760 2124560
90275,711251 2423575 2441695 1454765 2537868
90552,1430808 649120 898110 871255 1796071
90609,557698 1283135 2024094 1798292 1987944
90615,225471 2275450 1717683 218278 1678893
90733,1588444 2020127 562726 2188467 2759808
91295,1702063 511501 224352 2107561 1356346
92019,1918095 1092513 696785 914485 1222412
92182,657183 1244196 1162250 784737 266412
92343,71403 1856046 1272965 2237825 2041107
93312,657183 1244196 1162250 784737 266412
93887,499364 907073 1894763 1838017 1720452
93930,121973 599370 251069 620671 390870
94336,2463586 2456257 2447225 1707205 1377994
94417,15860 1554364 191273 2484353 2439982
94548,657183 1244196 1162250 784737 266412
94665,1294734 1397764 643092 435016 258364
94805,2114058 2154263 27250 1446061 2340689
94918,2061450 448204 352320 787191 1168310
94945,132983 2416934 216541 836201 1930214
95321,279917 353947 389952 866357 2790877
95619,657183 1244196 1162250 784737 266412
96109,1270996 71756 2336833 2341698 426716
96164,1150235 2701364 977979 760311 170673
96187,310193 725280 1487352 2609023 286637
96756,657183 1244196 1162250 784737 266412
97135,2167980 2253228 429123 1904877 669185
97204,1248491 1450925 1832828 1627333 2597076
97375,2494913 2551391 2716375 651220 2823602
98005,2807522 1956518 1920234 1772574 2449680
98174,657183 1244196 1162250 784737 266412
98287,1027539 2158490 928837 1543377 1043521
98458,1613407 2416162 2351826 259031 2602101
98716,1260531 2196889 893799 660656 2200859
99109,1007911 2548255 388178 2536169 2729766
99155,2460146 1476396 1930404 1061502 1981920
99208,1458909 2372820 790223 929792 239858
99598,657183 1244196 1162250 784737 266412
