user_id,recommended_items
649899,2778525 2791339 1092821 1244196 823512
2457606,1244196 2778525 2002097 1576126 1604573
917512,657183 1244196 2712481 2002097 2134619
1572873,1386412 657183 1244196 1053542 2791339
2118999,1898849 1857507 2476293 2183922 1513537
557075,2778525 1053542 823512 1244196 784737
1867798,1386412 2002097 1920047 2791339 784737
2228247,657183 1244196 2791339 1984327 266412
1015833,2791339 1092821 1386412 278589 818888
2523162,2778525 2002097 457843 536047 657183
2228252,215618 1386412 1092821 536047 1434088
2129952,2778525 2002097 657183 1244196 1041709
2064422,636889 2778525 1672211 1096406 2324713
1015853,657183 1984327 1244196 1162250 266412
819246,1560443 1981600 1622544 2062731 2811546
65592,723096 2778525 1386412 967007 665194
1135967,536047 2791339 1244196 2002097 499178
2555970,2778525 1092821 1386412 536047 278589
1998915,499178 2778525 1630793 2791339 79531
2523205,657183 1244196 1386412 1443706 784737
1245256,2396714 2590469 1608366 1386412 2353541
507916,1386412 1165605 1244196 2791339 2002097
950348,2778525 2002097 657183 1386412 2791339
1802317,499178 931519 536047 2802026 415358
1409116,2778525 1244196 657183 1386412 1092821
2785373,1092821 2002097 536047 2791339 2037477
491623,1244196 657183 1386412 784737 1053542
2195561,1244196 2791339 2002097 1386412 636889
229494,278589 2450694 1092821 536047 794365
1343611,2778525 536047 2450694 278589 2791339
1758570,1003954 1566231 767198 1972115 1386412
2818185,1092821 1386412 2002097 536047 2791339
1343511,2778525 2002097 1386412 79531 784737
2097299,2002097 1386412 779190 2635038 1165605
2949270,1244196 1386412 2791339 657183 79531
98458,657183 1244196 1386412 1984327 1162250
2583237,278589 2778525 1053542 1140869 436574
2654369,2778525 1624781 1053542 2356407 1838816
1278116,657183 1244196 1386412 784737 1162250
2687142,1029640 1092821 2778525 2002097 536047
1999016,278589 536047 794365 1244196 2778525
2719913,1754395 1092821 2173340 1386412 2791339
983217,436574 2778525 640407 1624781 536047
786611,278589 2778525 2002097 536047 79531
51289,2503223 381226 929053 608508 2456002
524472,1386412 1053542 2778525 830073 784737
458938,2002097 536047 1092821 1386412 2213987
2042570,2770160 1056667 2002097 2205815 931519
1605822,2002097 536047 1056667 931519 1330328
1540289,2778525 536047 2396714 1381522 1527539
2785474,2791339 2778525 1576126 1386412 536047
2097352,2778525 278589 1386412 657183 2356407
2425035,2778525 1244196 657183 1386412 1053542
1278158,536047 266817 2002097 1056667 499178
1114324,1386412 657183 1244196 2791339 1162250
131287,1953846 1576126 536047 1679143 266412
1945492,2791339 1386412 536047 1092821 2002097
2556124,2002097 536047 650449 1092821 16356
1212640,460717 381044 990877 2042792 2588879
786660,536047 2002097 2778525 1386412 18872
1147109,2778525 278589 1244196 2002097 79531
2916582,1092821 278589 460717 1140869 1928254
1376488,2476293 1492887 1218572 2183922 1857507
2195691,2778525 1386412 657183 1244196 2002097
196851,436574 278589 2002097 2778525 1092821
1245430,140996 1754395 2329991 75096 2141213
524537,2778525 1386412 1092821 671237 2295019
2490619,657183 1244196 1984327 1162250 1386412
557309,1386412 2002097 1754395 2791339 1920047
2195710,2448269 1730037 1724542 2358204 2709876
655618,1624781 1838816 813640 2334188 640407
573483,779190 1011174 112809 533554 2002097
2774402,2037477 499178 536047 2778525 1092821
1278222,2002097 1386412 2791339 1754395 1920047
950545,536047 1386412 1092821 2778525 1056667
2626947,1386412 2791339 1244196 1920047 1754395
2949396,1386412 2002097 2791339 2712481 1695664
688409,2002097 536047 1092821 2778525 1386412
1736986,2778525 1053542 823512 1244196 1624781
2195739,2778525 1386412 1244196 2791339 79531
2392348,657183 1244196 1386412 784737 2778525
285,536047 499178 1092821 2791339 79531
164126,1244196 1386412 2791339 657183 1053542
1048864,779190 1011174 112809 2002097 1092821
753954,499178 536047 2264926 1092821 2778525
2195748,2778525 1386412 1092821 2791339 1630793
2457894,536047 278589 2778525 436574 2002097
1179947,1386412 2209141 234084 1003798 2079278
2326830,278589 1092821 1140869 1386412 2778525
1671472,612155 2791339 2002097 2462072 536047
1737011,2791339 1386412 2002097 1244196 2778525
753975,18872 1386412 1165361 536047 515031
2359612,1244196 1386412 2791339 2002097 79531
2064702,1386412 1920047 1092821 2002097 2791339
852293,278589 1092821 1146589 2450694 2466095
131400,2778525 536047 1092821 1244196 2791339
360777,1928254 2791339 1386412 2002097 1092821
295245,1386412 536047 2778525 1092821 767563
295246,2778525 1244196 2002097 1386412 1092821
2621776,657183 784737 1386412 1162250 1984327
1737046,657183 1244196 1162250 1386412 266412
1507675,1207345 2791339 860602 1582437 2640230
196956,1754395 2778525 1092821 2002097 2791339
1802591,2503223 381226 929053 1392852 2742784
2359649,499178 1092821 2778525 592559 536047
2457956,536047 1092821 79531 2384800 2778525
2982245,650449 865510 1630793 1474342 2411085
1311084,2778525 1386412 2002097 1092821 2791339
1016175,2002097 2778525 1386412 1053542 79531
2556276,499178 2791339 457843 1776696 1407200
1114485,1244196 2778525 536047 1386412 1053542
1835382,1386412 2791339 1513499 1984327 1092821
644500,536047 2002097 2791339 1092821 657183
622970,784737 657183 2791339 1386412 1984327
2654590,2235265 291669 2086041 882543 41406
2261375,657183 1244196 1984327 2791339 1162250
2916741,2002097 779190 112809 1011174 533554
1311110,2791339 2002097 536047 1386412 2198329
2228616,2778525 278589 1092821 536047 2002097
158445,2791339 1386412 79531 1244196 1984327
2588739,2778525 2002097 278589 79531 1386412
786836,1244196 460717 657183 2791339 784737
2891508,499178 536047 1092821 2791339 335428
1704346,1003954 1566231 767198 1972115 1576126
98716,2235265 291669 2086041 41406 920520
2589086,2778525 1244196 278589 657183 79531
1474991,291669 2086041 2590469 882543 920520
1442226,2002097 536047 1092821 1386412 657183
360883,2791339 2002097 536047 2198329 429339
1212853,2002097 2037477 2778525 1386412 1092821
1507769,2778525 2002097 1386412 2791339 1244196
2656669,278589 1244196 2778525 1092821 657183
1311166,499178 1776696 592559 1242418 925751
1769923,2778525 1092821 1195890 1229323 499178
1501942,468120 1047625 2459081 692994 2420135
1016264,1928254 2778525 1140869 278589 657183
197066,278589 2778525 1092821 1140869 2183288
1475020,2778525 1630793 2453690 712209 478799
2463138,2002097 2778525 278589 79531 1386412
2304761,2778525 1195890 1229323 1754395 1092821
983512,1386412 1244196 2791339 1092821 1513499
2785757,1144851 982022 536047 2002097 79531
2080848,536047 1492887 2002097 2476293 2791339
2654694,1386412 1920047 2002097 1754395 1165605
590311,499178 1092821 2778525 592559 536047
852457,278589 2002097 1092821 1140869 79531
295406,2791339 536047 2002097 1386412 1092821
950769,1695664 1754395 1796526 2712481 1165605
2458100,2476293 1492887 1218572 1857507 2791339
2884089,2778525 657183 1984327 1053542 784737
2687488,1092821 2761091 1830993 2710106 1670390
360961,1092821 2791339 536047 2002097 2593483
2490886,536047 1728166 1822084 1058763 973863
2818573,2778525 1244196 1928254 1092821 1386412
516541,1386412 536047 2002097 79531 2778525
2687516,1092821 278589 536047 2778525 2450694
2130462,1244196 657183 1386412 1984327 2778525
551685,2037477 1838816 1624781 2002097 1386412
1278496,2778525 436574 1624781 1053542 461272
2163234,1838816 1624781 2547463 813640 2715741
33317,278589 794365 2288244 2450694 2057312
1475110,1386412 2778525 79531 1092821 2002097
262695,2778525 2002097 1053542 1244196 1386412
1081897,291669 2235265 2086041 882543 41406
1901099,1310205 1386412 2593483 1092821 926828
1180204,1928254 472040 723096 2778525 1092821
950829,2002097 1092821 2037477 536047 650449
2327087,278589 2037477 1092821 1244196 2477038
655921,1244196 2778525 784737 2590469 1386412
950839,1092821 1244196 1386412 2761091 1830993
1835576,636889 2002097 2324713 551925 1538515
754239,2264926 1492298 1193409 1092821 952363
2359875,1386412 1244196 2778525 507069 1754395
983622,1244196 2791339 657183 266412 784737
1895181,2002097 1386412 1754395 536047 2791339
328272,657183 1165605 2712481 2002097 1386412
590418,2002097 2778525 79531 1386412 1092821
950877,2778525 536047 2791339 2002097 1092821
2490975,1928254 472040 723096 278589 1092821
1606241,2778525 1386412 1092821 2002097 79531
2720354,536047 955572 2590469 2086041 2002097
819816,1244196 2791339 1162250 1984327 1386412
197225,1244196 657183 1386412 784737 1162250
2097255,1244196 657183 1386412 2791339 784737
1442412,499178 457843 1407200 1242418 1776696
1081966,1386412 1244196 2590469 536047 291669
721521,499178 1776696 925751 1407200 2002097
2468627,1386412 2002097 1754395 2791339 1920047
1868408,2002097 779190 1011174 533554 112809
1868414,1566231 1003954 2778525 767198 657183
2523775,1386412 2002097 1165605 1092821 1920047
754305,657183 1984327 1244196 1386412 536047
1016456,2778525 1244196 2117630 79531 1092821
1573513,2002097 1092821 2778525 2791339 1386412
524938,2791339 2002097 1920047 1386412 1754395
2622091,278589 2002097 79531 1386412 360955
1720429,536047 1930007 734196 650449 2422536
688784,657183 1244196 931519 1443706 784737
2509621,1092821 2791339 1386412 1920047 2002097
164502,2476293 1390420 154557 1218572 1386412
1344161,830073 536047 784737 166946 2778525
1180323,278589 1140869 460717 1092821 2791339
1082020,1386412 1920047 2002097 2791339 2778525
1671849,657183 1244196 1386412 1162250 2778525
688811,657183 1244196 2778525 1386412 784737
1387293,2296112 734248 2002097 1056667 536047
918202,657183 1386412 1443706 1244196 2778525
2556605,1386412 2791339 1244196 2778525 1920047
492223,2778525 2791339 1386412 657183 1053542
1671873,657183 784737 2778525 536047 2106311
426693,536047 931519 415358 2802026 493729
1409744,1386412 2086041 2778525 920520 2002097
33492,1244196 657183 784737 1386412 2791339
1261689,2791339 1829050 818888 1928254 2520810
2261720,1984327 2778525 2791339 1386412 657183
983769,816307 876529 102006 2031674 2791339
1365455,2778525 536047 2791339 1386412 1984327
1901280,1928254 460717 2778525 1386412 472040
623334,1386412 784737 2791339 2778525 1244196
656106,2778525 1386412 2593483 79531 1096406
295664,1386412 1244196 1162250 2778525 2537669
2032371,2002097 536047 1092821 1793117 16356
951034,657183 1984327 2791339 536047 1244196
2360062,1587725 1619066 1603504 2778525 377046
131843,2002097 2778525 2791339 1092821 79531
489943,1140869 1092821 2002097 79531 734196
197384,2037477 2002097 650449 1386412 457843
1321772,2770160 2205815 2002097 2106311 2778525
1639181,1838816 2791339 544991 2316848 1244196
590606,2791339 1092821 2002097 2778525 1652258
2687759,2002097 1386412 79531 1092821 784737
33552,2778525 1386412 784737 536047 1244196
1934102,278589 794365 2778525 1244196 2002097
1901337,1244196 784737 1322673 1092821 291669
1770268,499178 533554 779190 112809 2002097
2364891,1092821 2761091 1830993 2710106 1670390
131876,412133 2791339 1425152 499178 2778525
99109,2778525 105999 2413494 960988 1451810
1213223,2002097 79531 536047 2791339 1593289
197417,767563 536047 612155 1851449 1368635
600882,278589 1244196 784737 657183 2778525
38365,2002097 2778525 1386412 536047 779190
2884400,2778525 1244196 657183 278589 1984327
2687795,830073 657183 784737 2778525 470426
1114249,1092821 2791339 1386412 536047 2002097
1573691,499178 2791339 457843 1776696 1407200
918341,499178 2791339 1386412 2002097 1776696
426823,2422536 134624 1337011 2625281 1903249
295757,1244196 830073 1984327 657183 2778525
1344334,2778525 2037477 536047 1516995 828659
2884434,2235265 2086041 882543 41406 215982
99155,1686458 460717 1814222 2617471 2137356
289593,1244196 2778525 657183 1984327 830073
885596,2778525 657183 1386412 2002097 1244196
1540961,1244196 636889 657183 499178 2002097
