user_id,recommended_items
649899,657183 784737 1244196 1092821 536047
2457606,2090363 2213987 2460014 1155556 2503148
917512,1025299 2822479 1438082 2336701 892024
1572873,2002097 784737 1386412 1244787 2156629
2118999,1239168 2282988 626994 2074256 1038319
557075,657183 784737 536047 2791339 343377
1867798,2049946 905089 2165626 2268052 892024
2228247,657183 1776330 1162250 1386412 784737
1015833,2791339 1092821 1386412 278589 818888
2523162,931519 612155 2462072 1025299 1422357
2228252,430993 1331308 1595938 2455056 1058584
2129952,797433 50457 434421 1115740 526154
2064422,2284624 878413 830345 1290281 708734
1015853,657183 1162250 266412 784737 2791339
819246,2225560 1092821 2753566 1928809 847094
65592,723096 967007 665194 2348229 2371498
1135967,859993 304696 2715741 2560289 364509
2555970,2778525 1092821 1386412 536047 278589
1998915,1759421 2003763 1714855 1065083 1182443
2523205,931519 1438082 2822479 1627875 2470649
1245256,403232 648818 217142 1606984 278162
507916,1697299 697676 1075884 2778525 295089
950348,1741679 1387622 936454 1230754 1481381
1802317,512040 815376 513437 624264 1830993
1409116,2778525 1244196 657183 1386412 1092821
2785373,2014994 1465313 1454707 691407 1964480
491623,2031981 1317035 2572073 205039 1053542
2195561,1834691 725780 636889 1301316 122720
229494,60875 2329107 1672976 465695 2281770
1343611,1776330 1008509 343377 2005941 196659
1758570,1003954 1566231 767198 1972115 1386412
2818185,2035858 2179118 2086978 1902776 1956887
1343511,172858 1385441 1430243 2251758 1277973
2097299,2586571 2658192 1938039 2131278 2117454
2949270,1988490 101005 2499770 2006769 714060
98458,1797481 1206667 292139 2259324 52100
912069,1386412 2791339 1984327 1092821 437245
2654369,2778525 1624781 1053542 2356407 1838816
1278116,1317347 1717241 1828156 2284517 2550458
2687142,257339 650699 2667832 2624417 2798462
1999016,560686 2521535 1746915 2573363 529560
2719913,1167500 1268927 1530750 1342811 757668
2251007,2476293 1492887 2183922 1218572 398611
983217,436574 2778525 640407 1624781 536047
786611,1138469 554498 356678 1339101 1336574
51289,102006 39598 741480 1996291 2031674
524472,174892 2164654 22987 1070537 2003862
458938,1206868 1522373 1311842 990877 763341
2042570,2770160 1056667 2002097 2205815 931519
1605822,1755502 768246 2157347 1203065 1217083
1540289,2178500 228623 964435 434421 1574503
2785474,2423973 1047625 1679143 668146 1244196
2097352,2778525 823512 538069 1640028 1156803
2425035,1100918 1709691 2376862 2726400 1204967
1278158,1926071 272886 810666 1542531 266817
1114324,536047 1162250 657183 2002097 343377
131287,1042335 1695195 2616493 448605 692994
2556124,361485 2767395 2128547 44627 1020964
1212640,2629756 1930815 944507 1870216 2617587
786660,1268997 2250703 2640155 1793117 810102
1147109,1807819 778212 743383 2077275 71285
2916582,315406 1746915 1274336 1389392 1219386
1376488,2476293 1059979 1898849 2521420 2256939
2195691,381226 2316200 2814173 478510 2503223
196851,436574 278589 2002097 2778525 1092821
1245430,1105573 1091581 2240639 2593241 109338
524537,1077498 1242418 2581013 141483 546956
2490619,1443706 2103306 1953846 2459081 599025
557309,1244196 1443706 784737 1776330 657183
2195710,1607107 1936238 1026784 2417933 2762653
655618,1737971 1797481 942253 160181 2750191
573483,433346 1982706 2514346 49789 2322926
2774402,2222699 2657497 906941 794365 26250
1278222,2380306 1729666 1687791 2681475 2250299
950545,1810275 1443594 457392 1674804 1131299
2626947,612155 1988160 161269 554226 379806
2949396,1183354 1721075 1516317 433236 2332783
688409,1078298 1505532 810121 2717170 2509024
1736986,2033958 1367503 1265331 1684481 2668918
2195739,1732848 1597555 771171 2393265 117291
2392348,1982016 1506186 2383552 1096406 1770733
285,2123252 922410 1858896 561002 1726380
164126,1244196 1386412 2791339 657183 1053542
1048864,5506 1512978 1278439 1101860 1597505
753954,887291 293905 865043 1175179 265097
2195748,962194 2435845 2372201 1784466 2352122
2457894,436574 1624781 2716420 2133506 1014523
1179947,47583 19717 1155259 1766819 2259341
2326830,569883 994225 312364 70718 222596
1671472,612155 2336701 339227 2324189 931519
1737011,2743148 1400164 82635 253644 2299750
753975,18872 1386412 1165361 536047 515031
2359612,1244196 1386412 2791339 2002097 79531
2064702,2152422 1168736 2470569 2185485 2211138
852293,2310939 1053542 823512 1021509 1173987
131400,931519 2269715 313851 211863 1694879
360777,134458 47583 2024094 592140 2506235
295245,1549375 2316056 305225 640407 1017077
295246,1438622 2470778 558807 626177 1777103
2621776,1443706 1069281 554760 266412 657183
1737046,1386412 266412 306921 72465 657183
1507675,2721169 1595372 472040 1207345 2791339
196956,1754395 2778525 1092821 2002097 2791339
1802591,2503223 381226 929053 1392852 2742784
2359649,934469 1003954 2763004 1701454 2030128
2457956,536047 1092821 79531 2384800 2778525
2982245,2138886 298286 600218 854442 2579095
1311084,2778525 1386412 2002097 1092821 2791339
1016175,2314914 1101229 177825 209611 499178
2556276,499178 2791339 457843 1776696 1407200
1114485,931519 710727 1849280 612155 882380
1835382,1317915 2712481 2750191 1432568 1619659
644500,2477894 1111002 637452 2440098 2012588
622970,657183 1069281 784737 2313894 606006
2654590,2437289 2405211 1866983 356161 2654651
2261375,1526450 2310939 182233 982359 1947571
2916741,2002097 779190 112809 1011174 533554
1311110,654546 1398003 1058389 2500175 1387196
2228616,1301369 1190452 84369 1292142 1120040
158445,2791339 1386412 79531 1244196 1984327
2588739,1818555 1359896 1009268 371857 2618733
786836,460717 134458 2024094 794156 984114
2891508,2319540 2769818 2053266 1051740 973863
1704346,1003954 1566231 767198 1972115 1576126
98716,660656 1608366 2200859 2348573 2705558
2589086,2778525 1244196 278589 657183 79531
1474991,2391945 920520 1447547 2312162 2353541
1442226,61070 1085028 1549837 2705547 1892360
360883,2007871 285749 1018089 835084 735254
1212853,1823509 871579 706931 2417168 393952
1507769,947398 2736798 94359 58759 930093
1311166,2309207 1383528 1630793 870063 652373
1769923,929038 2662879 2811292 680042 1672746
1501942,2459081 169068 1842144 1079838 2423973
1016264,1561037 424163 2614 256886 646343
197066,278589 2778525 1092821 1140869 2183288
1475020,1315172 299061 1300835 336956 113384
2463138,50457 1155556 370820 1115740 721214
2304761,620098 821571 686904 80050 359960
983512,1835742 291669 908778 1971458 2723998
2785757,351433 2274555 1921251 1125047 2179384
2080848,688418 874175 1092533 1316853 1832520
2654694,685253 472594 1502840 2002097 1242418
590311,499178 1092821 2778525 592559 536047
852457,2612234 1199649 212518 1552936 2300508
295406,2659905 2408987 1427393 2746839 1162772
950769,1092821 2213987 784737 1119495 657183
2458100,2687508 2476293 1492887 1218572 1857507
2884089,1113937 1140869 158526 460717 79531
2687488,2098273 818174 2629501 151809 573820
360961,1416451 2131409 609071 1955065 122720
2490886,1939053 1557892 2767091 2142637 2386570
2818573,2778525 1244196 1928254 1092821 1386412
516541,2489878 2784272 2344042 174781 2098581
2687516,528854 13329 2564608 2778201 1982706
2130462,1053542 182233 2031981 2424693 389610
551685,592140 1488958 134458 18121 59091
1278496,574038 306709 939259 1961061 1624781
2163234,940554 2413494 1838816 1624781 2547463
33317,2080213 2040236 2164654 22987 72989
1475110,1488958 711679 467332 2483847 1886939
262695,542825 1624142 1840430 1983719 2540758
1081897,291669 2235265 2086041 882543 41406
1901099,704419 1935392 1574798 1556774 689373
1180204,884049 2563065 1970355 1306144 1868293
950829,2037477 992832 801479 546434 259808
2327087,278589 2037477 1092821 1244196 2477038
655921,1527539 1294168 2534752 2491223 1835742
950839,102963 372136 466016 1560694 1226070
1835576,636889 2002097 2324713 551925 1538515
754239,2264926 1492298 1193409 1092821 952363
2359875,698891 1892937 1828149 1096406 2092898
983622,507027 2085188 2475138 1643520 1540116
1829645,2772231 1509631 2689264 1912594 1798068
328272,2763798 2766528 2096850 1083285 2392105
590418,974615 1249184 2156427 1427513 1695677
950877,734976 2574702 483992 613254 462095
2490975,1928254 737275 2438531 2406712 1415725
1606241,738056 1212499 281325 562740 837389
2720354,986950 2411210 1706517 942420 437171
819816,1443706 1244196 2420135 1292626 2598896
197225,1140869 2024094 1244196 984114 794156
2097255,1443706 1519543 1386412 2028523 657183
1442412,2417933 1329008 2268771 730277 623006
1081966,1159070 2790877 2541833 2183646 1752725
721521,261467 243727 1812156 1931528 1515214
2468627,1048520 2423973 2220227 1809836 2709027
1868408,2136533 231348 279444 312479 2226988
1868414,587660 568223 2508062 995682 426324
2523775,2603642 808406 1334149 1386412 2637434
754305,266412 657183 1776330 784737 2031981
1016456,2117630 2393265 2214708 579292 564986
1573513,2002097 1092821 2778525 2791339 1386412
524938,2791339 2002097 1920047 1386412 1754395
2622091,233120 712300 1225859 2503955 265541
1720429,810648 2100399 2704266 1846980 1821061
688784,1624393 2820443 1494990 70297 2082120
2509621,2050563 598134 2292388 2020051 2738821
164502,562726 2600575 1052097 1426791 2738978
1344161,2436828 166946 830073 1042196 470426
1180323,2135057 344676 1186797 765598 1981600
1082020,1636910 1244196 617848 720941 350611
1671849,1316422 2029895 2592561 328312 439065
688811,789747 2024094 1886939 2102075 2077189
1387293,2039826 2738915 2568172 1797481 111604
918202,499178 1619659 973448 311944 1432568
2556605,1936514 1042117 2603862 2146033 2734883
492223,657183 1069281 266412 1386412 784737
1671873,986950 2698338 1907046 291669 1726537
426693,415358 1461999 254169 1232423 774818
1409744,186124 973448 557005 1776696 1086695
33492,2479462 2101500 1635931 776079 2650926
1261689,592559 1666591 499178 956110 320810
2261720,434860 346257 1453861 268384 1972331
983769,2319540 2031674 1729913 1052042 1755502
1365455,399598 2365168 1130719 512624 2791989
