user_id,recommended_items
223915,1074013 209611 557005 79531 1407200
2457606,2213987 2090363 1155556 2460014 1876513
917512,1025299 2822479 2462072 1438082 2820720
1572873,2002097 784737 1386412 1244787 657183
2807127,628832 549646 822743 2355395 243252
557075,657183 784737 536047 343377 2791339
1867798,2049946 905089 2268052 2165626 1386412
1343511,172858 2251758 1430243 1385441 1277973
1015833,
2523162,931519 612155 2462072 1025299 1422357
2228252,430993 1331308 1058584 2455056 2727399
2129952,50457 797433 335428 1115740 228623
2064422,878413 830345 2284624 2654650 1028918
1015853,657183 2791339 784737 1162250 1776330
819246,1092821 1386412 536047 2791339 784737
65592,723096 967007 460717 665194 2348229
2446687,
2555970,
1998915,1759421 2003763 1714855 1741180 2117630
2523205,931519 1627875 1438082 2462072 2822479
1245256,648818 403232 217142 1910662 1606984
737292,
950348,1741679 1387622 936454 1230754 1481381
1802317,512040 1830993 624264 513437 815376
1409116,
2785373,2014994 1465313 1454707 691407 1449387
491623,2031981 1053542 205039 1317035 2572073
2195561,725780 1301316 636889 1834691 122720
229494,60875 2329107 2574070 1612755 1114514
1343611,1776330 343377 1162250 657183 2791339
1627970,2002097 1244787 2198329 917243 536047
2708842,1959750 33100 590325 2701725 2356860
1114249,2093466 2182484 1164968 2159515 1908027
2228247,657183 1776330 1162250 784737 2791339
2097299,2586571 2658192 2131278 2635038 2117454
2949270,1988490 1576126 101005 2006769 1679143
98458,1797481 1206667 292139 2259324 1544614
2353861,2732053 2804230 2082227 2728995 832182
2654369,
1278116,1717241 1317347 1828156 468120 266412
2687142,257339 2786340 399596 2310379 640407
1999016,2521535 560686 1746915 2573363 529560
2719913,1268927 1167500 1530750 1777103 1342811
983217,
786611,1264231 2693358 2238099 1483829 220136
524472,2164654 174892 22987 1876143 1677336
458938,990877 1585842 2606723 579292 1206868
2042570,
1605822,768246 1755502 2157347 2787334 2778662
1540289,228623 2178500 964435 1843411 964787
2785474,1244196 1047625 1679143 468120 1953846
2097352,2778525 823512 1156803 538069 1129899
2425035,2376862 1100918 1709691 2726400 1299729
1278158,1926071 1056667 1542531 75129 810666
1114324,657183 536047 1162250 343377 830073
131287,1679143 1042335 468120 1695195 692994
2556124,718425 2163707 2745605 25855 1167126
1212640,2629756 1930815 2617587 944507 1870216
