user_id,recommended_items
649899,784737 657183 536047 1244196 1386412
2457606,2090363 2213987 2460014 1155556 319948
917512,1025299 2822479 2336701 1438082 892024
1572873,2002097 1244787 784737 1386412 2198329
2118999,1239168 2282988 626994 1038319 2074256
557075,657183 784737 343377 536047 2791339
1867798,2049946 905089 2165626 2268052 448787
2228247,657183 1776330 1162250 1386412 784737
1015833,
2523162,612155 931519 1025299 1422357 2462072
2228252,430993 1595938 1331308 1058584 2144494
2129952,797433 50457 434421 526154 2429998
2064422,2284624 878413 830345 1290281 708734
1015853,657183 1162250 266412 784737 1776330
819246,2225560 2753566 1928809 847094 1092821
65592,723096 967007 665194 2371498 2653847
1135967,859993 304696 2715741 2560289 364509
2555970,
1998915,1759421 2003763 1065083 1182443 1714855
2523205,1438082 931519 2822479 2470649 2462072
1245256,217142 648818 403232 1606984 278162
507916,697676 1075884 1697299 295089 1352609
950348,1741679 1387622 936454 1230754 1481381
1802317,512040 815376 513437 624264 615688
1409116,
2785373,2014994 1465313 1454707 691407 1964480
491623,2031981 1317035 1919327 2572073 205039
2195561,725780 1834691 1301316 122720 636889
229494,60875 2329107 1672976 465695 2281770
1343611,1776330 1008509 343377 196659 1162250
1758570,
2818185,2035858 2179118 2086978 1902776 1739748
1343511,172858 1385441 1430243 2251758 1277973
2097299,2586571 2658192 2131278 1938039 2117454
2949270,1988490 101005 2499770 2006769 2423893
98458,1797481 1206667 292139 2259324 1544614
2583237,2109683 1880821 346781 2147634 1809578
2654369,
1278116,1317347 1717241 1828156 2284517 2550458
2687142,257339 650699 2667832 2624417 2798462
1999016,560686 2521535 1746915 2573363 529560
2719913,1167500 1530750 1268927 1342811 757668
983217,
786611,1138469 554498 356678 1336574 1339101
51289,102006 39598 741480 1996291 2031674
524472,174892 2164654 1070537 2003862 22987
458938,1206868 1522373 1311842 990877 763341
2042570,
1605822,768246 1755502 2157347 1203065 1217083
1540289,2178500 228623 434421 964435 1574503
2785474,2423973 1047625 1679143 2782162 468120
2097352,2778525 823512 538069 1640028 872187
2425035,1709691 1100918 1204967 2376862 46821
1278158,1926071 1542531 272886 810666 75129
1114324,657183 536047 1162250 1597526 2182208
131287,1042335 1695195 448605 2616493 836451
1945492,
2556124,361485 2767395 44627 2128547 1020964
1212640,2629756 1930815 944507 1870216 2617587
786660,1268997 2250703 1793117 2640155 810102
1147109,1807819 778212 743383 71285 2438963
2916582,315406 1746915 1274336 1389392 1219386
1376488,1059979 2476293 2521420 1898849 2256939
2195691,2814173 381226 2316200 478510 2503223
196851,
1245430,1105573 1091581 2240639 2593241 1989397
524537,1077498 141483 1242418 2581013 546956
2490619,2103306 1443706 1953846 2459081 599025
557309,1244196 1443706 784737 657183 266412
2195710,1607107 2417933 1936238 1026784 2762653
655618,1797481 1737971 942253 2750191 1155556
573483,433346 1982706 2514346 49789 2322926
2774402,2222699 2657497 26250 906941 1641398
1278222,1729666 2380306 1687791 2250299 2732412
950545,1810275 1443594 457392 1674804 1131299
2626947,612155 1988160 161269 554226 1109355
2949396,1183354 1721075 1516317 433236 2332783
688409,810121 1078298 1505532 2717170 2509024
1736986,2033958 1367503 1265331 2668918 1684481
2195739,1597555 1732848 771171 2393265 117291
2392348,1982016 2383552 1506186 1770733 634186
285,2123252 922410 1858896 561002 1818827
164126,
1048864,5506 1512978 1278439 1101860 1597505
753954,887291 293905 865043 1175179 259359
2195748,962194 2372201 2435845 1784466 2352122
2457894,436574 1624781 2716420 1574295 2133506
1179947,47583 1155259 381044 19717 2259341
2326830,569883 312364 70718 994225 222596
1671472,612155 339227 2324189 2336701 2640201
1737011,2743148 1400164 253644 82635 174456
753975,
2359612,
2064702,2152422 1168736 2470569 2185485 1351870
852293,2310939 1053542 823512 1021509 1173987
131400,931519 2269715 313851 211863 1080265
360777,134458 47583 2024094 592140 2506235
295245,1549375 2316056 640407 1017077 305225
295246,1438622 2470778 558807 626177 1777103
2621776,1069281 1443706 266412 554760 2796479
1737046,1386412 266412 72465 306921 2631746
1507675,2721169 1595372 472040
196956,
1802591,
2359649,934469 1003954 2763004 1701454 2030128
2457956,
2982245,2138886 298286 600218 854442 2579095
1311084,
1016175,2314914 1101229 177825 209611 888251
2556276,
1114485,931519 710727 1849280 612155 882380
1835382,1317915 2712481 2750191 1432568 1619659
644500,2477894 637452 2440098 1111002 1694457
622970,606006 657183 1069281 2313894 1443706
2654590,2437289 1866983 2405211 356161 356710
2261375,1526450 2310939 182233 982359 1947571
2916741,
1311110,654546 1058389 1398003 2500175 1387196
2228616,1292142 1301369 1190452 84369 1120040
158445,
2588739,1818555 1359896 1009268 371857 362803
786836,134458 460717 2024094 1176310 984114
2891508,2319540 2769818 1051740 2053266 973863
1704346,
98716,660656 1608366 2200859 2348573 2705558
2589086,
1474991,2391945 1447547 920520 2353541 2312162
1442226,61070 1085028 1549837 1892360 2705547
360883,2007871 285749 1018089 835084 1928209
1212853,1823509 871579 706931 2417168 393952
1507769,947398 94359 2736798 58759 930093
2656669,918021 2299440 2241626 709392 1161322
1311166,2309207 1383528 870063 1630793 584626
1769923,929038 2811292 2662879 2262010 1672746
1501942,1079838 1842144 169068 2459081 2423973
1016264,1561037 256886 424163 2614 646343
197066,
1475020,1315172 299061 1300835 336956 113384
2463138,50457 1155556 370820 1115740 550978
2304761,620098 821571 686904 80050 359960
983512,1835742 291669 908778 2723998 1971458
2785757,351433 2274555 1921251 1125047 2179384
2080848,874175 688418 1316853 1092533 1832520
2654694,685253 472594 1502840 1242418 911450
590311,
852457,2612234 1199649 212518 1552936 2300508
295406,2659905 2408987 1427393 2746839 1162772
950769,1119495 1092821 784737 2213987 1597526
2458100,2687508
2884089,1113937 460717 2018166 1140869 158526
2687488,2098273 818174 2629501 151809 1686
360961,1416451 2131409 609071 1955065 122720
2490886,1939053 1557892 596654 2767091 2142637
2818573,
516541,2489878 2784272 2344042 174781 2098581
2687516,528854 13329 2564608 2778201 1982706
2130462,1053542 182233 2424693 1883184 389610
551685,592140 1488958 134458 18121 59091
1278496,574038 306709 939259 1961061 1052343
2163234,940554 2413494
33317,2080213 2040236 2164654 72989 22987
1475110,1488958 711679 467332 2483847 1886939
262695,542825 1624142 1840430 1983719 2540758
1081897,
1901099,704419 1556774 1935392 1574798 689373
1180204,884049 2563065 1970355 1306144 941893
950829,992832 801479 546434 2037477 259808
2327087,
655921,1294168 2491223 1527539 2534752 1835742
950839,102963 372136 1226070 466016 1560694
1835576,
754239,
2359875,1892937 1828149 2092898 2117630 698891
983622,507027 2085188 2475138 1643520 1540116
1895181,16356 2103306 1636910 1386412 288342
328272,2763798 2766528 2096850 2392105 1083285
590418,974615 1249184 1427513 1695677 742769
950877,734976 2574702 613254 462095 483992
2490975,1928254 737275 2438531 1415725 1876970
1606241,738056 1212499 281325 1351870 562740
2720354,986950 2411210 1706517 942420 437171
819816,1443706 2420135 1292626 2598896 2419773
197225,1140869 2024094 984114 794156 1244196
2097255,1519543 2028523 1443706 799209 1386412
1442412,2417933 1329008 2268771 730277 623006
1081966,1159070 2790877 2183646 279917 237303
721521,261467 243727 1931528 1812156 1515214
2468627,1048520 2423973 2220227 1809836 2709027
1868408,2136533 231348 279444 312479 2226988
1868414,587660 568223 2508062 995682 426324
2523775,2603642 808406 1334149 2637434 1597526
754305,266412 2031981 1776330 657183 784737
1016456,2117630 2393265 2214708 564986 771171
1573513,
524938,
2622091,233120 712300 1225859 2503955 265541
1720429,810648 1821061 2100399 2704266 1846980
688784,1624393 2820443 1494990 70297 2082120
2509621,2050563 598134 2292388 2020051 2738821
164502,562726 2600575 1052097 1426791 2738978
1344161,2436828 166946 1042196 1398109 830073
1180323,2135057 344676 1186797 1833247 765598
1082020,1636910 617848 720941 1244196 350611
1671849,1316422 2029895 2592561 328312 439065
