user_id,recommended_items
649899,657183 2778525 1244196 830073 1386412
2457606,2213987 335428 1155556 2460014 1876513
917512,1025299 2822479 2462072 2820720 1438082
1572873,2002097 657183 784737 1386412 2156629
2118999,1239168 2282988 234280 2074256 2013432
557075,657183 536047 1244196 784737 343377
1867798,2796479 2521154 1386412 2791339 2049946
2228247,657183 2791339 784737 1386412 1776330
1015833,
2523162,931519 2462072 612155 2826101 1025299
2228252,1443706 1876513 430993 2455056 1765833
2129952,50457 2002097 335428 797433 228623
2064422,878413 830345 2654650 2491223 1028918
1015853,657183 2791339 784737 1162250 1244196
819246,1092821 2791339 1386412 536047 784737
65592,723096 967007 460717 1386412 665194
1135967,364509 2127719 2324846 2560289 2388846
2555970,
1998915,1759421 1714855 2117630 2003763 1741180
2523205,931519 1627875 2049946 2462072 2400484
1245256,403232 1910662 648818 2255841 920520
507916,2778525 1244196 1576126 278589 1140869
950348,1741679 1387622 1251798 936454 1085629
1802317,1830993 512040 624264 1194436 2512414
1409116,
2785373,2014994 1465313 1454707 691407 1449387
491623,1053542 2031981 25841 2466095 1076904
2195561,636889 1301316 725780 1834691 807267
229494,60875 2329107 1969158 2574070 1114514
1343611,1776330 343377 657183 2791339 1162250
1758570,
2818185,1704599 55199 2035858 2002390 2065039
1343511,172858 2251758 1430243 1277973 1385441
2097299,2586571 2635038 2658192 2131278 2002097
2949270,1576126 1988490 1679143 101005 1953846
98458,1206667 1797481 2259324 292139 2791339
2583237,2109683 686332 1162952 1130719 770730
2654369,
1278116,266412 468120 1717241 650831 1828156
2687142,2786340 640407 399596 278589 257339
1999016,2521535 1746915 560686 1105930 2015781
2719913,1777103 1268927 1530750 1167500 347575
983217,
786611,2238099 1483829 874567 220136 1417079
51289,102006 39598 741480 2260494 1844001
524472,174892 2164654 1677336 22987 1876143
458938,460717 1585842 579292 984114 1984327
2042570,
1605822,768246 1755502 43306 2157347 2778662
1540289,228623 2178500 964435 1843411 964787
2785474,1244196 1047625 1679143 79531 468120
2097352,2778525 823512 1156803 1129899 193483
2425035,2726400 1299729 2090363 2376862 1100918
1278158,1926071 1056667 1194598 266817 1728166
1114324,657183 1162250 536047 830073 343377
131287,1679143 1244196 468120 1953846 2796479
1945492,
2556124,718425 2745605 1167126 2163707 2458668
1212640,2629756 2617587 243252 1870216 1930815
786660,1268997 2640155 2250703 1793117 1400498
1147109,1053542 2466095 614700 1807819 2031981
2916582,315406 1746915 1274336 1928254 1389392
1376488,1244196 2476293 1059979 1898849 536047
2195691,381226 1086695 2316200 2503223 478510
196851,
1245430,2240639 1105573 1091581 316014 2816640
524537,1386412 1244196 141483 2581013 1242418
2490619,1443706 1953846 657183 784737 1244196
557309,1244196 1443706 784737 1776330 266412
2195710,1607107 2417933 882543 997263 1442170
655618,160181 2778525 278589 1155556 1876513
573483,433346 2514346 1982706 13329 594119
2774402,2222699 2657497 1641398 278589 794365
1278222,1386412 2002097 2380306 1754395 784737
950545,1810275 1443594 1131299 457392 1674804
2626947,931519 1988160 2822479 379806 1297289
2949396,1183354 1516317 1337011 1190895 1098944
688409,986950 2438243 1078298 2771419 449441
1736986,1684481 680708 347249 2388776 545612
2195739,1732848 2117630 117291 771171 579292
2392348,1386412 1982016 536047 2593483 1988471
285,1728166 561002 1726380 2712821 266817
164126,
1048864,5506 1512978 2314169 1101860 1753570
753954,1411003 765477 887291 1591624 265097
2195748,2002097 2372201 2435845 231115 2526320
2457894,1014523 399596 436574 2133506 2269251
1179947,47583 1984327 1766819 1602073 257339
2326830,1386412 460717 2520810 1940509 453357
1671472,931519 612155 339227 2336701 2640201
1737011,2743148 82635 2698468 2249320 451756
753975,
2359612,
2064702,2470569 2152422 1168736 1386412 478799
852293,1053542 79531 1244196 823512 2310939
131400,931519 657183 2483915 1274752 1694879
360777,47583 2024094 134458 2506235 1140869
295245,640407 305225 1549375 1494177 1273892
295246,2470778 558807 1438622 1777103 2094372
2621776,1069281 2796479 784737 1162250 657183
1737046,1386412 657183 266412 784737 1443706
1507675,472040 2721169 1595372
196956,
1802591,
2359649,1003954 934469 2763004 1701454 1566231
2457956,
2982245,2138886 298286 600218 1309296 854442
1311084,
1016175,499178 2590469 2770160 1074013 712901
2556276,
1114485,931519 1849280 710727 2336701 612155
1835382,2712481 1317915 1386412 79531 1664453
644500,2671360 2012588 2728896 266817 1858896
622970,1053542 2796479 784737 1069281 2313894
2654590,2437289 713914 1911434 1866983 1967011
2261375,2778525 2310939 1053542 2660436 182233
2916741,
1311110,654546 1058389 437245 1398003 2500175
2228616,1301369 1292142 1576126 2263277 2657497
158445,
2588739,1818555 2507411 940554 2413494 2778525
786836,460717 134458 794156 2024094 1928254
2891508,2319540 2769818 1051740 2229274 973863
1704346,
98716,2348573 660656 2200859 1608366 228623
2589086,
1474991,920520 2391945 1447547 2312162 979531
1442226,1549837 1085028 61070 1242727 2705547
360883,2007871 285749 1018089 2092767 148296
1212853,1823509 706931 871579 2417168 393952
1507769,947398 657183 221987 1525166 2354488
2656669,2297678 1463178 156100 1854408 242131
1311166,652373 1983757 2309207 1328711 2212434
1769923,1513997 2662879 680042 2710106 1941131
1501942,2459081 468120 1047625 2781618 2420135
1016264,2617991 2688176 1561037 1529170 1768884
197066,
1475020,1315172 336956 1192610 113384 299061
2463138,50457 1155556 1794685 721214 2002097
2304761,730432 620098 821571 691428 1140869
983512,291669 1835742 908778 1376058 2086041
2785757,2274555 351433 511739 180743 1475866
2080848,874175 2115111 110632 1092533 1832520
2654694,1242418 1386412 685253 2734492 911450
590311,
852457,1753103 464699 565575 263574 1869331
295406,2659905 1427393 2408987 477856 2746839
950769,657183 1092821 784737 343377 1244787
2458100,2687508
2884089,79531 1113937 1140869 47583 2778525
2687488,573820 2629501 2098273 151809 818174
360961,1416451 2131409 609071 1598243 1955065
2490886,265522 1939053 2767091 2386570 1262409
2818573,
516541,2784272 2489878 1365661 1231748 197012
2687516,528854 13329 2564608 2778201 1762991
2130462,1053542 2031981 1673229 668899 569889
551685,592140 134458 2024094 460717 2506235
1278496,574038 2551123 939259 1624781 1961061
2163234,940554 2413494
33317,2164654 2040236 22987 1677336 2080213
1475110,460717 1886939 1488958 711679 1140869
262695,542825 1840430 2778525 1983719 1624142
1081897,
1901099,1574798 1670390 2134842 1004023 1935392
1180204,1868293 80182 884049 1970355 2382086
950829,2037477 801479 259808 992832 37581
2327087,
655921,1294168 2313894 2491223 1695664 470426
950839,1386412 1984327 536047 2778525 784737
1835576,
754239,
2359875,2117630 698891 77400 1096406 579292
983622,657183 2791339 830073 2106311 1162250
1895181,1244196 2002097 16356 768905 657183
328272,2810667 2754501 1262298 2323933 624264
590418,641410 1120388 594184 2156427 2219714
950877,1732848 469137 2778525 2117630 2574702
2490975,1928254 2778525 460717 2406712 543296
1606241,738056 1092821 562740 1652258 2002097
2720354,986950 2411210 942420 1706517 955572
819816,1244196 1443706 1162250 1776330 784737
197225,1244196 1140869 657183 1069281 266412
2097255,1519543 1386412 1244196 2635038 1443706
1442412,2417933 823512 1329008 623006 1138032
1081966,2026628 740487 2541833 2041994 1679853
721521,261467 1931528 1812156 243727 1171271
2468627,2459081 1048520 2423973 1679143 668146
1868408,231348 2136533 312479 1669475 2226988
1868414,587660 2508062 291669 2235265 490987
2523775,2791339 2603642 784737 1386412 1443706
754305,657183 2791339 1162250 1244196 784737
1016456,2117630 2393265 77400 579292 1244196
1573513,
524938,
2622091,233120 712300 1673229 2669570 1225859
1720429,810648 1821061 2704266 2100399 1846980
688784,1624393 2820443 1494990 1540332 2082120
2509621,2491392 2050563 2619402 1991181 2741243
164502,562726 2600575 1052097 2476293 1289358
1344161,830073 166946 470426 1042196 2436828
1180323,2135057 1386412 129847 657183 278589
1082020,1140869 2791339 2505767 1342629 284143
1671849,1801970 2778525 1196133 1640028 1534238
688811,2024094 1928254 1886939 2648928 1434088
1387293,2039826 2738915 712901 2770160 1423795
918202,499178 973448 1619659 557005 311944
2556605,1936514 2734883 1042117 2420135 1386412
492223,1069281 784737 2313894 266412 1162250
1671873,986950 291669 2698338 2086041 1907046
426693,415358 2770160 1461999 568191 1074013
1409744,186124 973448 1776696 557005 1074013
33492,1140869 278589 1092821 2650926 79531
1261689,592559 499178 956110 1666591 788342
2261720,346257 434860 1754395 2128544 1453861
983769,1052042 1755502 2031674 2319540 1729913
1365455,1130719 2365168 233103 399598 2521699
1901280,1244196 2313894 471231 962854 2002097
623334,505157 1619241 1135229 743018 2634238
656106,2002259 1619066 1952900 401609 336136
295664,657183 2791339 784737 1386412 1162250
2032371,1619241 536047 77400 1230759 1240029
951034,657183 1984327 2791339 784737 536047
2360062,1461005 2364286 864688 445302 1686
131843,1244196 784737 1953846 1069281 625711
489943,1640213 1695791 2099805 555292 653252
197384,140973 1817563 2727948 451286 541005
1321772,2770160 2251758 1074013 2348573 172858
1639181,56715 1521687 991271 2223453 522809
590606,
2687759,1053542 823512 79531 138271 193483
33552,2778525 397228 2038867 473708 1201831
1934102,278589 1113937 794365 2288244 2002097
1901337,2258655 1447302 244777 81564 698123
1770268,2521535 2617322 278589 1018726 2229576
