user_id,recommended_items
285,2512552 1429391 2570440 1022000 1038899
902,1984569 358411 455014 1103085 2632134
948,2614160 571817 2184165 2823490 2157569
1183,785331 2443046 1265978 1100884 1666035
1286,657183 1244196 1162250 784737 266412
1509,2467273 892333 2086041 2182715 568223
1776,2805839 2232518 2195989 1548193 821841
1982,657183 1244196 1162250 784737 266412
2742,657183 1244196 1162250 784737 266412
3161,416914 1188603 1352448 2755931 920509
3256,333784 1876889 2786666 727516 928817
3375,272403 493250 2607637 1020623 2266072
3547,657183 1244196 1162250 784737 266412
3630,2087076 2437406 1201349 2750191 2514951
3806,1801297 1602667 711616 1145145 2693737
4607,657183 1244196 1162250 784737 266412
5112,657183 1244196 1162250 784737 266412
5627,345660 1937957 314274 2802026 415358
5686,2140358 842457 507451 926828 316060
5738,538069 1774879 257496 872187 2310939
5839,1952969 1767343 2738512 1063997 1775531
6442,1412389 544219 2464913 574981 2526744
7182,248636 2014172 1734442 1791524 2715079
7693,657183 1244196 1162250 784737 266412
8316,2228797 2476988 2774850 639237 20049
9660,1262034 700509 2268963 2817792 266196
9680,624750 431272 10811 1408883 798925
10044,2232786 710080 1145829 1281528 2487871
10316,1771645 1962993 709754 2428065 2543716
10469,1143105 1937899 2494652 2367864 1158257
10470,2154395 2160902 1024225 2632128 353289
10870,657183 1244196 1162250 784737 266412
10956,192785 2137413 2712922 763356 1151800
11027,1147424 466173 1791528 991628 1522676
11380,2829793 434421 1993132 358411 1688349
11423,657183 1244196 1162250 784737 266412
11805,2673524 1421766 178439 1175235 1621432
12046,2812823 8274 1446413 1432589 607052
12097,201335 1583754 1278887 1881235 99308
12233,657183 1244196 1162250 784737 266412
12593,1094776 2408382 2276798 2707577 1609822
12626,1179205 1995610 1864977 1399024 353713
12630,2393613 2761339 1099748 1111139 1914104
12671,1958329 828424 982097 1741345 2568608
12689,788710 1118308 991588 1508724 1105190
12750,586587 1497491 1781907 776030 2554499
12852,2485053 1074097 406835 1560693 1102260
13715,657183 1244196 1162250 784737 266412
14269,1207409 456323 2445327 2780518 1331957
14624,2249023 573297 1154776 2576010 480135
14792,1015502 1235325 2703576 1507066 1569245
14966,1210470 1065643 2043444 100343 504015
15006,2667087 1291538 2170943 1266174 2479895
15100,1948095 1668653 1409571 1172132 655749
15549,1953745 2093033 2313858 2770501 2051164
15611,85893 1613025 55931 1870216 1404113
16228,657183 1244196 1162250 784737 266412
16874,2216677 2353116 2396906 217204 2513257
16971,138623 582631 127153 1859722 1168923
18097,1428371 42465 1353323 2410081 1168736
18564,1099911 1780277 734953 247748 1363888
18796,760206 1551995 1027708 1929081 214485
18994,1640415 1184891 631887 1309002 1399869
19544,2419733 1682163 537350 914870 1387743
19679,2646207 546036 2429450 2178266 1254226
19704,712930 1606193 66772 2341890 1925879
20101,1655463 2566970 919742 106516 2157649
20679,542471 1528443 2621819 2326175 791461
20815,27083 1407200 890051 1820087 340121
20979,1029640 1702541 2189661 485102 2646800
21195,3450 811515 1996980 1084672 2058516
21324,2049238 225268 746473 600652 398533
21578,657183 1244196 1162250 784737 266412
21627,1953745 2093033 119113 836139 2783906
21663,213472 2617752 2656392 2457976 2209942
21813,1663921 2782726 2475013 1309362 2821119
21835,468120 708303 830488 1260452 1404113
22107,986950 2251758 484085 457843 1486947
22206,976879 2639969 645790 274885 2730927
22591,1834588 1880316 1328711 2364286 882380
22728,657183 1244196 1162250 784737 266412
23229,1908731 1860035 2397541 265291 1266442
23361,243343 815404 2382705 2383991 1372424
23459,1391091 2313955 2609595 1716359 659969
23667,2454843 1735458 2243784 2699932 268991
23718,2709589 852950 884768 2628988 2214596
24419,657183 1244196 1162250 784737 266412
24465,859700 2315453 219858 80271 2373028
25906,2032666 1404775 1017315 1303564 2458178
26038,81964 1689895 1304222 1256795 756594
26658,596831 222179 280027 426427 1022335
27187,62452 230373 2275215 1217717 2033136
27501,1804431 2798610 250398 860191 990589
27638,1749344 531397 2340587 1524219 2732692
27707,194778 2430891 2285913 2089002 1003125
27727,1809836 71285 109925 2750341 335910
27845,750751 2581784 2157040 1757451 2182201
27931,2704587 769814 489945 601654 756013
28232,120395 1207661 1765174 1340660 2508567
28739,2121581 273574 367536 1640475 2643510
28801,2130753 1758920 1975922 282824 2404094
28972,1452579 2227010 1007361 2511483 1922984
29072,5726 1429221 1978958 2571911 2506833
29146,1243037 1900852 1377249 447312 2192350
29212,2073499 2190835 1303261 1349223 2687809
29340,389056 2428587 2803097 904391 1275492
29449,557005 209611 1407200 2251758 340121
29519,1162250 343377 784737 1443706 2106311
30094,1613989 1168589 918388 1403170 846416
30368,657183 1244196 1162250 784737 266412
30774,657183 1244196 1162250 784737 266412
30910,1531150 371195 350611 33583 1593756
31318,2480339 602445 1682300 1759488 761913
32111,657183 1244196 1162250 784737 266412
32371,2124008 1100884 1666035 209074 517620
32434,244688 1698884 66525 1488070 525772
33119,657183 1244196 1162250 784737 266412
33317,2080213 72989 2042690 408511 261069
33492,18386 924377 2458486 2597653 2667620
33552,1015502 1259502 2098158 1719302 2297159
33704,2420135 1443706 2313894 1069281 2459081
35125,2496018 1507948 2651082 551806 1687929
35517,2740864 128024 1200792 1770648 1753441
35752,741927 1196465 2087623 2350332 1346017
36049,1128638 398787 1918359 2251704 349988
36125,2604447 1182126 2150511 1188664 2751339
36396,657183 1244196 1162250 784737 266412
36940,166340 2595466 2245226 1840607 566295
37187,1590528 675243 2376471 714376 878016
37351,2053600 958759 2562069 1602742 1431795
