user_id,recommended_items
285,2512552 2570440 1022000 478401 222349
902,358411 1984569 455014 114073 1784088
948,2614160 2184165 571817 2823490 534600
1183,2443046 785331 1100884 691256 2185887
1286,657183 1244196 1162250 784737 266412
1509,2467273 892333 2086041 568223 2182715
1776,2805839 623022 2397283 324561 1755221
1982,657183 1244196 1162250 784737 266412
2742,657183 1244196 1162250 784737 266412
3161,416914 1188603 1352448 2755931 920509
3256,333784 1876889 727516 928817 499810
3375,891705 272403 493250 1130008 2607637
3547,657183 1244196 1162250 784737 266412
3630,2087076 2437406 1201349 2750191 2514951
3806,1801297 1602667 711616 2418569 2693398
4607,657183 1244196 1162250 784737 266412
5112,657183 1244196 1162250 784737 266412
5627,345660 1937957 314274 2802026 415358
5686,2140358 842457 507451 926828 316060
5738,538069 1774879 257496 872187 2310939
5839,1952969 1767343 2738512 1063997 1775531
6442,1412389 574981 2464913 544219 2710748
7182,248636 2014172 1734442 1884669 2340784
7693,657183 1244196 1162250 784737 266412
8316,2228797 2476988 2774850 639237 983047
9660,266196 1262034 700509 2268963 2817792
9680,624750 431272 10811 2487637 798925
10044,2398576 710080 1145829 2487871 388367
10316,1771645 1962993 709754 2428065 2543716
10469,1143105 1937899 2494652 2367864 1158257
10470,2154395 2160902 1024225 2632128 353289
10870,657183 1244196 1162250 784737 266412
10956,192785 2137413 452109 1151800 459732
11027,1147424 466173 1791528 991628 1522676
11380,2759578 653600 2829793 434421 1993132
11423,657183 1244196 1162250 784737 266412
11805,2673524 1421766 178439 1175235 1572028
12046,790953 8274 114386 802976 914591
12097,201335 1583754 1278887 958454 1803629
12233,657183 1244196 1162250 784737 266412
12593,1094776 2408382 2276798 2707577 1609822
12626,1693344 711210 1339096 1319606 1179205
12630,2393613 2761339 1099748 1112441 1091499
12671,1741345 1984752 2412736 1958329 2568608
12689,2815598 788710 1118308 991588 1508724
12750,586587 1497491 1781907 2588924 1273014
12852,1074097 406835 1560693 2485053 1287766
13715,657183 1244196 1162250 784737 266412
14269,1207409 456323 1331957 2377839 1981361
14624,2249023 573297 1154776 2576010 480135
14792,1015502 1235325 2703576 2733057 1569245
14966,1210470 1065643 2043444 100343 504015
15006,2832520 823993 1344035 1654907 1609009
