user_id,recommended_items
285,2676153 178064 1402992 446660 2172276
902,2039263 36667 1151390 164623 1108852
1183,2740821 1664426 784771 579292 1041388
1509,666264 2237323 1359153 2417300 1430325
1776,974022 997728 18304 821841 1548193
3161,1850630 2755931 914336 2631568 199405
3256,1189936 2245182 2399507 253847 1610620
3375,2478597 730326 1020623 1672654 2417863
3630,2087076 1385441 866371 292139 2797043
3806,1857082 784589 712366 549162 2107884
5627,1340100 1432568 450490 1018651
5686,1077687 2036210 1527872
5738,1883184 1038209 981038 1774879 1160406
5839,2279599 1926831 2411342 1653775 2700743
6442,1503017 1503017 887568 1036256 1622822
7182,1038319 89562 626994 2489267 1120107
8316,1139096 1902524 2588040 340236 2359422
9660,700509 1262034 2268963 2817792 284613
9680,10811 431272 624750 2184058 971721
10044,711587 2487871 2553522 413194 710080
10316,2471363 931152 782658 2388677 57864
10469,88271 1143105
10470,1601651 2234111 2160902 1024225 2632128
10956,2139074 323464 2452774 2712922 2774587
11027,561642 991628 2416312 2804423 1899453
11380,434421 1442170 1575243 2402523 1574503
11805,399853 1712497 2368324 2000211 652935
12046,2466755 2347 1169551 299168 558820
12097,201335 2148898 2195282 1672672 2796925
12593,2707577 1094776 2408382 17005 629902
12626,597969 1179205 1693344 2156816 566295
12630,1849303 1786773 1272505 462518 1786773
12671,1405349 771881 718502 573297 2249023
12689,1105190 2398854 654495 140160 559359
12750,304498 1621944 1588972 304498 1588972
12852,1687994 11081 955462 11081 1687994
14269,1516614 1014525 1331957 2780518 1459467
14624,246259 1004203 1351805 573297 2249023
14792,1015502 335883 1816214 2336737 2383948
14966,134617 293309 100343 504015 1065643
15006,1184482 614358 763097 809761 797657
15549,1516614 1014525 2471363 931152 378275
15611,732235 506073 769844 1838915 2011569
16874,1857082 1618608 2708025 2352653 2340974
16971,2432821 1525042 127153 138623 1168923
18097,1353323 274167 1642289 1033346 1351517
18564,2409485 1283857 1080986 647971 111570
18796,275292 40099 214485 1660227 1929081
18994,189802 1399869 1397026 123002 2800708
19544,483520 1828514 237395 1469175 483520
19679,2517409 662222
19704,712930 66772 1067254 2490756 2043131
20101,1655463 2566970 2030759 2735013 147530
20815,52100 760056 1432568 1424217 2445526
20979,1048718 2144871 1340106 1702541 2316511
21195,1567110 1751073 2705759 1084672 467940
21324,1176848 2694047 1479254 225268 1796117
21627,318735 119113 1102456 1363485 785593
21663,765284 738577 2617752 1274931 1392400
21813,2481379 2229193 614525 2482970 2588490
21835,2220227 2280653 2220227 819311 1809836
22107,2480507 1637974 1857081 2388580 2801507
22206,2642928 2146707 104143 297900 2207867
22591,1331135 2451745 759441 1477026 1380769
23229,1908731 383252 626654 1087902
23361,2319497 792477 792477 1516793 1942059
23459,537780 1565544 1897594 2313955
23667,2656478 396930 1058980 1398435 396930
23718,1233037 1446788 2041485 1889273 1923631
24465,80271 219858 1900535 10602 18694
25906,2769177 2785945 2069807 2069807 2769177
26038,2213642 810776 1885736 187018 1312678
26658,59567 1671781 59567 1671781 59567
27187,2275215 1718188 2347549 2314914 2142741
27501,191101 2616191 89385 191101 2616191
27638,1161143 412164 1161143 412164 21388
27707,2430891
27727,698818 1974227 612738 2243760 1524050
27845,1516614 1014525 756303 258349 1062491
27931,1128670 2108148 1404932
28232,29477 2031126 33628 2546303 823556
28739,318879
28801,1120780 1746486 324207 1851645 894811
28972,1464544 2582439 1452579 1464544 2582439
29072,2667212 1981683 450489 1266023 1978958
29146,2192350 1900852 1243037 447312
29212,2073499 526501 143830 1450832 2677268
29340,8745 1212975 714309 2337857 194098
