user_id,recommended_items
285,2591944 1443706 1240596 1162250 599025
902,276880 967984 963143 1497289 1325949
948,1533592 1666035 1265978 1027607 2594055
1183,742968 1658813 14926 249347 204273
1286,710248 2023608 2395989 2036000 2395561
1509,2563900 394031 1398668 784181 2582758
1776,1904269 1860035 750868 300137 1851896
1982,657183 1244196 1162250 784737 266412
2742,1042486 2551327 2762692 256297 2767629
3161,1644077 2804607 1981457 1141074 985008
3256,879596 19330 1936652 2500091 1248342
3375,1472220 479454 1164512 2199095 1187287
3547,1554666 1227876 2394428 129527 2335861
3630,1116836 2183178 354284 52814 1478694
3806,885400 2781887 2505741 110633 93723
4607,657183 1244196 1162250 784737 266412
5112,1226767 1386591 1413438 281309 838770
5627,454452 614187 2658098 634598 1492759
5686,1765065 2477724 453409 1754397 349137
5738,2105566 2747575 2005006 693106 1315413
5839,907830 69688 541633 2048072 2335566
6442,525728 2663019 1175157 415073 1673211
7182,197536 1126974 943027 2675118 24079
7693,1118460 1322796 839886 763356 452109
8316,1753979 2359424 1057203 2060913 2028061
9660,657183 1244196 1162250 784737 266412
9680,91193 1118036 2057116 539268 2303216
10044,657183 1244196 1162250 784737 266412
10316,1437332 43584 2089104 611826 331222
10469,1118482 1764883 249897 2207914 1860312
10470,1294034 2534752 2825431 1689895 1496156
10870,1334884 2706363 2036571 1390437 553594
10956,1853678 757780 462022 2163045 578469
11027,508676 2545040 538069 1129899 2760067
11380,839804 1116836 2183511 2390201 2184058
11423,784737 2002097 1386412 830073 1162250
11805,830595 2549156 2451768 1401033 144818
12046,1847320 954037 1376935 2363220 2656817
12097,92186 2394017 1899453 2178845 1836119
12233,657183 1244196 1162250 784737 266412
12593,2261093 447893 2462164 790528 1709323
12626,1384864 2487871 2504297 1083185 202761
12630,1579645 475192 2369856 1814365 2475133
12671,2222386 1768051 444518 1466515 509954
12689,657183 1244196 1162250 784737 266412
12750,2139222 1454079 2653847 2129994 2182831
12852,764484 1971570 305291 2714934 1962428
13715,1853678 2516822 462022 1959097 2562332
14269,1835742 908778 291669 2723998 1971458
14624,468120 2420135 2459081 650831 1047625
14792,2082613 269618 902387 124879 2115104
14966,141698 1024225 2134138 2175880 1147905
15006,1092132 635484 452607 1390420 1145197
15100,2065094 2020924 2462680 375036 153657
15549,695332 1437184 407579 677109 401232
15611,1633706 1121377 762640 2165538 2003210
16228,2506833 1527619 2019054 84637 39150
16874,1435255 2444635 200096 2333720 2398650
16971,241272 1729871 2788139 2469440 2383351
18097,1403475 350350 1108435 1673327 1627895
18564,2660674 972389 2091905 1118036 695501
18796,2790877 2231475 491555 1889294 529745
18994,2184959 2169927 2753514 2252350 46417
19544,657183 1244196 1162250 784737 266412
19679,1644774 2026132 2640455 632284 2474305
19704,1157630 2727832 2242294 2543168 776079
20101,148365 1552520 225618 1963993 2828177
20679,657183 1244196 1162250 784737 266412
20815,657183 1244196 1162250 784737 266412
20979,657183 1244196 1162250 784737 266412
21195,1611081 2809836 2099789 1746486 2113412
21324,2516920 2072842 1569505 1928209 2048794
21578,1944771 98506 328515 244836 2380368
21627,1362866 404559 1250289 1189302 2044687
21663,2062145 2773600 1079891 576150 270690
21813,657183 1244196 1162250 784737 266412
21835,2600589 2472172 2233695 2011681 16625
22107,1686939 21209 2145337 513689 2824564
22206,1822566 1027708 1620855 2003041 2101671
22591,1568940 1598850 682118 2554534 2419294
22728,1599606 354352 182480 2618535 1462438
23229,2804119 2391916 421621 1464658 410297
23361,1015829 2087022 926471 2366261 1821254
23459,345562 1334884 2091100 2047459 386072
23667,413607 742968 1658813 14926 249347
23718,1920656 452109 2282718 2719069 1311904
24419,657183 1244196 1162250 784737 266412
24465,169460 504200 858300 1083185 202761
25906,1971458 1028918 2577484 1443163 294246
26038,538895 316478 2224561 2606923 2007873
26658,2644138 1131233 370558 280374 761830
27187,842833 222973 1113080 996129 569550
27501,657183 1244196 1162250 784737 266412
27638,657183 1244196 1162250 784737 266412
27707,297447 228349 39582 1210015 589900
27727,96128 521568 1825243 484129 1467337
27845,1990810 2595595 442064 2073171 1209570
27931,1228562 938109 1952391 1034245 1548193
28232,1422300 2004956 2428073 2639937 2275702
28739,657183 1244196 1162250 784737 266412
28801,742968 1658813 14926 249347 204273
28972,948160 1026589 355827 29061 2816866
29072,2577004 1891425 999536 2183446 2772187
29146,2700743 64168 2624873 80296 1006488
29212,2407321 2232518 2687094 821841 1548193
29340,2031987 780900 2191954 865170 1207891
29449,657183 1244196 1162250 784737 266412
