user_id,recommended_items
285,2695967 2209787 704752 1323542 1998024
902,896320 406835 765077 2521154 2730930
948,1860035 2397541 265291 1266442 1981683
1183,2082287 2301803 77400 2814953 549951
1286,1860035 2397541 265291 1266442 1981683
1509,466934 57111 1548531 2335828 924798
1776,746804 2506755 1335540 2749091 200654
1982,1904531 72760 551635 2441072 2229928
2742,1904531 72760 551635 2441072 2229928
3161,932573 2488684 375436 2503726 2540679
3256,2813967 1786895 1052185 1836210 2091905
3375,781776 233666 805303 492458 231509
3547,1904531 72760 551635 2441072 2229928
3630,165433 413905 2745419 2051217 212518
3806,1333766 2245918 1239223 1171123 1618016
4607,1904531 72760 551635 2441072 2229928
5112,1904531 72760 551635 2441072 2229928
5627,1344008 1161179 1244478 1435324 995629
5686,1914212 2254905 2163623 1366072 634979
5738,781776 233666 805303 1077479 2579424
5839,551635 2441072 2229928 1210948 1611754
6442,2106311 2028183 1163160 2368484 550310
7182,333000 2129825 1661250 2251340 2546034
7693,1904531 72760 551635 2441072 2229928
8316,782682 1241679 1958084 2799055 2404075
9660,1398363 1168736 1016821 1356754 1504924
9680,1124591 1986273 2760429 2565823 2093848
10044,58444 1252104 1057669 1458053 1808563
10316,2177494 1333500 1623143 59311 221065
10469,365263 1374336 2601926 2694491 1134847
10470,2773044 444644 298286 923167 137533
10870,1904531 72760 551635 2441072 2229928
10956,1525962 2514610 1135075 2724353 2050308
11027,887713 346350 883402 947593 408240
11380,2772840 437171 1494990 2401760 614433
11423,1904531 72760 551635 2441072 2229928
11805,1967294 996988 391180 1962881 184146
12046,1576352 686014 774961 2263482 2312490
12097,749826 1731944 535574 1603544 2475023
12233,1904531 72760 551635 2441072 2229928
12593,1468658 1676278 1247144 225280 479308
12626,1033004 1716373 1236426 1980857 22657
12630,1200685 1639140 803140 2472921 321400
12671,992296 1739382 1088079 1706653 1657452
12689,913294 378601 891452 741129 158698
12750,391394 505344 1904531 2129217 165300
12852,1837687 2364985 1730736 1132800 2753514
13715,1904531 72760 551635 2441072 2229928
14269,72760 1835988 2168560 2617991 713577
