user_id,recommended_items
285,1850621 1055030 2547000 2338086 1367502
902,86566 2808726 271320 2437461 2684178
948,1581676 328558 217942 2234090 155309
1183,2653524 1460943 830096 700544 2392426
1286,2470349 2580089 1468552 349137 453409
1509,1405727 2347105 346813 2759945 1689184
1776,1998624 2582530 148938 221322 2231092
1982,784737 2002097 1386412 830073 1162250
2742,1935219 1480007 971649 1446843 3758
3161,108776 192552 1198445 2475871 2399947
3256,657183 1244196 1162250 784737 266412
3375,2553102 59091 1176310 1117333 592140
3547,826075 2302659 343292 1910875 1358575
3630,1440827 1495932 1856893 112273 2799305
3806,1282921 756652 2592825 223029 2099774
4607,657183 1244196 1162250 784737 266412
5112,2653281 2200146 735653 2558581 2292605
5627,146364 1613025 1870216 920509 2261620
5686,1061262 259937 1618907 132703 1801186
5738,1598037 262498 2357479 2154557 2226700
5839,920520 2391945 2353541 2255841 1831334
6442,657183 1244196 1162250 784737 266412
7182,2345637 1359754 2614772 53166 1413604
7693,609508 1870014 2472634 2276526 2480331
8316,842833 569550 2311542 409267 1607107
9660,657183 1244196 1162250 784737 266412
9680,448986 2509961 2286108 2180597 2432544
10044,657183 1244196 1162250 784737 266412
10316,2522515 917849 1751200 1160080 2150533
10469,1545216 1389131 558110 700026 2154667
10470,1124083 2564923 1888682 1212499 2784981
10870,1351252 2698861 393396 2324361 2466004
10956,1981831 2270418 202934 2770369 348927
11027,508676 42452 1883184 1774879 2545674
11380,1648491 660938 1981831 1113937 213839
11423,2778525 1244196 2031981 2466095 42452
11805,387757 9737 272775 2163385 1057884
12046,1365590 1250569 1573735 275777 930643
12097,1934897 752019 1386881 552212 1154685
12233,239214 17404 381185 1927864 136536
12593,1351601 1760709 2300364 1832309 2379846
12626,2719266 2162402 2708193 2668027 684674
12630,138623 1859722 127153 1168923 620018
12671,1419228 1990153 420866 855105 23484
12689,657183 1244196 1162250 784737 266412
12750,630137 2543838 551729 867170 237076
12852,1020320 2370248 832029 146054 2608025
13715,1307840 2152885 7709 996751 2451450
14269,552975 2688858 2733382 745056 1851291
14624,2178715 152266 1747407 2157347 2198636
14792,105489 1186307 1595121 2214708 564986
14966,1355174 1540047 1733236 363773 1729668
15006,742946 802976 2401151 2389908 2812823
15100,2057312 2148301 2232832 2659857 2216677
15549,1408884 2026011 2716276 618173 2117554
15611,422026 1066190 1923264 1809719 1465257
16228,1175235 2522515 917849 1751200 1160080
16874,122140 2121433 2723998 1422320 1608366
16971,520976 1502494 754019 1442935 1642769
