user_id,recommended_items
223915,
2457606,2090363 1876513 1155556 656507 319948
917512,
1572873,2002097 1386412 2593483 2198329 784737
2807127,723855 2247317 427718 2075468 460114
557075,
1867798,1386412 2038259 2165626 266917 2049946
1343511,1385441 1430243 2251758 2480507 1759647
1015833,
2523162,612155 385493 143830 2462072 1256381
2228252,
2129952,1674635 15530 1722698 2177883 2017516
2064422,2681769 830345 144616 1196981 878413
1015853,2174514 2522661 135675 820019 2460752
819246,1092821 2198329 1386412 343377 1119495
65592,1324922 2419836 1351870 2552625 951204
2446687,
2555970,
1998915,2198329
2523205,1438082 2462072 931519 2512414 1194436
1245256,217142 1606984 648818 2391945 278162
737292,
950348,2265526 913719 38628 2194432 1355739
1802317,
1409116,
2785373,911450 798896 454216 24794 2110725
491623,205039 2466095 1501054 1244196 2032884
2195561,
229494,
1343611,241544 2107918 1428631 1822118 899500
1627970,2002097 2198329 1119495 648342 2334037
2708842,
1114249,486951 2246222 1015912 444020 1779406
2228247,2433725 1229860 1281736 680630 1423751
2097299,
2949270,2423893 714060 667505 2564347 1576126
98458,2259324 2251758 1074013 1401302 1407200
2353861,2732053 2026628 713745 541081 2821503
2654369,
1278116,1317347 1828156 468120 1717241 2103262
2687142,2624417 360772 2798462 2109795 2044547
1999016,971264 2325967 128261 1000928 81900
2719913,1777103 1268927 650888 2691939 516074
983217,
786611,
524472,
458938,
2042570,
1605822,721214 310141 43306 2709576 1644077
1540289,2200859 964435 1608366 1575243 964787
2785474,
2097352,
2425035,
1278158,
1114324,
131287,668146 448605 1679143 72465 1879708
2556124,
1212640,
786660,
1147109,1807819 1287265 778212 1460321 1508978
2916582,
1376488,
2195691,
196851,
1245430,
524537,1933213 262976 2085851 626635 2480339
2490619,
557309,1244196 1443706 657183 784737 1386412
2195710,1936238 242012 461312 2351020 459658
655618,2750191 2625619 1730803 866371 942253
2900011,592559 1164968 1414197 294270 1849280
381904,78655 1111466 175704 218164 2629756
2948242,
2774402,2222699 2657497 26250 794365 84369
1278222,1729666 2681475 1687791 2786138 66786
950545,1810275 1674804 1560694 1729899 1950272
2626947,161269 612155 1988160 1109355 2822479
2949396,
688409,810121 2813646 1876513 2515973 2578166
1736986,
2195739,1304399 606934 2396676 2800133 1597555
2392348,1096406 1585505 1770733 1185293 839886
285,2123252 922410 1766092 266817 2351004
164126,
