user_id,recommended_items
649899,1386412 657183 784737 1244196 536047
2457606,1155556 656507 1876513 2090363 335428
917512,
1572873,1386412 2002097 784737 2593483 2791339
2118999,
557075,
1867798,1386412 1162250 784737 2791339 343377
2228247,278589 2036051 2433725 1281736 109498
1015833,
2523162,2791339 612155 1386412 2462072 657183
2228252,
2129952,2182290 130511 651730 590562 803962
2064422,830345 2681769 964435 1196981 144616
1015853,2522661 2174514 820019 535530 135675
819246,1092821 1386412 536047 784737 657183
65592,1324922 1092821 478799 2289895 1386412
1135967,
2555970,
1998915,2198329
2523205,2462072 931519 1438082 2002097 2512414
1245256,920520 2391945 2590469 1669749 1606984
507916,358787 508676 2545674 728983 2545040
950348,2265526 2194432 38628 913719 1018726
1802317,
1409116,
2785373,278589 1029640 2766428 911450 486185
491623,1244196 205039 1386412 2466095 1053542
2195561,
229494,
1343611,2417177 548126 830006 2509528 66012
1758570,
2818185,592559 2172276 810121 1774516 1786175
1343511,1385441 2251758 1430243 1277973 1472716
2097299,
2949270,667505 714060 2423893 1576126 1953846
98458,657183 1386412 784737 2002097 1162250
2583237,784932 1370919 125278 1920003 62084
2654369,
1278116,468120 657183 343377 1047625 1828156
2687142,278589 640407 1386412 784737 2002097
1999016,971264 2325967 642820 913425 1000928
2719913,1777103 1268927 650888 626177 1315690
983217,
786611,
51289,741480 2031674 699187 102006 1098944
524472,
458938,
2042570,
1605822,43306 721214 310141 1695195 1644077
1540289,1244196 2200859 784737 1608366 291669
2785474,
2097352,
2425035,
1278158,
1114324,
131287,1679143 668146 1047625 1244196 657183
1945492,
2556124,
1212640,
786660,
1147109,1287265 2466095 1807819 1160495 1053542
2916582,
1376488,
2195691,
196851,
1245430,
524537,1386412 2223940 2085851 2244505 2203488
2490619,
557309,1244196 657183 784737 1386412 1162250
2195710,1936238 242012 2762653 461312 2445301
655618,2625619 1443706 1244196 2750191 687732
573483,
2774402,2222699 2657497 794365 1150402 278589
1278222,2002097 2681475 1386412 1729666 2250299
950545,1810275 1674804 1324922 2058803 1131299
2626947,931519 657183 1988160 161269 612155
2949396,
688409,536047 810121 1876513 2578166 2813646
1736986,
2195739,1304399 579292 606934 1597555 1732848
2392348,1096406 1585505 1672211 799435 1770733
285,1728166 2123252 561002 922410 1766092
164126,
1048864,5506 1278439 1839583 826027 546434
753954,
2195748,608404 962194 1960599 2435845 938192
2457894,1386412 1244196 784737 657183 2778525
1179947,47583 2351631 723903 2503552 574598
2326830,
1671472,612155 931519 339227 2336701 2640201
1737011,1400164 1300830 973863 1284670 567364
753975,
2359612,
2064702,1386412 2791339 2002097 1165605 2712481
852293,
131400,536047 1386412 343377 657183 931519
360777,47583 2024094 1140869 1886939 1928254
295245,640407 1549375 2316056 2103096 400263
295246,558807 2094372 1438622 626177 1315690
2621776,1244196 657183 1162250 784737 79531
1737046,1386412 657183 784737 1244196 343377
1507675,
196956,
1802591,
2359649,1701454 934469 587660 1651349 2413494
2457956,
2982245,1285230 1309296 2579095 2811546 298286
1311084,
1016175,1101229 885731 2264926 1623663 499178
2556276,
1114485,931519 1849280 2159515 612155 1908027
1835382,
644500,
622970,398211 536047 197809 567823 1258922
2654590,1866983 1686594 2000434 1310850 1348916
2261375,2310939 182233 1615362 2660436 1774879
2916741,
1311110,437245 654546 1058389 1398003 2311145
2228616,
158445,
2588739,42 2639891 1009268 2492629 2102920
786836,
2891508,2031674 2319540 1980515 885194 1108328
1704346,
98716,
2589086,
1474991,920520 2391945 1447547 2312162 604795
1442226,
360883,
1212853,706931 2366001 1432887 2213671 2369856
1507769,
2656669,
1311166,
1769923,
1501942,468120 657183 1244196 1047625 2325510
1016264,683757 1561037 1564089 2798615 50748
197066,
1475020,1315172 299061 2310379 1300835 113384
2463138,
2304761,
983512,
2785757,
2080848,
2654694,2002097 1502840 3236 1386412 343377
590311,
852457,238850 1869331 1873175 611872 603593
295406,1162772 2408987 284422 2821618 38540
950769,657183 1092821 784737 2791339 1162250
2458100,
2884089,657183 2778525 79531 1053542 1928254
2687488,
360961,1416451 2131409 1717731 133567 1838908
2490886,
2818573,
516541,
2687516,2778201 620865 2678064 13329 1982706
2130462,1053542 2778525 823512 1244196 1129891
551685,592140 134458 2024094 1488958 984114
1278496,574038 306709 1052343 1176330 2382710
2163234,
33317,
1475110,460717 1140869 711679 1886939 1488958
262695,625475 1624142 2491223 542825 1093943
1081897,
1901099,1254543 1333206 1138029 1226070 704419
1180204,1970355 1898798 1817563 1306144 941893
950829,801479 259808 1322673 2037477 2020029
2327087,
655921,291669 784737 215982 2235265 2491223
950839,343377 1984327 1386412 830073 2117630
1835576,
754239,
2359875,1028343 2393265 1096406 564986 2117630
983622,2791339 657183 784737 1162250 2106311
1895181,1386412 784737 657183 1244196 343377
328272,
590418,
950877,1732848 1289358 2355657 778645 1869786
2490975,
1606241,1123204 1652258 768905 1351870 1422637
2720354,
819816,784737 1162250 1244196 1386412 343377
197225,1140869 2024094 460717 278589 1434088
2097255,657183 1386412 784737 1162250 2712481
1442412,
1081966,
721521,261467 243727 2650926 1171271 1812156
2468627,
1868408,2136533 2309600 9784 2724925 2452583
1868414,657183 784737 964787 1102260 2590469
2523775,1162250 343377 1386412 784737 2791339
754305,1447302 291669 1153961 830073 1240553
1016456,1096406 1732848 579292 771171 134458
1573513,
524938,
2622091,
1720429,2590469 228623 1979540 810648 1150748
688784,2820443 1056667 128039 596654 1078376
2509621,
164502,
1344161,
1180323,344676 1386412 657183 424700 129847
1082020,1244196 784737 657183 1386412 1140869
1671849,2125465 1246024 2310379 1053542 1244196
688811,2024094 1928254 789747 1398047 2728787
1387293,
918202,1619659 1803686 2791339 1233968 2377834
2556605,
492223,657183 784737 1162250 1386412 2791339
1671873,58071 2698338 1712984 1376058 882543
426693,2770160 1461999 415358 254169 209611
1409744,186124 973448 557005 209611 712901
33492,252547 1754395 1171271 2515220 1288715
1261689,592559 788342 650449 2594163 910204
2261720,
983769,2156629 1521582 92186 632512 1737971
1365455,561558 512624 2233456 2791989 443438
1901280,858998 295512 2341508 1847452 2305910
623334,505157 1165605 1695664 1386412 2002097
656106,
295664,657183 1386412 784737 1162250 2791339
2032371,1240029 1544157 750304 536047 2326449
951034,
2360062,
131843,1244196 657183 784737 1162250 2791339
489943,
