user_id,recommended_items
1966085,929772
1441798,153067 318963 1958283 1050133 1858896
917512,931519 2512859 1093296 2168063 2030181
1179657,1597509
655371,1053452 841365
2228247,2037855 1333624 1930991 2091019 343377
1441816,2594994
1966106,1132800 1604470 79531
2097179,1200228 59078
2228252,21586 2279599
1310750,1132800 2142631
2359332,667882 472594 125884 2617436 1088748
1048615,2313955 831051 2532610
131115,2462766 710187
524333,1398411 1015599 546281 107401 517865
2359304,185038
2097202,941986 2800789 949723 156880 730347
786485,1479222
1572873,261953 536047 1325341 1742926 2141409
393274,2803 390015
2752573,1061144 1798107 1809843 1978085 2251870
917566,950840 2439615 2244307
524351,493657 2066951 1658466
1966144,826027 1574223 2271211
262212,567823 918409 1364014 2000473 2771516
1048650,2041752 144788 2464913 574981 1412389
1835083,1313689
917583,1223431 1077774 533421 193454 736555
131153,1364814
1048660,1284786 1752614 309768 428051 1123562
1048661,2652378 1290875 2650926 2795800 1725329
1704024,2562411
262233,1734876 2338560 2015781 42438 2521535
1048668,657183 470426 734196 1269685 437245
2097255,381857 2651929 1238263 994427 2004345
1835117,1292345 2352822 467934
655470,2405988 1838170 2304683 1564086 509580
1179760,483871 2148301 709713 863975 2450694
655480,1799240 2600035 1464874 1476502
2097275,1280484 2109679
1310844,2465348 1381918 2824142 985122 144982
524422,2717395
786568,1854295
546156,1816232 2815771 1972835
2097299,702634 2332355 1487074
917652,816506 1463309 294829 2597778 833208
917653,686722 2146798 186186 1915190 1101499
1179822,2106404 238108 525265 1200219 18904
2359473,2660436 2397541 783000 1398006 2303808
786611,100165 590819
524472,2348591 2411430 2467590 952102
1179836,481108 1637573 2405954 660938 881153
349557,471520 1123100
1441986,1556826 1269438 2337230 1701996 468120
2097352,1053542 299236
808312,43401 1643948
1179859,1635921
131287,2439554 1101318 2439867 293363 2687072
219,2771019 2097556 147200 2182476 1992468
786660,2578166 1326908 1705792 1148501 2049846
655590,1640348 944760 1573430 278589 1531632
1179879,2550402 1527469
1442025,248669 902460 1328208 459908 534894
2359530,391068 2808197 585997 956619 2628865
699090,886896 631395 79799 2606347 1477394
2228462,1499102 1139587 172958 540300 714424
218493,2635038 184517 1420527 1830993 2244464
1704180,1012124 2204999
524537,1825114 2368994 1171416 316245 2661379
2490619,1491515 2139789
2228476,674072 540689 697543 2201927
2512256,1474216 2105603
258,234280 2687682 1492887 2279003 1417355
1682134,2153564 1451593 2443342 2491575 1282696
2883846,707421 2834441 825197 451372 2008332
2774402,84369 1912738 469133 240231 2367246
2752784,716504 652041 2814865
285,567107 2113211 1442082 2461520 436140
1048864,1569574 2619522 259111 348101 1887951
524577,3236 2635038
655658,2728787 1465476 1999749 386410 650449
1179947,2208456 1973795 2143714 400310 1637386
1442094,1177686 679642 414373 128949 1503812
2359607,1464929 965070 558352 1636910
262457,753601 788858
1179973,2791339 698634 865219 383706 2198636
1311046,78338 2607188
131400,1079601 2469440 376386 1040171 1905117
1966411,1114514 1186105 1060591 1225664 251197
2228560,1591906 2656147 1239895 54215 1908426
1835346,1072746 1950864 583378 2755017 709316
2643342,1984327
343,1967183 878959 1696867 1823493 2210253
1573208,2803681
1835359,1297289 1953935 732923 2406610 1783596
2359649,1770279 1013774 1141195 803363 2128719
1573228,2060320
1835376,2564719
2490737,1125840 1227566
