user_id,recommended_items
223915,
2457606,2090363 1155556 1876513 656507 1499394
917512,
1572873,1386412 2002097 784737 2593483 2791339
2807127,2077064 2422477 881164 650554 2693017
557075,
1867798,1386412 1162250 2791339 784737 2002097
1343511,1385441 2251758 1430243 2480507 1472716
1015833,
2523162,612155 2791339 385493 2462072 143830
2228252,
2129952,130511 590562 651730 1674635 15530
2064422,830345 2681769 144616 1196981 878413
1015853,2522661 2174514 820019 135675 2460752
819246,1092821 1386412 536047 784737 343377
65592,1324922 478799 2132793 2552625 2419836
2446687,
2555970,
1998915,2198329
2523205,1438082 2462072 931519 2512414 1194436
1245256,217142 1606984 648818 278162 2391945
737292,
950348,2265526 913719 38628 2194432 1018726
1802317,
1409116,
2785373,911450 278589 2766428 1029640 454216
491623,205039 1244196 1386412 2466095 1501054
2195561,
229494,
1343611,2417177 2509528 830006 548126 1428631
1627970,2002097 1119495 2198329 1092821 784737
2708842,
1114249,1384135 2086263 5232 1988471 1531941
2228247,2433725 1281736 2036051 1423751 109498
2097299,
2949270,714060 2423893 667505 1576126 2564347
98458,657183 2259324 1386412 784737 2251758
2353861,2732053 2026628 2821503 713745 541081
2654369,
1278116,1317347 1828156 468120 1717241 1047625
2687142,278589 2624417 1992803 2798462 640407
1999016,971264 2325967 629031 998718 1000928
2719913,1777103 1268927 650888 516074 1973142
983217,
786611,
524472,
458938,
2042570,
1605822,721214 310141 43306 1644077 2709576
1540289,2200859 964435 1608366 1244196 1575243
2785474,
2097352,
2425035,
1278158,
1114324,
131287,668146 1679143 448605 2796479 1047625
2556124,
1212640,
786660,
1147109,1287265 1807819 2466095 778212 1460321
2916582,
1376488,
2195691,
196851,
1245430,
524537,1386412 2085851 2223940 1823782 1077498
2490619,
557309,1244196 657183 784737 1386412 1443706
2195710,1936238 242012 461312 2050517 2762653
655618,2750191 2625619 1443706 942253 2501356
2900011,592559 1164968 1414197 294270 1849280
381904,1386412 78655 1092821 1111466 1998024
2948242,
2774402,2222699 2657497 794365 26250 1150402
1278222,2681475 1729666 2002097 1687791 66786
950545,1810275 1674804 1560694 1324922 1950272
2626947,161269 612155 1988160 1109355 2822479
2949396,
688409,810121 1876513 2813646 2578166 2515973
1736986,
2195739,1304399 606934 579292 1597555 2800133
2392348,1096406 1585505 1770733 799435 2806026
285,2123252 922410 1766092 1728166 266817
164126,
1048864,5506 1278439 1839583 826027 546434
753954,
2195748,608404 962194 1960599 2435845 938192
2457894,1386412 2002097 436574 1574295 784737
1179947,47583 723903 2503552 2476034 804412
2326830,
1671472,612155 339227 2640201 2336701 1278222
1737011,1400164 1300830 567364 510425 1284670
753975,
2488878,1437184 695332 1727864 765001 915880
2359612,
2064702,1168736 1386412 1324922 2152422 2002097
852293,
131400,536047 343377 931519 657183 1386412
360777,47583 2024094 1886939 592140 2506235
295245,1549375 640407 2316056 2103096 305225
295246,558807 2094372 1438622 626177 896981
2621776,1244196 47583 1162250 657183 79531
1737046,1386412 657183 784737 1244196 266412
1507675,
196956,
1835359,
2359649,1651349 587660 934469 1701454 1338724
2457956,
2982245,2659474 1285230 1309296 2579095 2811546
1311084,
1016175,1101229 885731 1623663 1751819 2264926
917876,265522 2672526 19966 2579569 78338
1114485,1849280 931519 2159515 1908027 612155
1835382,
2479508,2791339 1140869 397742 278589 973151
622970,398211 1258922 567823 528385 197809
2654590,1686594 2000434 1866983 2815409 2462782
2261375,2310939 182233 1615362 1526450 1774879
2916741,
1311110,654546 1058389 1398003 2311145 437245
2228616,
2714349,343377 1386412 536047 2791339 2106311
2588739,42 2639891 1106691 1942862 2631931
786836,
2891508,2031674 2319540 1980515 885194 1108328
1704346,
98716,
2589086,
1961866,
1474991,920520 2391945 1447547 2312162 2164559
1442226,
360883,
1212853,706931 2366001 1432887 2213671 1021991
1507769,
1311166,
1769923,
2943734,1244196 1053542 1386412 2750191 823512
1016264,1561037 1564089 683757 1911159 989469
197066,
1475020,1315172 299061 1300835 2310379 1958084
2463138,
2304761,
983512,
2785757,
2211920,1885036 413561 931519 536047 1965129
2654694,1502840 2002097 3236 1866139 472594
590311,
852457,2258782 1869331 238850 35717 2572745
295406,1162772 2408987 2821618 284422 1220826
2841319,1574295 766060 1624781 1808443 2044303
950769,1092821 657183 784737 1119495 486936
2458100,
2884089,79531 657183 2778525 1928254 1140869
2687488,
360961,1416451 2131409 1838908 1955065 1726380
2490886,
2818573,
2687516,2778201 1982706 2678064 13329 2564608
2130462,1053542 1129891 2778525 2310939 1883184
2190085,
1278496,574038 306709 1052343 1176330 1624781
1147426,2650926 317172 2148901 1274752 667505
33317,
1475110,1488958 467332 711679 460717 2483847
262695,625475 1624142 542825 2491223 1093943
1081897,
1901099,704419 1254543 1138029 1333206 689373
1180204,1970355 1306144 1898798 941893 757668
950829,801479 259808 2314169 1322673 2037477
2327087,
655921,291669 215982 784737 1835742 2760857
950839,343377 1984327 2117630 1386412 830073
1835576,
754239,
2359875,1028343 564986 2393265 1096406 2117630
983622,2791339 657183 2106311 784737 1162250
1829645,2184780 765369 2100283 1509631 2772231
328272,
590418,
950877,1732848 1289358 2355657 123523 1050950
2490975,
1606241,1123204 1351870 1422637 1652258 1355739
2720354,
819816,784737 1162250 72465 1244196 2420135
197225,2024094 1140869 460717 984114 2274527
2097255,657183 1386412 784737 1519543 1162250
1442412,
1081966,
721521,243727 261467 1812156 1931528 1515214
2468627,
1868408,2136533 2309600 2724925 2452583 2301068
1868414,1102260 964787 406835 2590469 657183
2523775,1162250 1386412 343377 784737 2791339
754305,1447302 291669 838799 1191937 1153961
1016456,1096406 1732848 771171 579292 2117630
1573513,
524938,
2622091,
1818733,
688784,2820443 596654 2142637 128039 770613
164502,
1344161,
1180323,1833247 344676 1824155 650449 2705351
1082020,1244196 784737 1386412 657183 1165605
1671849,1246024 2125465 98558 2592561 2058880
688811,2024094 789747 1398047 2731358 2728787
1387293,
918202,1619659 1803686 2791339 2562353 2377834
2556605,
492223,657183 1162250 784737 266412 1386412
1671873,58071 2698338 120395 1712984 1165470
426693,1461999 2770160 254169 415358 1074013
2653652,
1409744,186124 973448 557005 209611 712901
33492,1171271 252547 1288715 137527 384760
1523833,
2261720,
983769,2156629 92186 1053187 745056 1899453
2938319,
1901280,858998 1847452 2305910 2023995 2736706
2026253,2171176 32731 635142 1927789 898639
623334,505157 2470523 2603642 1619241 2634238
656106,
295664,657183 1386412 784737 1162250 2791339
2032371,1544157 750304 1240029 2326449 399752
951034,
2360062,
131843,1244196 657183 784737 1047625 1162250
632881,2215849 1011519 248636 286278 1070119
197384,2123478 379473 703845 1128771 201247
1321772,2251758 1074013 2770160 1407200 1888822
1639181,
590606,
2687759,1140869 885898 1849416 190415 544914
33552,
1934102,278589 2288244 1113937 739398 2353116
1901337,1397388 1447302 700812 2258655 1969023
1770268,617661 605393 890726 1396688 278589
2364891,
131876,1244196 784737 1140869 1047625 657183
99109,2248711 2015289 2616099 1007911 388178
1213223,592140 1212859 665723 2648928 984114
197417,
2182287,1615202 652373 2241590 1834588 2264926
568114,
38365,
2884400,
2687795,
2818185,1774516 717098 288224 2674953 204306
1573691,1103144 96802 2650926 1846980 614356
918341,
426823,
295757,2623983 116763 750033 1780684 2148574
1344334,1831341 1641941 2482673 912679 907070
2884434,
99155,
1895225,
885596,2590469 964435 2348573 228623 2705558
1540961,
1475426,2314169 2190917 1686458 1143278 185962
1934185,
394093,1264055 2743697 1249417 664129 1111772
1868655,
2982768,2033631 696554 839112 1495573 2650926
1508209,
2326675,
2294647,
754555,657183 1443706 2313894 2031981 784737
2425727,343377 439644 518244 1987826 2268069
197510,2734753 1303387 1638990 1496446 1973564
99208,1636910 1165605 625711 2712481 1283135
1835913,
2720651,2339519 730122 8498 1305260 1085314
2884493,
1966992,
1311633,1042196 1781580 979910 1027027 2611099
1049490,1339242 2529771 1188791 503402 1560712
1901461,2817897 463346 2198127 2013365 2549854
2720663,1218572 1183228 1533470 1898849 2183922
1082264,2128544 931519 1163551 2054845 958875
1180569,1244196 2778525 2031981 1287265 657183
1868700,
263073,1140869 79531 1345329 1773768 1244196
1344419,478903 2779430 1240029 2796479 1165605
2065317,289308 2717661 172967 336136 1862090
33704,784737 1386412 1244196 2313894 1443706
459689,657183 1386412 1162250 1244196 2002097
1573803,
2659827,
948,
1606582,
1999799,
1246138,661168 825136 142662 1750890 2454381
394177,784737 1386412 2002097 1162250 657183
2982855,436574 1571702 399596 2009453 2112737
197576,2450694 739398 213839 1586072 1811731
1967052,
328657,2086041 41406 291669 1376058 604795
2124622,
1737688,
1901531,73218 1475454 1031169 2348573 2018868
1016798,
230369,
1475555,852451 1510306 261735 1938959 1566544
525294,2312162 1244196 987162 920520 2391945
1627645,
1704945,2435845 33540 2649322 2654710 1233361
1082354,
2229235,
1508340,
1049595,
295936,
1868803,1982510 2668025 2502244 1793593 2309225
2622476,1928254 967007 665194 460717 723096
2982929,1140869 2024094 2648928 1928254 278589
1541143,
2905605,
66592,
2080945,1092821 536047 1386412 784737 437245
2589736,
2130986,
1377323,
328748,2438736 2321445 1060184 316047
1868848,
295986,
1965161,2796479 1047625 1679143 1953846 668146
1442875,
132162,2533786 2512859 1529678 1221097 2134619
1967175,
480780,2833960 2021858 1101037 2018000 2185179
853069,
2524252,1714855 1538515 1863686 145191 1182443
1147066,
984164,1103085 366335 1051054 2537927 1059018
2577937,
1115240,2349522 2233075 862005 1519579 833986
1016942,
263279,
1541234,2648928 984114 2024094 1434088 656507
1180789,
2262134,
427127,
2163832,983792 165272 2262139 1502840 32685
1737851,2658601 1493551 497626 1945452 34102
600938,
1803391,2230405 907232 45070 1048718 2144871
1049735,1140869 1092821 574598 79531 1353665
2262154,
2032779,
656524,784737 1386412 343377 2002097 2791339
263309,1809847 359711 1970592 487302 1463490
1836177,452385 1449387 691407 285340 2073713
1148050,
2000021,1448393 279921 415852
1115287,1347927 1738405 1162243 643651 1350182
1442969,
1183,
2032801,2476988 340260 2063265 2368986 738730
263330,455223 2789271 173319 579292 1556166
2098339,
2491560,1014523 1086692 1246680 415108 674206
2458793,1353601 2370478 671536 744966 405232
2753713,2698468 2586497 1386412 2244505 1502840
2196661,1679143 2423973 1048520 836451 668146
459959,1985302 579292 1263984 1155083 2086252
984248,2157670 542825 1414147 1461435 1040146
1705148,379362 837013 1162890 362803 986762
1410238,
2163907,
918730,2466095 1287265 1181698 2087109 2103306
132303,723096 460717 2239159 665194 1140869
1180881,
1869011,
1508566,851876 1988490 1768483 14996 1576126
2327767,411934 105683 1733744 2599298 1734799
1541336,1244196 657183 1047625 784737 1162250
2098399,887776 2118847 43306 323588 994489
165095,1812156 261467 243727 2494962 901645
296171,2235265 2112096 507102 2002097 979531
1443052,
2971176,
1605844,
1049850,
754939,1047625 668146 2796479 2680669 1809836
2819326,278589 654547 794156 1139628 947556
1246464,1912841 2516254 243727 1998881 704353
1017093,
1286,
1639688,2493452 1674959 786389 1908784 1366141
2131213,
99598,
1901840,
460050,
2131219,
1443094,
525591,77356 1443706 1888822 712901 1074013
296216,
2000157,
754981,1389841 1475433 131739 2360755 1195796
1639721,
2721066,2668271 2590469 2348573 1606984 1887979
2262322,
2065715,1048520 1679143 1795243 2238716 2680669
2524468,140830 2523215 875837 816057 2769854
1115445,
558390,2491016 83100 2393962 1855880 371641
2321289,1573395 2312162 2353541 1829348 600690
2065720,2002097 1386412 1334149 2213987 226371
623936,1074013 557005 712901 2770160 1878292
1869122,493460 1912841 1328394 1903149 2594954
2917705,
2786634,1386412 1244787 2002097 2413494 657183
1770827,
895885,
2721107,
1443159,1386412 1928254 47583 2024094 2648928
66908,
2655583,
427362,
263526,1725761 1962428 1529535 965206 688457
2648977,
1967466,
1312111,1867675 887776 1822084 1876513 2093033
1802472,
820594,2391408 2585299 416545 2752411 1593507
591219,1888821 2417124 1782094 436974 2301756
1316416,
427394,291669 1575243 2590469 964787 964435
1803651,35319 143830 385493 801409 2158592
2196869,2412666 2507799 2169495 1298800 1640213
333377,2148834 2439867 2694051 799209 2181817
1541513,
2524557,161269 869264 2165626 402511 1316791
1050009,1870216 944507 479554 410967 1596284
