user_id,recommended_items
285,877683 1183921 1099642 748821 2089572
902,877683 1183921 1099642 748821 2089572
948,877683 1183921 1099642 748821 2089572
1183,877683 1183921 1099642 748821 2089572
1286,877683 1183921 1099642 748821 2089572
1509,877683 1183921 1099642 748821 2089572
1776,877683 1183921 1099642 748821 2089572
1982,877683 1183921 1099642 748821 2089572
2742,877683 1183921 1099642 748821 2089572
3161,877683 1183921 1099642 748821 2089572
3256,877683 1183921 1099642 748821 2089572
3375,877683 1183921 1099642 748821 2089572
3547,877683 1183921 1099642 748821 2089572
3630,877683 1183921 1099642 748821 2089572
3806,877683 1183921 1099642 748821 2089572
4607,877683 1183921 1099642 748821 2089572
5112,877683 1183921 1099642 748821 2089572
5627,877683 1183921 1099642 748821 2089572
5686,877683 1183921 1099642 748821 2089572
5738,877683 1183921 1099642 748821 2089572
5839,877683 1183921 1099642 748821 2089572
6442,877683 1183921 1099642 748821 2089572
7182,877683 1183921 1099642 748821 2089572
7693,877683 1183921 1099642 748821 2089572
8316,877683 1183921 1099642 748821 2089572
9660,877683 1183921 1099642 748821 2089572
9680,877683 1183921 1099642 748821 2089572
10044,877683 1183921 1099642 748821 2089572
10316,877683 1183921 1099642 748821 2089572
10469,877683 1183921 1099642 748821 2089572
10470,877683 1183921 1099642 748821 2089572
10870,877683 1183921 1099642 748821 2089572
10956,877683 1183921 1099642 748821 2089572
11027,877683 1183921 1099642 748821 2089572
11380,877683 1183921 1099642 748821 2089572
11423,877683 1183921 1099642 748821 2089572
11805,877683 1183921 1099642 748821 2089572
12046,877683 1183921 1099642 748821 2089572
12097,877683 1183921 1099642 748821 2089572
12233,877683 1183921 1099642 748821 2089572
12593,877683 1183921 1099642 748821 2089572
12626,877683 1183921 1099642 748821 2089572
12630,877683 1183921 1099642 748821 2089572
12671,877683 1183921 1099642 748821 2089572
12689,877683 1183921 1099642 748821 2089572
12750,877683 1183921 1099642 748821 2089572
12852,877683 1183921 1099642 748821 2089572
13715,877683 1183921 1099642 748821 2089572
14269,877683 1183921 1099642 748821 2089572
14624,877683 1183921 1099642 748821 2089572
14792,877683 1183921 1099642 748821 2089572
14966,877683 1183921 1099642 748821 2089572
15006,877683 1183921 1099642 748821 2089572
15100,877683 1183921 1099642 748821 2089572
15549,877683 1183921 1099642 748821 2089572
15611,877683 1183921 1099642 748821 2089572
16228,877683 1183921 1099642 748821 2089572
16874,877683 1183921 1099642 748821 2089572
16971,877683 1183921 1099642 748821 2089572
18097,877683 1183921 1099642 748821 2089572
18564,877683 1183921 1099642 748821 2089572
18796,877683 1183921 1099642 748821 2089572
18994,877683 1183921 1099642 748821 2089572
19544,877683 1183921 1099642 748821 2089572
19679,877683 1183921 1099642 748821 2089572
19704,877683 1183921 1099642 748821 2089572
20101,877683 1183921 1099642 748821 2089572
20679,877683 1183921 1099642 748821 2089572
20815,877683 1183921 1099642 748821 2089572
20979,877683 1183921 1099642 748821 2089572
21195,877683 1183921 1099642 748821 2089572
21324,877683 1183921 1099642 748821 2089572
21578,877683 1183921 1099642 748821 2089572
21627,877683 1183921 1099642 748821 2089572
21663,877683 1183921 1099642 748821 2089572
21813,877683 1183921 1099642 748821 2089572
21835,877683 1183921 1099642 748821 2089572
22107,877683 1183921 1099642 748821 2089572
22206,877683 1183921 1099642 748821 2089572
22591,877683 1183921 1099642 748821 2089572
22728,877683 1183921 1099642 748821 2089572
23229,877683 1183921 1099642 748821 2089572
23361,877683 1183921 1099642 748821 2089572
23459,877683 1183921 1099642 748821 2089572
23667,877683 1183921 1099642 748821 2089572
23718,877683 1183921 1099642 748821 2089572
24419,877683 1183921 1099642 748821 2089572
24465,877683 1183921 1099642 748821 2089572
25906,877683 1183921 1099642 748821 2089572
26038,877683 1183921 1099642 748821 2089572
26658,877683 1183921 1099642 748821 2089572
27187,877683 1183921 1099642 748821 2089572
27501,877683 1183921 1099642 748821 2089572
27638,877683 1183921 1099642 748821 2089572
27707,877683 1183921 1099642 748821 2089572
27727,877683 1183921 1099642 748821 2089572
27845,877683 1183921 1099642 748821 2089572
27931,877683 1183921 1099642 748821 2089572
28232,877683 1183921 1099642 748821 2089572
28739,877683 1183921 1099642 748821 2089572
28801,877683 1183921 1099642 748821 2089572
28972,877683 1183921 1099642 748821 2089572
29072,877683 1183921 1099642 748821 2089572
29146,877683 1183921 1099642 748821 2089572
29212,877683 1183921 1099642 748821 2089572
29340,877683 1183921 1099642 748821 2089572
29449,877683 1183921 1099642 748821 2089572
29519,877683 1183921 1099642 748821 2089572
30094,877683 1183921 1099642 748821 2089572
30368,877683 1183921 1099642 748821 2089572
30774,877683 1183921 1099642 748821 2089572
30910,877683 1183921 1099642 748821 2089572
31318,877683 1183921 1099642 748821 2089572
32111,877683 1183921 1099642 748821 2089572
32371,877683 1183921 1099642 748821 2089572
32434,877683 1183921 1099642 748821 2089572
33119,877683 1183921 1099642 748821 2089572
33317,877683 1183921 1099642 748821 2089572
33492,877683 1183921 1099642 748821 2089572
33552,877683 1183921 1099642 748821 2089572
33704,877683 1183921 1099642 748821 2089572
35125,877683 1183921 1099642 748821 2089572
35517,877683 1183921 1099642 748821 2089572
35752,877683 1183921 1099642 748821 2089572
36049,877683 1183921 1099642 748821 2089572
36125,877683 1183921 1099642 748821 2089572
36396,877683 1183921 1099642 748821 2089572
36940,877683 1183921 1099642 748821 2089572
37187,877683 1183921 1099642 748821 2089572
37351,877683 1183921 1099642 748821 2089572
38059,877683 1183921 1099642 748821 2089572
38189,877683 1183921 1099642 748821 2089572
38365,877683 1183921 1099642 748821 2089572
38481,877683 1183921 1099642 748821 2089572
38730,877683 1183921 1099642 748821 2089572
38944,877683 1183921 1099642 748821 2089572
39189,877683 1183921 1099642 748821 2089572
39773,877683 1183921 1099642 748821 2089572
39778,877683 1183921 1099642 748821 2089572
40141,877683 1183921 1099642 748821 2089572
40180,877683 1183921 1099642 748821 2089572
40246,877683 1183921 1099642 748821 2089572
40468,877683 1183921 1099642 748821 2089572
41309,877683 1183921 1099642 748821 2089572
41345,877683 1183921 1099642 748821 2089572
41383,877683 1183921 1099642 748821 2089572
41403,877683 1183921 1099642 748821 2089572
41629,877683 1183921 1099642 748821 2089572
41649,877683 1183921 1099642 748821 2089572
42051,877683 1183921 1099642 748821 2089572
42321,877683 1183921 1099642 748821 2089572
42617,877683 1183921 1099642 748821 2089572
42912,877683 1183921 1099642 748821 2089572
43088,877683 1183921 1099642 748821 2089572
43399,877683 1183921 1099642 748821 2089572
43444,877683 1183921 1099642 748821 2089572
44628,877683 1183921 1099642 748821 2089572
46074,877683 1183921 1099642 748821 2089572
46106,877683 1183921 1099642 748821 2089572
46377,877683 1183921 1099642 748821 2089572
46391,877683 1183921 1099642 748821 2089572
46874,877683 1183921 1099642 748821 2089572
47353,877683 1183921 1099642 748821 2089572
47387,877683 1183921 1099642 748821 2089572
47475,877683 1183921 1099642 748821 2089572
47662,877683 1183921 1099642 748821 2089572
48463,877683 1183921 1099642 748821 2089572
48478,877683 1183921 1099642 748821 2089572
48675,877683 1183921 1099642 748821 2089572
48789,877683 1183921 1099642 748821 2089572
49239,877683 1183921 1099642 748821 2089572
49334,877683 1183921 1099642 748821 2089572
49418,877683 1183921 1099642 748821 2089572
49794,877683 1183921 1099642 748821 2089572
50754,877683 1183921 1099642 748821 2089572
50874,877683 1183921 1099642 748821 2089572
51289,877683 1183921 1099642 748821 2089572
51380,877683 1183921 1099642 748821 2089572
51416,877683 1183921 1099642 748821 2089572
51445,877683 1183921 1099642 748821 2089572
51851,877683 1183921 1099642 748821 2089572
52067,877683 1183921 1099642 748821 2089572
52207,877683 1183921 1099642 748821 2089572
52730,877683 1183921 1099642 748821 2089572
52831,877683 1183921 1099642 748821 2089572
53121,877683 1183921 1099642 748821 2089572
53574,877683 1183921 1099642 748821 2089572
53638,877683 1183921 1099642 748821 2089572
53677,877683 1183921 1099642 748821 2089572
53760,877683 1183921 1099642 748821 2089572
53874,877683 1183921 1099642 748821 2089572
54382,877683 1183921 1099642 748821 2089572
55261,877683 1183921 1099642 748821 2089572
55358,877683 1183921 1099642 748821 2089572
55450,877683 1183921 1099642 748821 2089572
55534,877683 1183921 1099642 748821 2089572
56110,877683 1183921 1099642 748821 2089572
56216,877683 1183921 1099642 748821 2089572
56227,877683 1183921 1099642 748821 2089572
56317,877683 1183921 1099642 748821 2089572
56439,877683 1183921 1099642 748821 2089572
57013,877683 1183921 1099642 748821 2089572
58197,877683 1183921 1099642 748821 2089572
58250,877683 1183921 1099642 748821 2089572
58548,877683 1183921 1099642 748821 2089572
58600,877683 1183921 1099642 748821 2089572
58624,877683 1183921 1099642 748821 2089572
58695,877683 1183921 1099642 748821 2089572
58784,877683 1183921 1099642 748821 2089572
58798,877683 1183921 1099642 748821 2089572
58833,877683 1183921 1099642 748821 2089572
59104,877683 1183921 1099642 748821 2089572
59135,877683 1183921 1099642 748821 2089572
59546,877683 1183921 1099642 748821 2089572
59782,877683 1183921 1099642 748821 2089572
59842,877683 1183921 1099642 748821 2089572
60155,877683 1183921 1099642 748821 2089572
60471,877683 1183921 1099642 748821 2089572
60496,877683 1183921 1099642 748821 2089572
61016,877683 1183921 1099642 748821 2089572
61298,877683 1183921 1099642 748821 2089572
61873,877683 1183921 1099642 748821 2089572
62808,877683 1183921 1099642 748821 2089572
62908,877683 1183921 1099642 748821 2089572
62914,877683 1183921 1099642 748821 2089572
63061,877683 1183921 1099642 748821 2089572
63163,877683 1183921 1099642 748821 2089572
63322,877683 1183921 1099642 748821 2089572
63597,877683 1183921 1099642 748821 2089572
63753,877683 1183921 1099642 748821 2089572
63872,877683 1183921 1099642 748821 2089572
64303,877683 1183921 1099642 748821 2089572
64930,877683 1183921 1099642 748821 2089572
65592,877683 1183921 1099642 748821 2089572
66592,877683 1183921 1099642 748821 2089572
66908,877683 1183921 1099642 748821 2089572
67173,877683 1183921 1099642 748821 2089572
67354,877683 1183921 1099642 748821 2089572
67659,877683 1183921 1099642 748821 2089572
67705,877683 1183921 1099642 748821 2089572
67752,877683 1183921 1099642 748821 2089572
67939,877683 1183921 1099642 748821 2089572
69088,877683 1183921 1099642 748821 2089572
69418,877683 1183921 1099642 748821 2089572
69428,877683 1183921 1099642 748821 2089572
69757,877683 1183921 1099642 748821 2089572
70134,877683 1183921 1099642 748821 2089572
70534,877683 1183921 1099642 748821 2089572
70547,877683 1183921 1099642 748821 2089572
70649,877683 1183921 1099642 748821 2089572
70855,877683 1183921 1099642 748821 2089572
71226,877683 1183921 1099642 748821 2089572
72027,877683 1183921 1099642 748821 2089572
72461,877683 1183921 1099642 748821 2089572
72570,877683 1183921 1099642 748821 2089572
73454,877683 1183921 1099642 748821 2089572
73471,877683 1183921 1099642 748821 2089572
73525,877683 1183921 1099642 748821 2089572
74032,877683 1183921 1099642 748821 2089572
74663,877683 1183921 1099642 748821 2089572
75611,877683 1183921 1099642 748821 2089572
76103,877683 1183921 1099642 748821 2089572
76608,877683 1183921 1099642 748821 2089572
76720,877683 1183921 1099642 748821 2089572
77440,877683 1183921 1099642 748821 2089572
77641,877683 1183921 1099642 748821 2089572
77738,877683 1183921 1099642 748821 2089572
77942,877683 1183921 1099642 748821 2089572
77992,877683 1183921 1099642 748821 2089572
78016,877683 1183921 1099642 748821 2089572
78100,877683 1183921 1099642 748821 2089572
78298,877683 1183921 1099642 748821 2089572
78784,877683 1183921 1099642 748821 2089572
79349,877683 1183921 1099642 748821 2089572
79426,877683 1183921 1099642 748821 2089572
79738,877683 1183921 1099642 748821 2089572
79802,877683 1183921 1099642 748821 2089572
80026,877683 1183921 1099642 748821 2089572
80113,877683 1183921 1099642 748821 2089572
80743,877683 1183921 1099642 748821 2089572
80933,877683 1183921 1099642 748821 2089572
81213,877683 1183921 1099642 748821 2089572
81342,877683 1183921 1099642 748821 2089572
81375,877683 1183921 1099642 748821 2089572
82204,877683 1183921 1099642 748821 2089572
82500,877683 1183921 1099642 748821 2089572
82645,877683 1183921 1099642 748821 2089572
82778,877683 1183921 1099642 748821 2089572
82848,877683 1183921 1099642 748821 2089572
82953,877683 1183921 1099642 748821 2089572
