user_id,recommended_items
285,1225822 1429391 801392 2526944 1032655
902,358411 450352 717516 2632134 264002
948,2614160 1689191 366974 169964 571817
1183,1100090 1511227 1741307 1785694 182080
1286,784737 657183 1386412 266412 1162250
1509,2467273 1117449 892333 2086041 568223
1776,2196824 1722553 1643152 2631378 1421442
1982,784737 657183 1386412 266412 1162250
2742,784737 657183 1386412 266412 1162250
3161,2424110 1691463 201890 2088702 2220691
3256,1851538 1791306 698465 727516 499810
3375,2256864 565576 748966 840727 2697460
3547,784737 657183 1386412 266412 1162250
3630,2290613 2379472 2564607 68837 2437406
3806,26579 1525041 1321703 2055662 1961696
4607,784737 657183 1386412 266412 1162250
5112,784737 657183 1386412 266412 1162250
5627,294398 1700045 740397 345660 613431
5686,1207473 920019 842457 507451 2291375
5738,813400 2487617 556364 2299487 538069
5839,1767343 2738512 1952969 1063997 1775531
6442,2817445 617101 918798 1399491 249771
7182,248636 2014172 2801720 1551319 1011519
7693,784737 657183 1386412 266412 1162250
8316,2476988 1275475 1381359 1494042 1626873
9660,700509 2268963 2817792 266196 1298932
9680,1956014 2158911 431272 10811 1396171
10044,2553522 1886711 2232786 1522303 1279415
10316,1771645 273014 1962993 2829150 709754
10469,318941 1873023 2494652 1647308 1482543
10470,1314599 1024225 2632128 1675235 1818089
10870,784737 657183 1386412 266412 1162250
10956,1556878 2137413 2774587 2712922 2469660
11027,1648187 108670 1147424 1116360 1791528
11380,1999252 1913360 1034197 653600 262385
11423,784737 657183 1386412 266412 1162250
11805,1881541 2546371 1842336 2527318 1182960
12046,1397885 1635452 790953 1583802 2290421
12097,201335 1583754 2367046 1176686 1278887
12233,784737 657183 1386412 266412 1162250
12593,1094776 2408382 2276798 2707577 1609822
12626,795059 389515 2795456 1999567 353713
12630,2083677 2393613 2761339 1357109 751630
12671,1048625 1741345 1477880 1984752 2560186
12689,991588 2442045 1508724 1638937 1042074
12750,2682713 2436779 2771100 204756 2616253
12852,316338 1446385 2336301 2485053 890961
13715,784737 657183 1386412 266412 1162250
14269,1207409 2556263 2786349 2221116 456323
14624,2249023 1535214 573297 480135 2176362
14792,1075191 1293571 2496021 2807972 1015502
14966,1210470 1189494 100343 2593688 504015
15006,614358 120131 1455747 972313 627769
15100,2211335 2148424 2082178 1948095 1623091
15549,379195 2313858 2770501 1869838 2774634
15611,2424094 282261 853836 1609157 1613025
16228,784737 657183 1386412 266412 1162250
16874,1320651 2761926 2396906 2654845 1241227
16971,2509697 138623 582631 127153 1859722
18097,1428371 42465 262865 1353323 2410081
18564,1099911 307365 1058423 1424447 1843774
18796,760206 214485 2706865 40099 275292
18994,211828 771667 1197166 1606670 2325004
19544,1905000 168828 93831 1319939 1698121
19679,2649157 1287329 1676073 1919269 2724936
19704,2703580 712930 332108 1606193 66772
20101,1741833 1655463 803773 1516007 2566970
20679,934025 2621819 2326175 823131 2465938
20815,27083 1407200 2710393 62452 230373
20979,1702541 177698 1542593 2646800 1445248
21195,735921 1804678 1849030 1259349 1119536
21324,2049238 225268 2730433 746473 600652
21578,784737 657183 1386412 266412 1162250
21627,1953745 2709227 1339536 1047598 2669011
21663,2209942 166975 1569750 2120274 2713538
21813,950058 1090241 1663921 2782726 2517692
21835,726141 830488 1453058 2345290 169289
22107,986950 470925 2251758 484085 2018316
22206,1240620 2639969 1507603 2520345 1775934
22591,1834588 1880316 800397 1328711 2364286
22728,784737 657183 1386412 266412 1162250
23229,1908731 2397541 265291 1266442 1981683
23361,243343 1264174 815404 2456230 250879
23459,2047813 750115 1202798 2094934 1469197
23667,1685891 1527915 2364269 2454843 1212909
23718,670769 2728866 307921 852950 1750789
24419,784737 657183 1386412 266412 1162250
24465,2373028 683349 859700 1096434 2732875
25906,265564 2434752 161286 1641588 2659268
26038,1031033 81964 1689895 761008 26421
26658,2369327 2372266 1518781 58306 986743
27187,1639247 1459830 1718188 2275215 251495
27501,178193 450044 1301807 2271915 2257679
27638,2340587 1846534 1752875 719786 2382367
27707,2002245 1396824 1642796 90834 202641
27727,1809836 109925 2750341 71285 2680669
27845,750751 2581784 1274062 1349044 1091042
27931,2704587 396026 769814 1816658 1517596
28232,120395 254486 1207661 591049 2795503
28739,2121581 1431693 204044 1418743 235474
28801,2130753 1904012 1065974 1073552 1758920
28972,1659959 1452579 2227010 1007361 1922984
29072,2205439 1705820 1632352 535798 5726
29146,607660 1900852 1547625 2553060 22262
29212,1835483 2073499 860874 2557660 1521146
29340,764110 1346978 2676165 2826438 2827829
29449,682699 2072068 1737358 63514 2771901
29519,1162250 343377 784737 2106311 2791339
30094,2196902 1030613 1851467 1168589 334533
30368,784737 657183 1386412 266412 1162250
30774,784737 657183 1386412 266412 1162250
30910,1060445 1132511 1531150 916670 86118
31318,2480339 438550 602445 1016084 2354421
32111,784737 657183 1386412 266412 1162250
32371,2068688 517620 1832431 1128525 1955277
32434,876132 1030990 244688 2081059 2313380
33119,784737 657183 1386412 266412 1162250
33317,2080213 2570251 1045610 72989 661878
33492,887606 1408835 1010588 915432 616038
33552,1015502 1269455 1048948 2616965 1125324
33704,2249862 784737 1443706 1386412 2313894
35125,2496018 1171808 1593067 2078554 2237322
35517,128024 1200792 2027614 1770648 600720
35752,741927 2087623 1196465 392574 1346017
36049,1128638 398787 1918359 349988 1900229
36125,1182126 607491 2150511 1376316 2751339
36396,784737 657183 1386412 266412 1162250
36940,2789332 637401 1757803 1781810 2528216
37187,1590528 2450535 846429 2312196 1473218
37351,2053600 1133727 1138146 2555032 958759
38059,1571176 2032812 2194493 1674065 252232
38189,916849 156449 307365 1058423 1793137
38365,725509 827947 872041 872788 1970277
38481,17132 1243037 22262 68080 2214648
38730,2752040 1351818 2304502 1057619 1311497
38944,912478 2827386 600907 2434102 924278
39189,784737 657183 1386412 266412 1162250
39773,2026932 2099181 899050 1112794 1994327
39778,1394622 1939923 1461435 1040146 1057942
40141,1147483 937632 499544 465997 558811
40180,565050 1818670 1325120 2145191 2633803
40246,2107017 1459801 2734865 2493862 1132431
40468,1613050 1695900 1698221 1417798 2778830
41309,2397541 265291 1266442 1981683 1180447
41345,1340384 2205424 2740003 1717385 2181920
41383,2637273 1652406 1247523 1221798 2816993
41403,2134875 2359960 2464096 1015667 925940
41629,464395 1705885 80557 2809051 1057103
41649,2328702 2243184 1587855 1299396 1133701
42051,1962303 2043079 2354382 2780444 335451
42321,784737 657183 1386412 266412 1162250
42617,258349 1497590 1242261 2619139 2439247
42912,1221623 1527069 1468242 1075988 1111820
43088,1940597 1400376 2704778 2188500 2340267
43399,810664 2140316 951466 1764519 1761568
43444,784737 657183 1386412 266412 1162250
44628,1022841 1460911 1998270 64478 279975
46074,784737 657183 1386412 266412 1162250
46106,1184304 1724451 2449375 824996 1265009
46377,678229 968392 2723998 797433 2415138
46391,1125616 1581556 1493101 703306 866686
46874,2820348 2220227 2750341 1809836 2680669
47353,164229 1411387 248404 1943786 680021
47387,616579 1383920 1975807 944367 2394986
47475,1264258 2386135 2373082 2213663 2750109
47662,2241130 2240591 1332465 2492063 1314105
48463,784737 657183 1386412 266412 1162250
48478,626129 4499 732896 1678436 326075
48675,1315141 917848 2300257 1176625 408536
48789,333205 1971871 1979138 2026144 2042543
49239,179381 1594435 2676996 2091212 2472184
49334,1033568 1896551 453607 2707663 516723
49418,1015270 2564647 636899 1849543 201454
49794,1817991 2721841 1943786 2047201 1189214
50754,2784346 503355 44985 2708556 1027429
50874,895825 1559361 1820841 2503726 593816
51289,111553 986034 1045097 1486984 2093141
51380,2016557 220536 746387 2415019 947909
51416,2717170 381727 1419339 1265477 2211530
51445,1520269 909589 2592036 2367253 1510800
51851,1498193 1080462 1408371 1683482 1869346
52067,1118736 988519 1014619 2162111 816581
52207,1529934 590410 553053 208832 636071
52730,266412 468120 2466095 1515861 1733943
52831,1641567 59796 2573031 2091857 320232
53121,886598 74859 188530 1335576 233675
53574,1348513 963479 632204 1089381 2115383
53638,2809828 2809059 1896262 1309914 1866025
53677,2099726 288855 30850 1127160 2694725
53760,592618 1808597 97392 2066447 2250299
53874,1171985 2111646 2280574 2417411 178644
54382,1895126 2232984 769377 2400457 1472746
55261,1273014 204756 584626 320825 1462733
55358,603071 2146527 1383729 1386200 2557739
55450,2140677 781898 2740435 146019 256030
55534,784737 657183 1386412 266412 1162250
56110,1330619 167391 2796559 1607452 1418346
56216,1622709 2298718 85885 2597857 2348108
56227,2564482 951920 311566 2311496 1241757
56317,1768518 2260090 685748 584242 262428
56439,1707160 698222 1390360 2582908 452559
57013,596178 701103 529467 1053452 2744494
58197,671914 310040 781253 1122387 1937967
58250,1091658 1073358 225270 1497463 2115418
58548,2501370 2415768 1840191 2596541 372018
58600,1595372 47583 460717 1405061 2271421
58624,1233470 1244196 299236 2466095 538069
58695,864100 1450886 2149399 301671 379714
58784,784737 657183 1386412 266412 1162250
58798,2397541 265291 1266442 1981683 1180447
58833,512206 297309 1390160 32655 2450903
59104,2042705 1760459 1714691 974690 972565
59135,311399 1597352 1213648 2569807 165162
59546,4308 2322072 2033742 328463 390918
59782,2492753 2270527 1957115 1662529 1692736
59842,2676487 1735014 1444262 1455086 1241227
60155,1828823 1841182 85893 768817 2226422
60471,1111300 692091 268677 2368632 1932950
60496,784737 657183 1386412 266412 1162250
61016,1053542 823512 1742926 1244196 1233470
61298,548368 562872 1473094 1721100 388420
61873,977607 1383039 1691851 2047663 2747423
62808,2330261 2311743 215392 345757 1336957
62908,1120194 2093413 1745271 2362916 1188291
62914,784737 657183 1386412 266412 1162250
63061,1301316 1794685 636889 366927 839
63163,2259627 630589 649215 740198 1552662
63322,368950 2832110 1995511 2435244 2343029
63597,1011495 952835 568926 996680 201322
63753,1858271 1777522 241244 2536129 2481832
63872,2084657 2069799 972014 1241373 1577335
64303,543184 195659 2187562 498337 1303833
64930,2575571 2070449 2141554 1115673 1001511
65592,1361956 1337146 2423247 1651809 2360619
66592,283847 1995511 2080757 2435244 2171961
66908,322619 1095800 2176050 603821 1903306
67173,896092 1818330 698700 1419817 1453191
67354,1286515 2131819 705513 609432 1224998
67659,1438328 274499 388384 2579350 2430875
67705,2482922 2282006 1820087 1409070 1878292
67752,784737 657183 1386412 266412 1162250
67939,1905133 2451675 349653 1174505 696169
69088,784737 657183 1386412 266412 1162250
69418,854322 2806584 2614640 1743999 423580
69428,129303 665194 1662318 2740480 2371498
69757,1503165 1934687 1165304 2119646 2397541
70134,2445198 807792 2267926 1665393 1687791
70534,2355898 123195 2561868 2833622 215403
70547,1760057 1450645 2645535 2470441 1349617
70649,2348450 2694820 2565971 839495 2177098
70855,1864723 2017178 1675652 1455563 1132558
71226,2434240 2473989 2507878 2717460 416231
72027,2695026 2208904 1029678 2389477 2710253
72461,1516707 1619836 1985808 1395695 2731237
72570,350490 53378 103803 1018724 661506
73454,1678673 2453690 2736269 851798 1693062
73471,1332465 1314105 2492063 775614 302444
73525,2334633 1510766 1044698 710046 1941672
74032,784737 657183 1386412 266412 1162250
74663,1788462 196678 45637 2720106 839657
75611,1835742 1126599 1376058 2489725 882543
76103,5937 731 2011456 116763 1700314
76608,1603216 1229335 1354178 867499 862518
76720,29061 1767760 2054159 1572045 1885910
77440,1485281 2387802 1012857 548633 413024
77641,829200 2182543 362729 617112 1090673
77738,2039257 2791723 2733860 2673239 1263287
77942,784737 657183 1386412 266412 1162250
77992,1612593 2598372 2281423 1905877 152356
78016,1126599 305026 1398399 2112096 1126753
78100,2800658 2023752 631051 1231667 1092644
78298,784737 657183 1386412 266412 1162250
78784,2517488 714105 2733672 770613 1733165
79349,524291 30145 2496296 262552 2200718
79426,1671538 783061 830014 978112 1095702
79738,1270420 1012298 1149548 2735389 1651893
79802,1619241 943916 2471983 793921 1135229
80026,439964 2428745 142983 2433856 1077926
80113,784737 657183 1386412 266412 1162250
80743,2589105 2465166 2323368 2419950 2254234
80933,1359018 249889 826531 1873988 488900
81213,1521292 2569520 2272908 1588753 232130
81342,1552819 526535 409422 877411 912144
81375,784737 657183 1386412 266412 1162250
82204,1726537 1973974 114718 2178608 192402
82500,2591573 2472193 1754494 1817621 1817632
82645,196407 1687268 1874092 2699781 2679769
82778,2445503 1805527 2072441 2529108 2361032
82848,784737 657183 1386412 266412 1162250
82953,445289 1688943 1557666 552513 2785762
83200,1776696 254169 1079343 1888822 2251758
83840,1191138 104666 2732304 2823598 378582
84028,557698 1398385 2444569 1700271 525743
84579,863419 1714427 1199838 408560 1930115
84814,784737 657183 1386412 266412 1162250
84989,876529 1844001 1724412 1096105 816307
85006,1950458 63688 985846 2035708 1981313
85011,2183022 2289441 2782828 2176141 1566058
85432,1152652 1094609 2578848 2033050 1966730
85921,585801 218804 1662835 884267 485697
85958,784737 657183 1386412 266412 1162250
85991,1414730 717081 2558121 2651445 2514968
86194,1797528 1280968 2419414 1171452 84667
86285,2469209 1146314 502195 1147659 1290377
86316,2628361 931252 989078 1577713 1911135
86856,310153 1747475 1850147 1752354 2547286
87127,784737 657183 1386412 266412 1162250
87569,1977135 1392749 1153087 1080427 215081
87622,990362 2360744 1838357 1023454 294642
87629,1002415 795888 472040 2288729 1808332
88090,2154672 2407438 2150596 1267657 162073
88699,1687268 1785014 357345 517089 1564971
89595,784737 657183 1386412 266412 1162250
89700,1715883 458474 383294 131415 865350
90134,462493 796888 1096954 1593760 2124560
90275,711251 2423575 2441695 1454765 2537868
90552,871255 649120 898110 1796071 2222005
90609,557698 2024094 1283135 1094235 1189146
90615,225471 2275450 1717683 218278 1678893
90733,1588444 2020127 562726 1934897 752019
91295,2349918 1497292 802156 389105 2107561
92019,2029157 546013 696785 914485 1222412
92182,784737 657183 1386412 266412 1162250
92343,71403 1856046 1272965 2237825 1071924
93312,784737 657183 1386412 266412 1162250
93887,2068315 881022 743731 12530 1720452
93930,251069 1517213 2810122 2123686 2418591
94336,1164100 1266523 1660992 1876767 2738834
94417,2762334 2023752 1821771 1733372 2439982
94548,784737 657183 1386412 266412 1162250
94665,1294734 1560254 1459268 1709901 165557
94805,889358 1339513 2064919 705956 2749383
94918,2061450 448204 352320 787191 1168310
94945,1988510 2340558 836201 1930214 2389591
95321,2558625 1159070 1805230 1453496 2790877
95619,784737 657183 1386412 266412 1162250
96109,2755499 2120398 1515432 1753722 1214314
96164,1150235 2701364 977979 760311 170673
96187,310193 725280 1487352 2609023 286637
96756,784737 657183 1386412 266412 1162250
97135,2167980 2253228 429123 1904877 2251448
97204,1248491 1450925 105087 450671 2277804
97375,2494913 651220 2823602 440405 859328
98005,2807522 1956518 1920234 1772574 2449680
98174,784737 657183 1386412 266412 1162250
98287,1543377 2080867 1027539 2158490 2381309
98458,1613407 2416162 1305874 2602101 2351826
98716,2196889 1260531 893799 660656 2200859
99109,1007911 2548255 388178 1881343 1641020
99155,2591936 2773641 2329594 1266971 629164
99208,2600037 1458909 2372820 790223 929792
99598,784737 657183 1386412 266412 1162250
99751,1711989 1481470 2565540 1903143 1923606
99972,2105199 2525103 55094 2774815 41124
100399,823268 774362 842861 854569 2485713
100521,2775493 1976165 1335321 1332313 866715
100803,2123151 2588187 914591 1446413 1432589
101222,1328461 1139139 189640 2332270 1344484
101236,2135266 527236 1895635 1549925 1916956
101276,1482543 684435 1410610 2205256 188210
101454,2758462 448107 2384989 1107615 1518388
101666,276880 2711525 717635 650831 2031981
101774,142676 210288 261190 2149923 2700533
101857,784737 657183 1386412 266412 1162250
102002,784737 657183 1386412 266412 1162250
102545,998187 2495549 1807910 1496435 2472065
102885,2170299 80254 1158707 1344010 581998
103027,1051662 174398 145215 2630865 1580906
103310,1144532 1713160 2183406 582826 2804221
103669,1866320 2368427 2311939 1277537 2518600
104001,266412 1679143 2459081 1047625 468120
104796,2584252 823247 2581181 2718825 2833492
104965,467954 1495734 1113538 2302809 2731262
106202,784737 657183 1386412 266412 1162250
106391,1912733 2832692 2020334 2293000 413116
107447,2247752 406078 692558 915548 1439277
107528,1300242 2803305 2521480 1726531 444802
107952,784737 657183 1386412 266412 1162250
108109,2730701 439659 1052249 1107615 1518388
108891,218678 496243 689339 1342912 1233928
108961,784737 657183 1386412 266412 1162250
109308,1053695 1121336 1150110 319378 2214938
109548,570972 927050 245796 2677955 721026
109646,1277043 943279 899860 1753292 1379482
109809,2288873 1693218 191270 1948918 2600708
110004,1995588 2707775 2381542 623576 1760057
110221,784737 657183 1386412 266412 1162250
110636,2142637 1703205 856982 767598 1596400
110951,2695112 2768790 2668338 2399276 2308120
111479,1587855 1133701 2242421 937350 669669
111602,1100090 1100884 1185290 2185887 500528
111836,1964538 2754777 2762531 822085 999463
113405,2014730 287676 1024000 1348967 1843411
113510,2208952 1185852 796318 2658453 2658439
113784,1565011 1977219 2686492 1291942 85352
113942,2461386 2035358 106044 307981 1712097
114764,588203 1843734 1327496 822390 2308075
115337,2050631 764255 1774879 508676 1626991
