	user_id	jobroles	career_level	discipline_id	industry_id	country	region	experience_n_entries_class	experience_years_experience	experience_years_in_current	edu_degree	edu_fieldofstudies
0	118777	2705438,2004502	3	0	0	ch	0	3	4	2	1	4
1	2613732	1179799,3081292,2501578	0	0	15	de	0	1	0	0	0	
2	1685992	0	2	0	0	de	10	3	4	0	1	3
3	332162	0	2	0	0	de	9	1	0	0	3	7
4	1583325	0	2	0	0	de	7	1	0	0	0	8,2
5	2433425	653075	0	0	0	de	0	1	0	0	2	8
6	2186409	2938714,1697930,2978502,420011	4	0	0	de	0	3	5	4	2	8,2
7	2538158	2682049	4	13	1	de	1	3	6	1	0	3
8	250758	0	2	0	0	de	1	2	4	3	1	8,7
9	859377	3720944	0	0	13	de	3	1	5	3	0	3
10	2092487	2978502,901174	4	3	1	at	0	3	7	2	0	
11	288497	524518	3	0	7	ch	0	3	7	4	0	
12	2026461	0	2	0	0	de	7	2	4	0	0	3
13	367320	1768488,3287640,2573697	0	0	21	de	2	3	5	2	1	8
14	1432934	0	2	0	0	de	1	3	4	0	1	8
15	2372268	1438550	5	0	0	de	0	3	7	3	0	
16	2284278	1072848	3	3	19	de	1	3	6	3	0	
17	645481	0	2	0	0	at	0	1	0	0	1	8,2
18	80633	1319614	0	0	8	de	2	1	0	0	0	
19	2255540	1581843,1637063	4	12	16	de	10	3	6	1	2	8,5
20	160108	1549791,3522911	4	19	12	de	2	3	5	2	0	
21	2400139	3241763,3759252,4490078,500718	3	0	0	de	0	2	4	2	0	8,2
22	1892425	4490078	0	0	0	de	0	1	4	2	2	2
23	2384328	606990,991642	0	0	0	de	0	3	5	3	0	
24	1254093	4490078	3	0	19	de	10	2	7	4	0	
25	1358077	524518,4552398	6	19	15	de	2	3	7	2	0	8
26	2176120	3482421,22459	0	0	0	de	0	3	5	2	1	4
27	2463576	4020231,1284889	3	0	2	de	9	1	0	0	0	
28	1165756	4408755	2	0	0	de	0	3	7	3	2	1,6
29	204192	2978502	0	0	8	de	3	3	7	1	0	
30	2432653	4408755	0	0	0	de	0	1	4	3	2	5
31	520255	2250095,3792911	3	0	0	de	0	3	7	1	0	3
32	872614	0	2	0	0	de	2	3	6	0	0	5
33	285083	4254729	4	0	0	de	0	1	3	2	0	
34	1117111	3748334,726713	2	0	0	de	6	3	5	5	1	8
35	2548478	2978502	4	0	0	de	0	2	0	0	1	8
36	1029411	0	2	0	0	de	10	3	4	0	2	6,5,3
37	2658616	744101	0	0	8	de	9	1	0	0	0	
38	1394690	4544606	0	0	22	de	6	1	3	1	0	8
39	2674883	4362804	2	0	15	de	6	1	3	1	0	
40	694095	3731273,137487	0	0	1	de	1	1	0	0	1	3
41	222713	2458580	3	0	0	de	0	3	4	1	2	8
42	145262	0	2	0	0	at	0	2	4	1	0	
43	2829933	1549791	0	0	19	de	9	2	4	1	0	8
44	1709726	3370475	0	0	1	de	9	1	7	6	2	
45	2129147	3731273	2	0	0	de	8	3	5	2	2	
46	686738	76751	2	2	14	de	2	2	4	3	2	5
47	1418767	4284901	0	0	18	at	0	3	4	1	2	8
48	2806934	1072229	0	0	1	de	1	1	3	3	0	3
49	2251053	1777526,616841,3145630	4	11	8	de	1	3	4	1	2	8
50	1177964	4432807,2210017	0	0	11	de	2	1	2	2	0	
51	557063	3170691,502342	0	0	16	de	10	1	4	2	2	6
52	2641598	634110,4245803	3	0	0	de	0	3	7	3	0	
53	682892	3729575	0	0	7	de	7	3	5	1	1	8
54	2414866	1869807	3	18	10	de	9	2	5	3	3	5
55	2934779	0	2	0	0	de	7	2	6	0	2	5
56	702618	3201469,4321623,2314529	4	0	0	de	0	3	5	2	0	
57	1258920	2573697,2652976,3667946	3	14	2	de	2	2	4	2	0	5
58	1825133	3500451	0	0	1	de	1	3	6	1	0	3
59	508740	2690571,1283916	0	0	14	de	7	3	4	1	1	8
60	1519285	45535	3	2	14	de	1	2	3	1	0	
61	265681	1254311	1	0	0	de	0	3	4	1	1	2,8
62	1565867	3473826	3	0	21	de	1	3	6	2	0	
63	256185	1253876	0	0	20	de	6	1	3	2	1	8,2
64	465432	45535	3	0	0	de	0	2	5	3	2	3
65	1351172	3553594,63258,315526	5	0	1	de	7	3	7	3	2	3
66	946464	2316982	0	0	14	at	0	1	0	0	0	
67	248212	745768	0	0	21	de	0	1	1	1	0	
68	289190	922440,3119985,494116,1880959	4	0	0	de	0	2	7	2	0	
69	1214104	135212,4284901,3482421	5	0	0	de	0	3	5	2	2	2
70	604174	3079492	2	0	0	de	13	3	4	1	1	7,2
71	684281	780010	3	14	21	de	9	3	5	2	0	5
72	1185382	0	2	0	0	de	2	3	4	0	0	7
73	1101903	1549791,315526,4169675,2501578	0	0	21	de	2	1	0	0	0	8
74	2444796	1893830	0	0	0	non_dach	0	3	4	2	2	
75	1058700	3478136,2710515	3	0	0	de	0	2	5	4	1	
76	2217148	2915824,3482421	6	0	21	de	2	1	7	7	0	
77	2230497	1119112	2	0	0	de	1	3	4	1	1	
78	2586679	3432139,2978502,1057568,4019493,4499767	4	0	0	de	0	3	5	4	1	
79	635185	1437162,1581843	4	3	21	de	7	3	7	2	0	8
80	306954	3907924	4	7	4	de	2	3	5	2	0	5
81	2232759	0	2	0	0	de	1	1	1	0	0	
82	1245396	1283916	0	0	0	de	0	2	4	3	3	
83	2801687	0	0	0	23	de	9	1	4	4	0	
84	507001	2285759	0	0	4	at	0	3	4	2	2	8,2
85	953365	3081292	0	0	15	de	7	1	0	0	0	
86	1147463	1057568,2111897	3	3	1	de	7	3	4	2	0	3,5
87	1534707	3726822	0	0	16	de	0	1	0	0	2	5,7
88	1504662	2001826,3689751	0	0	2	de	2	1	0	0	1	
89	1845077	4451534,4484357,2585795,4499767,3804838,2392484	3	3	1	de	2	2	4	1	2	
90	2950304	2314529	0	0	21	de	2	3	4	0	0	5
91	106421	2565768,3710361,1012013,3432139	3	0	0	de	0	1	3	3	0	
92	1947730	524375,3287640	2	0	0	de	6	1	2	0	0	
93	1251845	559757,524518	0	18	10	de	2	3	5	1	3	2
94	141932	213841	0	0	0	de	0	1	2	2	1	7
95	1708387	502342	0	0	21	de	0	1	0	0	0	
96	2039843	726713,3451742	4	3	4	de	0	1	2	2	0	
97	598545	154542	0	0	0	de	0	1	1	1	0	
98	2392171	502342	3	14	21	at	0	3	6	1	0	5
99	1810682	2314529	0	0	0	de	0	2	6	0	0	
100	571943	3016884	3	3	9	de	0	1	5	5	0	
101	1938258	2089213,3145630	4	0	0	ch	0	3	6	4	2	8
102	1960673	4362983,1898833	3	2	21	de	10	3	4	1	0	
103	1600168	0	2	0	0	de	3	3	6	0	2	3
104	1152419	502342	4	0	0	de	0	3	0	0	0	5
105	1602130	3079492	2	0	0	de	3	3	4	1	2	2
106	2558092	3309650	0	2	17	ch	0	2	5	3	0	
107	1055735	1334372	2	0	0	de	10	2	2	2	1	
108	669795	30045	5	0	0	de	0	2	5	2	0	
109	2700713	3090903	3	0	2	at	0	2	5	3	0	
110	210120	1079599,1581843	4	19	21	de	1	3	7	4	0	
111	261598	2608520	3	0	0	de	0	2	2	1	0	
112	1260	0	2	0	0	de	0	2	4	1	0	
113	816106	0	2	0	0	de	6	1	0	0	1	2
114	261524	0	2	0	0	at	0	2	4	0	2	8,2
115	1788560	512566,38045,1179799,3240672,1703688	4	2	15	de	9	3	7	4	0	
116	934004	3432139,1057841,9064	3	0	0	de	0	3	5	4	0	
117	2177013	812432,1667725,3079492	2	0	0	de	4	3	4	4	0	
118	1709299	3768439,2111897	3	0	0	de	0	3	6	1	1	8
119	1537421	1581843,412919	4	0	21	de	1	3	4	2	2	7
120	2833067	1280664,4159968	0	0	1	at	0	2	5	5	0	
121	1603248	621213	2	0	0	de	1	1	3	3	1	2
122	2703904	4338514,3432139,234916,4321623	0	0	15	ch	0	3	4	1	0	
123	1104309	3482421	2	0	0	de	3	3	5	2	3	5
124	2078871	2928384,2314529,1613276	0	0	13	de	10	3	6	4	2	7
125	2382177	726713	3	3	1	de	1	3	4	3	2	5
126	2544702	502342	3	7	8	de	2	2	4	1	2	1
127	592390	4499478,3079492	1	0	0	de	0	3	4	1	1	
128	3177	2424638,893887	3	0	0	non_dach	0	3	4	2	1	3,5
129	1800348	2580946	6	0	14	ch	0	3	5	5	0	8,2
130	2063719	0	2	0	0	de	9	3	5	0	0	3
131	1909861	0	2	0	0	de	7	1	0	0	0	
132	820058	660875	0	0	14	de	6	1	0	0	0	
133	1447032	0	2	0	0		2	1	0	0	2	3
134	2220784	2573697,494116,1667725	0	0	8	de	1	1	0	0	0	3
135	193969	3482421	3	5	15	at	0	2	4	2	2	8
136	445161	1149449,500718	4	0	0	de	0	3	5	2	2	8
137	1896565	3551384	4	0	16	de	1	2	6	4	0	
138	367455	1296253,4284901,4338514	0	0	15	non_dach	0	2	5	1	0	
139	2135004	4284901,4554939,1549791,4451534,3729575	5	0	0	de	0	3	4	4	0	8
140	2578817	0	2	0	0	de	10	1	0	0	0	3
141	1115445	775545	3	20	22	de	7	3	4	1	0	3
142	351438	2314529	3	14	21	de	1	3	6	2	0	5
143	41403	2197161	2	0	0	de	2	3	5	1	2	3
144	1482614	744245,502342	3	7	9	de	1	2	5	1	0	3
145	2326763	4284901	6	0	0	de	0	3	6	2	0	
146	1678459	2210017	0	0	0	de	0	1	2	2	2	8,2
147	2097027	3099696,221785	0	0	1	de	9	2	4	2	0	
148	1232103	0	2	0	0	de	10	1	0	0	0	
149	1529649	4020979	0	0	6	de	2	2	7	4	0	
